name,bs_timestamp,rs_timestamp,seq_number,stored,accelx,accely,accelz,breathing_signal,breathing_rate,activity
RESpeckT5,20140625153640.029,780255811,11,0,0.919678,-0.069336,-0.310547,nan,nan,3.656868
RESpeckT5,20140625153640.029,780255811,12,0,0.860352,-0.086426,-0.322266,nan,nan,3.656868
RESpeckT5,20140625153640.029,780255811,13,0,0.878906,-0.163330,-0.321533,nan,nan,3.656868
RESpeckT5,20140625153640.055,780255811,14,0,1.121094,0.006104,-0.333740,nan,nan,3.656868
RESpeckT5,20140625153640.055,780255811,15,0,1.036621,0.058105,-0.240723,nan,nan,3.656868
RESpeckT5,20140625153640.055,780255811,16,0,0.976562,0.090088,-0.272461,nan,nan,3.656868
RESpeckT5,20140625153640.081,780255811,17,0,0.872803,0.024170,-0.301270,nan,nan,3.656868
RESpeckT5,20140625153640.081,780255811,18,0,0.907959,0.001953,-0.347900,nan,nan,3.656868
RESpeckT5,20140625153640.081,780255811,19,0,0.885742,0.032227,-0.307861,nan,nan,3.656868
RESpeckT5,20140625153640.188,780255811,20,0,0.851807,0.010742,-0.342041,nan,nan,3.656868
RESpeckT5,20140625153640.188,780255811,21,0,0.836914,0.032227,-0.416504,nan,nan,3.656868
RESpeckT5,20140625153640.188,780255811,22,0,0.888428,0.000244,-0.376953,nan,nan,3.656868
RESpeckT5,20140625153640.223,780255811,23,0,1.147705,-0.183105,-0.265381,nan,nan,3.656868
RESpeckT5,20140625153640.223,780255811,24,0,1.100098,0.185303,-0.233398,nan,nan,3.656868
RESpeckT5,20140625153640.223,780255811,25,0,0.949219,0.018799,-0.192871,nan,nan,3.656868
RESpeckT5,20140625153640.250,780255811,26,0,0.854004,0.003174,-0.191406,nan,nan,3.656868
RESpeckT5,20140625153640.250,780255811,27,0,0.904785,-0.027100,-0.205322,nan,nan,3.656868
RESpeckT5,20140625153640.250,780255811,28,0,0.945068,-0.028564,-0.196777,nan,nan,3.656868
RESpeckT5,20140625153640.276,780255811,29,0,0.844482,-0.066406,-0.223633,nan,nan,3.656868
RESpeckT5,20140625153640.276,780255811,30,0,0.863037,-0.115723,-0.251465,nan,nan,3.656868
RESpeckT5,20140625153640.276,780255811,31,0,0.944580,-0.052490,-0.242188,nan,nan,3.656868
RESpeckT5,20140625153642.913,780256230,0,0,1.201660,0.128174,-0.248047,nan,nan,3.656868
RESpeckT5,20140625153642.913,780256230,1,0,1.042236,0.027832,-0.094482,nan,nan,4.860719
RESpeckT5,20140625153642.942,780256230,2,0,1.005371,-0.031982,-0.152588,nan,nan,4.860719
RESpeckT5,20140625153642.942,780256230,3,0,0.899658,0.095215,-0.149414,nan,nan,4.860719
RESpeckT5,20140625153642.942,780256230,4,0,0.913086,0.083984,-0.249756,nan,nan,4.860719
RESpeckT5,20140625153642.969,780256230,5,0,0.925293,0.021484,-0.227539,nan,nan,4.860719
RESpeckT5,20140625153642.969,780256230,6,0,0.802490,-0.041748,-0.270020,nan,nan,4.860719
