(6, 54818, 55165, 53220, array([-7952.,  -320.,  2160.]), array([ 7085.,   403., -2461.]), array([ 297.,  338., -107.]))
(6, 56242, 56173, 55765, array([-7984.,  -384.,  2240.]), array([ 7087.,   395., -2489.]), array([ 295.,  340., -115.]))
(6, 57191, 57181, 55765, array([-7968.,  -288.,  2160.]), array([ 7078.,   390., -2507.]), array([ 295.,  340., -115.]))
(6, 58140, 58189, 58309, array([-7936.,  -192.,  2096.]), array([ 7123.,   385., -2529.]), array([ 292.,  337., -124.]))
(6, 59564, 59197, 58309, array([-7920.,  -192.,  2128.]), array([ 7093.,   404., -2523.]), array([ 292.,  337., -124.]))
(6, 60513, 60206, 60854, array([-7936.,  -384.,  2128.]), array([ 7155.,   383., -2471.]), array([ 294.,  335., -130.]))
(6, 61937, 61214, 60854, array([-7920.,  -432.,  2176.]), array([ 7156.,   387., -2485.]), array([ 294.,  335., -130.]))
(6, 62887, 62222, 60854, array([-7920.,  -368.,  2144.]), array([ 7134.,   398., -2504.]), array([ 294.,  335., -130.]))
(6, 63836, 64238, 63400, array([-7920.,  -240.,  2096.]), array([ 7110.,   368., -2587.]), array([ 287.,  334., -140.]))
(6, 65260, 65246, 63400, array([-7968.,  -160.,  2096.]), array([ 7120.,   373., -2553.]), array([ 287.,  334., -140.]))
(6, 673, 718, 409, array([-7872.,  -320.,  2128.]), array([ 7142.,   370., -2514.]), array([ 287.,  333., -140.]))
(6, 1622, 1726, 409, array([-7888.,  -416.,  2208.]), array([ 7134.,   387., -2495.]), array([ 287.,  333., -140.]))
(6, 3046, 2734, 2954, array([-7904.,  -384.,  2144.]), array([ 7176.,   370., -2505.]), array([ 286.,  333., -148.]))
(6, 3995, 3742, 2954, array([-7904.,  -272.,  2208.]), array([ 7146.,   385., -2534.]), array([ 286.,  333., -148.]))
(6, 5418, 4750, 2954, array([-7856.,  -256.,  2160.]), array([ 7173.,   396., -2518.]), array([ 286.,  333., -148.]))
(6, 6367, 5758, 5500, array([-7888.,  -240.,  2192.]), array([ 7140.,   389., -2535.]), array([ 288.,  332., -154.]))
(6, 7316, 6766, 5500, array([-7856.,  -400.,  2192.]), array([ 7147.,   392., -2506.]), array([ 288.,  332., -154.]))
(6, 8740, 8782, 8044, array([-7872.,  -416.,  2208.]), array([ 7231.,   373., -2489.]), array([ 281.,  330., -160.]))
(6, 9690, 9790, 8044, array([-7888.,  -384.,  2160.]), array([ 7239.,   389., -2545.]), array([ 281.,  330., -160.]))
(6, 10639, 10798, 10589, array([-7856.,  -288.,  2192.]), array([ 7182.,   389., -2563.]), array([ 280.,  327., -165.]))
(6, 12062, 11806, 10589, array([-7808.,  -288.,  2176.]), array([ 7220.,   375., -2556.]), array([ 280.,  327., -165.]))
(6, 13012, 12814, 13135, array([-7856.,  -416.,  2096.]), array([ 7239.,   359., -2533.]), array([ 281.,  329., -172.]))
(6, 14436, 13822, 13135, array([-7888.,  -560.,  2112.]), array([ 7190.,   384., -2534.]), array([ 281.,  329., -172.]))
(6, 15385, 14830, 13135, array([-7904.,  -448.,  2176.]), array([ 7237.,   393., -2531.]), array([ 281.,  329., -172.]))
(6, 16335, 15838, 15680, array([-7904.,  -352.,  2208.]), array([ 7232.,   396., -2553.]), array([ 273.,  321., -180.]))
(6, 17758, 16846, 15680, array([-7808.,  -288.,  2176.]), array([ 7217.,   404., -2571.]), array([ 273.,  321., -180.]))
(6, 18708, 18862, 18226, array([-7888.,  -496.,  2208.]), array([ 7241.,   382., -2519.]), array([ 270.,  317., -186.]))
(6, 19657, 19870, 18226, array([-7824.,  -448.,  2336.]), array([ 7278.,   382., -2486.]), array([ 270.,  317., -186.]))
(6, 21081, 20878, 20770, array([-7856.,  -720.,  2064.]), array([ 7277.,   383., -2514.]), array([ 269.,  318., -189.]))
(6, 22031, 21886, 20770, array([-7856.,  -624.,  2144.]), array([ 7228.,   393., -2567.]), array([ 269.,  318., -189.]))
(6, 22980, 22894, 23315, array([-7968.,  -368.,  2096.]), array([ 7301.,   401., -2564.]), array([ 263.,  311., -196.]))
(6, 24404, 23902, 23315, array([-7920.,  -400.,  2176.]), array([ 7281.,   398., -2580.]), array([ 263.,  311., -196.]))
(6, 25353, 24910, 23315, array([-7888.,  -432.,  2208.]), array([ 7286.,   392., -2566.]), array([ 263.,  311., -196.]))
(6, 26777, 25918, 25861, array([-7872.,  -576.,  2224.]), array([ 7294.,   398., -2555.]), array([ 265.,  313., -213.]))
(6, 27726, 27934, 25861, array([-7872.,  -496.,  2272.]), array([ 7334.,   352., -2568.]), array([ 265.,  313., -213.]))
(6, 28676, 28942, 28408, array([-7888.,  -384.,  2272.]), array([ 7300.,   373., -2576.]), array([ 265.,  305., -213.]))
