(6, 18100, 17716, 17798, array([-7952.,  -656.,  2608.]), array([ 8818.,   645., -5201.]), array([ 191.,  260., -314.]))
(6, 19054, 18724, 17798, array([-7920.,  -624.,  2608.]), array([ 8797.,   667., -5194.]), array([ 191.,  260., -314.]))
(6, 20003, 19732, 20342, array([-7856.,  -576.,  2688.]), array([ 8744.,   663., -5264.]), array([ 193.,  254., -316.]))
(6, 21427, 20740, 20342, array([-7872.,  -560.,  2624.]), array([ 8768.,   654., -5287.]), array([ 193.,  254., -316.]))
(6, 22376, 21748, 20342, array([-7888.,  -528.,  2672.]), array([ 8729.,   667., -5265.]), array([ 193.,  254., -316.]))
(6, 23325, 22756, 22888, array([-7968.,  -544.,  2736.]), array([ 8766.,   678., -5216.]), array([ 184.,  244., -327.]))
(6, 24749, 24772, 22888, array([-8048.,  -496.,  2768.]), array([ 8719.,   711., -5267.]), array([ 184.,  244., -327.]))
(6, 25698, 25780, 25433, array([-8000.,  -528.,  2832.]), array([ 8702.,   695., -5258.]), array([ 184.,  236., -327.]))
(6, 26647, 26788, 25433, array([-8112.,  -512.,  2928.]), array([ 8757.,   690., -5203.]), array([ 184.,  236., -327.]))
(6, 28071, 27796, 27977, array([-8096.,  -656.,  2848.]), array([ 8771.,   699., -5199.]), array([ 184.,  229., -329.]))
(6, 29020, 28804, 27977, array([-8080.,  -528.,  2928.]), array([ 8745.,   654., -5217.]), array([ 184.,  229., -329.]))
(6, 30443, 29812, 27977, array([-8000.,  -528.,  2864.]), array([ 8717.,   655., -5262.]), array([ 184.,  229., -329.]))
(6, 31397, 30820, 30523, array([-8064.,  -576.,  2848.]), array([ 8754.,   653., -5218.]), array([ 183.,  222., -335.]))
(6, 32346, 31828, 30523, array([-8032.,  -512.,  2912.]), array([ 8781.,   605., -5161.]), array([ 183.,  222., -335.]))
(6, 33770, 33844, 33068, array([-8016.,  -528.,  2864.]), array([ 8758.,   600., -5183.]), array([ 179.,  211., -340.]))
(6, 34719, 34852, 33068, array([-7984.,  -560.,  2880.]), array([ 8750.,   573., -5154.]), array([ 179.,  211., -340.]))
(6, 35668, 35860, 35614, array([-8000.,  -528.,  2752.]), array([ 8794.,   593., -5123.]), array([ 178.,  203., -342.]))
(6, 37091, 36868, 35614, array([-7904.,  -784.,  2640.]), array([ 8781.,   564., -5116.]), array([ 178.,  203., -342.]))
(6, 38040, 37876, 38158, array([-7872.,  -688.,  2736.]), array([ 8765.,   553., -5161.]), array([ 173.,  195., -341.]))
(6, 39464, 38884, 38158, array([-7776.,  -576.,  2608.]), array([ 8700.,   566., -5216.]), array([ 173.,  195., -341.]))
(6, 40413, 39892, 38158, array([-7696.,  -672.,  2656.]), array([ 8727.,   564., -5198.]), array([ 173.,  195., -341.]))
(6, 41362, 40900, 40703, array([-7856.,  -672.,  2672.]), array([ 8773.,   584., -5196.]), array([ 172.,  190., -347.]))
(6, 42786, 41908, 40703, array([-7728.,  -592.,  2736.]), array([ 8695.,   628., -5222.]), array([ 172.,  190., -347.]))
(6, 43735, 43924, 43249, array([-7760.,  -592.,  2656.]), array([ 8682.,   635., -5226.]), array([ 170.,  176., -347.]))
(6, 44684, 44932, 43249, array([-7792.,  -544.,  2720.]), array([ 8718.,   667., -5169.]), array([ 170.,  176., -347.]))
(6, 46107, 45940, 45794, array([-7856.,  -656.,  2960.]), array([ 8730.,   685., -5139.]), array([ 169.,  169., -352.]))
(6, 47057, 46948, 45794, array([-7840.,  -672.,  2944.]), array([ 8648.,   676., -5199.]), array([ 169.,  169., -352.]))
(6, 48480, 47956, 48339, array([-7920.,  -544.,  2944.]), array([ 8680.,   682., -5213.]), array([ 171.,  159., -354.]))
(6, 49429, 48964, 48339, array([-7936.,  -560.,  3008.]), array([ 8685.,   702., -5208.]), array([ 171.,  159., -354.]))
(6, 50378, 49972, 48339, array([-7936.,  -592.,  3040.]), array([ 8693.,   701., -5186.]), array([ 171.,  159., -354.]))
(6, 51803, 50980, 50885, array([-8032.,  -496.,  3024.]), array([ 8712.,   674., -5175.]), array([ 165.,  153., -358.]))
(6, 52752, 51988, 50885, array([-7968.,  -496.,  3024.]), array([ 8688.,   670., -5213.]), array([ 165.,  153., -358.]))
