(6, 51070, 51260, 51104, array([-7616.,   960.,  1648.]), array([ 5789.,   258.,  -576.]), array([ 310., -148., -140.]))
(6, 52494, 52268, 51104, array([-7904.,   256.,  1632.]), array([ 5811.,   246.,  -340.]), array([ 310., -148., -140.]))
(6, 53443, 53276, 53651, array([-8032.,  -496.,  1552.]), array([ 5874.,   248.,  -172.]), array([ 310., -150., -140.]))
(6, 54867, 54284, 53651, array([-8256., -1088.,  1616.]), array([ 5926.,   220.,  -180.]), array([ 310., -150., -140.]))
(6, 55815, 55292, 53651, array([-8144.,  -800.,  1504.]), array([ 5832.,   203.,  -371.]), array([ 310., -150., -140.]))
(6, 56764, 56300, 56197, array([-7936.,   -32.,  1600.]), array([ 5788.,   246.,  -630.]), array([ 312., -151., -133.]))
(6, 58188, 57309, 56197, array([-7696.,  1040.,  1632.]), array([ 5748.,   254.,  -778.]), array([ 312., -151., -133.]))
(6, 59137, 59325, 58744, array([-7456.,  1072.,  1632.]), array([ 5816.,   281.,  -465.]), array([ 313., -152., -128.]))
(6, 60087, 60333, 58744, array([-7808.,   416.,  1728.]), array([ 5883.,   243.,  -216.]), array([ 313., -152., -128.]))
(6, 61510, 61341, 61290, array([-8112.,  -784.,  1584.]), array([ 5927.,   238.,  -108.]), array([ 315., -156., -122.]))
(6, 62459, 62349, 61290, array([-8208., -1152.,  1616.]), array([ 5888.,   256.,  -237.]), array([ 315., -156., -122.]))
(6, 63884, 63357, 63837, array([-8048.,  -480.,  1552.]), array([ 5857.,   248.,  -483.]), array([ 316., -156., -118.]))
(6, 64833, 64365, 63837, array([-7856.,   560.,  1616.]), array([ 5760.,   252.,  -747.]), array([ 316., -156., -118.]))
(6, 247, 65373, 63837, array([-7600.,  1216.,  1696.]), array([ 5718.,   269.,  -825.]), array([ 316., -156., -118.]))
(6, 1671, 845, 848, array([-7600.,   960.,  1616.]), array([ 5799.,   304.,  -655.]), array([ 315., -158., -115.]))
(6, 2620, 2861, 848, array([-7888.,   -16.,  1600.]), array([ 5944.,   198.,   -84.]), array([ 315., -158., -115.]))
(6, 3570, 3869, 3394, array([-8160.,  -784.,  1536.]), array([ 5972.,   206.,   -91.]), array([ 315., -161., -110.]))
(6, 4994, 4877, 3394, array([-8288., -1152.,  1568.]), array([ 5848.,   213.,  -333.]), array([ 315., -161., -110.]))
(6, 5944, 5885, 5941, array([-8128.,  -624.,  1456.]), array([ 5879.,   236.,  -643.]), array([ 309., -160.,  -99.]))
(6, 7367, 6893, 5941, array([-7744.,  1072.,  1616.]), array([ 5803.,   248.,  -870.]), array([ 309., -160.,  -99.]))
(6, 8317, 7901, 8487, array([-7584.,  1520.,  1536.]), array([ 5798.,   273.,  -840.]), array([ 314., -163.,  -99.]))
(6, 9265, 8909, 8487, array([-7616.,  1040.,  1600.]), array([ 5857.,   285.,  -543.]), array([ 314., -163.,  -99.]))
(6, 10690, 9917, 8487, array([-8048.,  -384.,  1616.]), array([ 5917.,   265.,  -191.]), array([ 314., -163.,  -99.]))
(6, 11639, 10925, 11033, array([-8320., -1088.,  1584.]), array([ 6019.,   203.,   -37.]), array([ 316., -162.,  -91.]))
(6, 12589, 12941, 11033, array([-8256., -1264.,  1536.]), array([ 5937.,   209.,  -438.]), array([ 316., -162.,  -91.]))
(6, 14013, 13949, 13580, array([-7936.,   -80.,  1568.]), array([ 5889.,   218.,  -763.]), array([ 318., -165.,  -82.]))
(6, 14963, 14957, 13580, array([-7776.,  1088.,  1664.]), array([ 5814.,   220.,  -930.]), array([ 318., -165.,  -82.]))
(6, 15912, 15965, 16125, array([-7552.,  1584.,  1600.]), array([ 5860.,   274.,  -763.]), array([ 318., -162.,  -82.]))
(6, 17336, 16973, 16125, array([-7664.,   672.,  1584.]), array([ 5942.,   280.,  -398.]), array([ 318., -162.,  -82.]))
(6, 18285, 17981, 16125, array([-8016.,  -288.,  1632.]), array([ 6050.,   241.,   -96.]), array([ 318., -162.,  -82.]))
(6, 19709, 18989, 18673, array([-8288., -1296.,  1664.]), array([ 6113.,   196.,   -59.]), array([ 319., -162.,  -71.]))
(6, 20658, 19997, 18673, array([-8224., -1072.,  1568.]), array([ 6041.,   213.,  -278.]), array([ 319., -162.,  -71.]))
(6, 21607, 21005, 21221, array([-7952.,  -144.,  1520.]), array([ 6015.,   265.,  -626.]), array([ 319., -164.,  -71.]))
(6, 23031, 23021, 21221, array([-7552.,  1552.,  1584.]), array([ 5915.,   254.,  -928.]), array([ 319., -164.,  -71.]))
(6, 23980, 24029, 23767, array([-7520.,  1536.,  1552.]), array([ 5986.,   267.,  -665.]), array([ 314., -165.,  -67.]))
(6, 24929, 25037, 23767, array([-7696.,   672.,  1488.]), array([ 6066.,   251.,  -261.]), array([ 314., -165.,  -67.]))
(6, 26353, 26045, 26313, array([-8176.,  -832.,  1600.]), array([ 6170.,   221.,   -44.]), array([ 317., -167.,  -63.]))
(6, 27302, 27053, 26313, array([-8352., -1344.,  1616.]), array([ 6158.,   231.,  -124.]), array([ 317., -167.,  -63.]))
(6, 28726, 28061, 26313, array([-8080.,  -608.,  1488.]), array([ 6101.,   223.,  -461.]), array([ 317., -167.,  -63.]))
(6, 29676, 29069, 28859, array([-7824.,   592.,  1504.]), array([ 6060.,   246.,  -817.]), array([ 316., -165.,  -57.]))
(6, 30625, 30077, 28859, array([-7584.,  1552.,  1504.]), array([ 5995.,   239.,  -983.]), array([ 316., -165.,  -57.]))
(6, 32049, 32093, 31406, array([-7600.,  1216.,  1456.]), array([ 6119.,   270.,  -469.]), array([ 319., -165.,  -49.]))
(6, 32998, 33101, 31406, array([-7856.,   336.,  1552.]), array([ 6250.,   242.,   -93.]), array([ 319., -165.,  -49.]))
(6, 33948, 34109, 33953, array([-8160.,  -736.,  1568.]), array([ 6327.,   218.,    15.]), array([ 314., -165.,  -37.]))
(6, 35372, 35117, 33953, array([-8304., -1264.,  1648.]), array([ 6232.,   184.,  -247.]), array([ 314., -165.,  -37.]))
(6, 36321, 36125, 36498, array([-8048.,  -592.,  1568.]), array([ 6214.,   217.,  -628.]), array([ 314., -164.,  -37.]))
(6, 37270, 37133, 36498, array([-7808.,   560.,  1520.]), array([ 6136.,   253.,  -940.]), array([ 314., -164.,  -37.]))
(6, 38694, 38141, 36498, array([-7536.,  1760.,  1440.]), array([ 6128.,   233.,  -980.]), array([ 314., -164.,  -37.]))
(6, 39644, 39149, 39044, array([-7600.,  1376.,  1472.]), array([ 6216.,   242.,  -674.]), array([ 320., -165.,  -34.]))
(6, 41068, 40157, 39044, array([-8016.,  -240.,  1552.]), array([ 6265.,   239.,  -251.]), array([ 320., -165.,  -34.]))
(6, 42017, 42173, 41591, array([-8288., -1056.,  1632.]), array([ 6329.,   188.,   -93.]), array([ 321., -163.,  -20.]))
(6, 42967, 43181, 41591, array([-8272., -1216.,  1568.]), array([ 6295.,   204.,  -359.]), array([ 321., -163.,  -20.]))
(6, 44390, 44189, 44137, array([-7888.,   -64.,  1440.]), array([ 6267.,   256.,  -752.]), array([ 321., -163.,  -20.]))
(6, 45340, 45197, 44137, array([-7728.,  1120.,  1392.]), array([ 6195.,   266.,  -999.]), array([ 321., -163.,  -20.]))
(6, 46289, 46205, 46683, array([-7504.,  1824.,  1328.]), array([ 6216.,   277.,  -909.]), array([ 323., -163.,  -14.]))
(6, 47713, 47213, 46683, array([-7616.,   944.,  1456.]), array([ 6342.,   307.,  -490.]), array([ 323., -163.,  -14.]))
(6, 48662, 48221, 46683, array([-8048.,  -176.,  1632.]), array([ 6451.,   278.,  -116.]), array([ 323., -163.,  -14.]))
(6, 50085, 49230, 49230, array([-8304., -1232.,  1696.]), array([ 6513.,   236.,    -7.]), array([ 323., -163.,   -3.]))
(6, 51034, 50238, 49230, array([-8160., -1040.,  1616.]), array([ 6484.,   206.,  -203.]), array([ 323., -163.,   -3.]))
(6, 51984, 52254, 51776, array([-7936.,   -80.,  1552.]), array([ 6334.,   238.,  -902.]), array([ 324., -159.,   -3.]))
(6, 53408, 53262, 51776, array([-7680.,  1536.,  1424.]), array([ 6319.,   250.,  -982.]), array([ 324., -159.,   -3.]))
(6, 54357, 54270, 54322, array([-7664.,  1760.,  1328.]), array([ 6428.,   267.,  -767.]), array([ 323., -158.,    3.]))
(6, 55306, 55278, 54322, array([-7712.,   880.,  1440.]), array([ 6492.,   267.,  -363.]), array([ 323., -158.,    3.]))
(6, 56730, 56286, 54322, array([-8080.,  -464.,  1600.]), array([ 6623.,   244.,   -58.]), array([ 323., -158.,    3.]))
(6, 57680, 57294, 56868, array([-8256., -1072.,  1632.]), array([ 6598.,   184.,   -83.]), array([ 325., -153.,    7.]))
(6, 59104, 58302, 56868, array([-8144.,  -464.,  1376.]), array([ 6567.,   199.,  -363.]), array([ 325., -153.,    7.]))
(6, 60053, 59310, 59415, array([-7856.,   608.,  1344.]), array([ 6537.,   253.,  -759.]), array([ 324., -157.,   16.]))
(6, 61002, 61326, 59415, array([-7616.,  1568.,  1424.]), array([ 6551.,   271.,  -927.]), array([ 324., -157.,   16.]))
(6, 62426, 62334, 61961, array([-7728.,  1328.,  1440.]), array([ 6601.,   317.,  -564.]), array([ 326., -148.,   24.]))
(6, 63375, 63342, 61961, array([-7888.,   448.,  1520.]), array([ 6659.,   308.,  -197.]), array([ 326., -148.,   24.]))
(6, 64324, 64350, 64508, array([-8096.,  -576.,  1616.]), array([ 6791.,   275.,   -69.]), array([ 326., -149.,   24.]))
(6, 213, 65358, 64508, array([-8208., -1008.,  1616.]), array([ 6752.,   218.,  -242.]), array([ 326., -149.,   24.]))
(6, 1162, 830, 64508, array([-8016.,  -256.,  1600.]), array([ 6691.,   245.,  -608.]), array([ 326., -149.,   24.]))
(6, 2112, 1838, 1519, array([-7872.,   752.,  1424.]), array([ 6624.,   258.,  -923.]), array([ 325., -147.,   35.]))
(6, 3536, 2846, 1519, array([-7728.,  1520.,  1328.]), array([ 6647.,   256.,  -979.]), array([ 325., -147.,   35.]))
(6, 4486, 3854, 4066, array([-7744.,  1168.,  1424.]), array([ 6741.,   241.,  -734.]), array([ 327., -140.,   40.]))
(6, 5910, 5870, 4066, array([-8032.,  -112.,  1424.]), array([ 6939.,   301.,  -176.]), array([ 327., -140.,   40.]))
(6, 6860, 6878, 6612, array([-8160.,  -720.,  1504.]), array([ 6890.,   286.,  -213.]), array([ 327., -138.,   40.]))
(6, 7809, 7886, 6612, array([-8144.,  -720.,  1536.]), array([ 6851.,   266.,  -465.]), array([ 327., -138.,   40.]))
(6, 9233, 8894, 9158, array([-7984.,   672.,  1440.]), array([ 6787.,   269.,  -804.]), array([ 327., -135.,   49.]))
(6, 10183, 9902, 9158, array([-7760.,  1216.,  1296.]), array([ 6742.,   272.,  -927.]), array([ 327., -135.,   49.]))
(6, 11132, 10910, 9158, array([-7744.,  1328.,  1440.]), array([ 6841.,   261.,  -755.]), array([ 327., -135.,   49.]))
(6, 12557, 11918, 11705, array([-8000.,   384.,  1504.]), array([ 6930.,   303.,  -468.]), array([ 327., -133.,   51.]))
(6, 13506, 12926, 11705, array([-8096.,  -416.,  1584.]), array([ 7038.,   293.,  -267.]), array([ 327., -133.,   51.]))
(6, 14930, 14942, 14251, array([-8112.,  -448.,  1408.]), array([ 6970.,   284.,  -488.]), array([ 327., -128.,   59.]))
