(1, 44103, 43599, 44271, array([ 6944.,  -160., -3920.]), array([-6106.,   461.,  6922.]), array([-256.,  -61.,  497.]))
(1, 45526, 45615, 44271, array([ 6992.,    64., -3968.]), array([-6097.,   411.,  6899.]), array([-256.,  -61.,  497.]))
(1, 46475, 46623, 44271, array([ 6944.,   192., -3968.]), array([-6033.,   380.,  6839.]), array([-256.,  -61.,  497.]))
(1, 47898, 47631, 46816, array([ 6800.,   144., -4032.]), array([-5894.,   416.,  6835.]), array([-259.,  -64.,  496.]))
(1, 48846, 48639, 46816, array([ 6832.,   144., -4016.]), array([-5842.,   427.,  6783.]), array([-259.,  -64.,  496.]))
(1, 49795, 49648, 49362, array([ 6944.,   240., -4112.]), array([-5782.,   389.,  6755.]), array([-264.,  -69.,  491.]))
(1, 51219, 50656, 49362, array([ 6992.,   496., -4096.]), array([-5673.,   379.,  6713.]), array([-264.,  -69.,  491.]))
(1, 52169, 51664, 51907, array([ 6976.,   656., -4112.]), array([-5526.,   386.,  6655.]), array([-264.,  -74.,  491.]))
(1, 53118, 52672, 51907, array([ 6832.,   560., -4112.]), array([-5299.,   358.,  6628.]), array([-264.,  -74.,  491.]))
(1, 54542, 53680, 54452, array([ 6784.,   384., -4208.]), array([-5110.,   388.,  6562.]), array([-271.,  -74.,  483.]))
(1, 55492, 55697, 54452, array([ 6720.,   512., -4224.]), array([-4809.,   417.,  6387.]), array([-271.,  -74.,  483.]))
(1, 56915, 56705, 54452, array([ 6560.,   512., -4448.]), array([-4730.,   440.,  6341.]), array([-271.,  -74.,  483.]))
(1, 57865, 57713, 56997, array([ 6464.,   608., -4576.]), array([-4488.,   442.,  6274.]), array([-276.,  -76.,  481.]))
(1, 58813, 58721, 56997, array([ 6384.,   688., -4608.]), array([-4321.,   466.,  6180.]), array([-276.,  -76.,  481.]))
(1, 60237, 59730, 59542, array([ 6384.,   784., -4704.]), array([-4125.,   455.,  6076.]), array([-281.,  -75.,  478.]))
(1, 61186, 60738, 59542, array([ 6384.,   864., -4656.]), array([-3910.,   452.,  6000.]), array([-281.,  -75.,  478.]))
(1, 62136, 61746, 62086, array([ 6352.,   832., -4736.]), array([-3722.,   516.,  5927.]), array([-286.,  -79.,  475.]))
(1, 63559, 62754, 62086, array([ 6224.,   752., -4816.]), array([-3492.,   520.,  5848.]), array([-286.,  -79.,  475.]))
(1, 64509, 64771, 64632, array([ 6224.,   752., -4784.]), array([-3108.,   486.,  5670.]), array([-291.,  -74.,  471.]))
(1, 65458, 243, 64632, array([ 6192.,   784., -4832.]), array([-2933.,   479.,  5598.]), array([-291.,  -74.,  471.]))
(1, 1346, 1251, 64632, array([ 6096.,   720., -4992.]), array([-2841.,   495.,  5547.]), array([-291.,  -74.,  471.]))
(1, 2295, 2259, 1641, array([ 6112.,   640., -5024.]), array([-2688.,   443.,  5473.]), array([-295.,  -73.,  470.]))
(1, 3719, 3267, 1641, array([ 6064.,   656., -5104.]), array([-2585.,   436.,  5409.]), array([-295.,  -73.,  470.]))
(1, 4668, 4276, 4187, array([ 6032.,   640., -5152.]), array([-2503.,   410.,  5338.]), array([-296.,  -72.,  474.]))
(1, 5617, 5284, 4187, array([ 6016.,   608., -5152.]), array([-2422.,   395.,  5280.]), array([-296.,  -72.,  474.]))
(1, 7041, 6292, 6733, array([ 6016.,   640., -5136.]), array([-2400.,   365.,  5197.]), array([-304.,  -69.,  466.]))
(1, 7990, 7300, 6733, array([ 6000.,   592., -5104.]), array([-2298.,   340.,  5147.]), array([-304.,  -69.,  466.]))
(1, 8939, 9317, 9279, array([ 6064.,   528., -5184.]), array([-2264.,   277.,  5004.]), array([-306.,  -68.,  467.]))
(1, 10362, 10325, 9279, array([ 5968.,   528., -5280.]), array([-2296.,   252.,  4944.]), array([-306.,  -68.,  467.]))
(1, 11311, 11333, 9279, array([ 6000.,   512., -5376.]), array([-2317.,   248.,  4903.]), array([-306.,  -68.,  467.]))
(1, 12735, 12341, 11824, array([ 5936.,   624., -5376.]), array([-2291.,   242.,  4849.]), array([-310.,  -62.,  466.]))
(1, 13684, 13349, 11824, array([ 5952.,   528., -5456.]), array([-2289.,   239.,  4763.]), array([-310.,  -62.,  466.]))
(1, 14633, 14358, 14368, array([ 5936.,   448., -5440.]), array([-2261.,   228.,  4700.]), array([-310.,  -62.,  466.]))
(1, 16057, 15366, 14368, array([ 5904.,   320., -5344.]), array([-2252.,   203.,  4669.]), array([-310.,  -62.,  466.]))
(1, 17005, 16374, 16912, array([ 5936.,   368., -5296.]), array([-2298.,   216.,  4612.]), array([-312.,  -59.,  458.]))
(1, 17954, 18391, 16912, array([ 5856.,   400., -5376.]), array([-2413.,   178.,  4542.]), array([-312.,  -59.,  458.]))
(1, 19378, 19399, 19458, array([ 5824.,   368., -5344.]), array([-2528.,   162.,  4528.]), array([-315.,  -59.,  460.]))
(1, 20327, 20407, 19458, array([ 5824.,   384., -5328.]), array([-2556.,   128.,  4512.]), array([-315.,  -59.,  460.]))
(1, 21751, 21415, 19458, array([ 5792.,   432., -5408.]), array([-2705.,   167.,  4474.]), array([-315.,  -59.,  460.]))
(1, 22701, 22423, 22002, array([ 5760.,   448., -5520.]), array([-2794.,   132.,  4472.]), array([-318.,  -59.,  461.]))
(1, 23650, 23432, 22002, array([ 5744.,   272., -5408.]), array([-2921.,   118.,  4441.]), array([-318.,  -59.,  461.]))
(1, 25074, 24440, 24548, array([ 5632.,  1072., -5168.]), array([-2967.,    74.,  4420.]), array([-321.,  -57.,  459.]))
(1, 26023, 25448, 24548, array([ 5536.,  1184., -5504.]), array([-2863.,    15.,  4298.]), array([-321.,  -57.,  459.]))
(1, 26972, 26456, 27093, array([ 5424.,   960., -5696.]), array([-2902.,   101.,  4124.]), array([-322.,  -57.,  460.]))
(1, 28397, 28473, 27093, array([ 5552.,   496., -5600.]), array([-2818.,    -5.,  4093.]), array([-322.,  -57.,  460.]))
(1, 29346, 29481, 29639, array([ 5568.,   544., -5552.]), array([-2755.,   -68.,  4069.]), array([-324.,  -56.,  456.]))
(1, 30295, 30489, 29639, array([ 5456.,   768., -5600.]), array([-2724.,  -155.,  4006.]), array([-324.,  -56.,  456.]))
(1, 31719, 31497, 29639, array([ 5344.,   976., -5616.]), array([-2749.,  -173.,  3896.]), array([-324.,  -56.,  456.]))
(1, 32668, 32505, 32184, array([ 5328.,  1040., -5600.]), array([-2585.,  -169.,  3765.]), array([-327.,  -56.,  456.]))
(1, 34092, 33514, 32184, array([ 5392.,  1168., -5552.]), array([-2496.,  -171.,  3625.]), array([-327.,  -56.,  456.]))
(1, 35042, 34522, 34730, array([ 5408.,  1216., -5584.]), array([-2391.,  -172.,  3505.]), array([-328.,  -52.,  453.]))
(1, 35991, 35530, 34730, array([ 5408.,  1216., -5520.]), array([-2280.,  -201.,  3379.]), array([-328.,  -52.,  453.]))
(1, 37415, 36538, 37274, array([ 5280.,  1200., -5488.]), array([-2197.,  -219.,  3238.]), array([-327.,  -51.,  455.]))
(1, 38364, 38555, 37274, array([ 5216.,  1168., -5408.]), array([-1808.,  -247.,  2955.]), array([-327.,  -51.,  455.]))
