(1, 47164, 46838, 46438, array([ 6784.,  -592., -3792.]), array([ -87.,  133.,  148.]), array([-300.,  137.,  479.]))
(1, 49537, 48855, 48982, array([ 6736.,  -464., -3680.]), array([-215.,  131.,   42.]), array([-298.,  136.,  476.]))
(1, 50486, 49863, 48982, array([ 6752.,  -432., -3664.]), array([-251.,   95.,   -6.]), array([-298.,  136.,  476.]))
(1, 51435, 50871, 51529, array([ 6752.,  -432., -3648.]), array([-268.,   74.,  -43.]), array([-299.,  135.,  478.]))
(1, 52859, 52888, 51529, array([ 6816.,  -496., -3456.]), array([-236.,   61.,  -86.]), array([-299.,  135.,  478.]))
(1, 53808, 53896, 51529, array([ 6768.,  -512., -3456.]), array([-132.,   44.,  -64.]), array([-299.,  135.,  478.]))
(1, 54758, 54904, 54074, array([ 6800.,  -528., -3440.]), array([-111.,   32.,  -73.]), array([-301.,  133.,  477.]))
(1, 56182, 55912, 54074, array([ 6736.,  -576., -3376.]), array([-78.,  49., -40.]), array([-301.,  133.,  477.]))
(1, 57131, 56921, 56619, array([ 6768.,  -608., -3376.]), array([-34.,   1., -56.]), array([-299.,  137.,  479.]))
(1, 58081, 57929, 56619, array([ 6816.,  -656., -3312.]), array([-77., -29., -59.]), array([-299.,  137.,  479.]))
(1, 59505, 58937, 59165, array([ 6928.,  -720., -3392.]), array([-68.,  16., -53.]), array([-297.,  134.,  481.]))
(1, 60455, 59945, 59165, array([ 7024.,  -784., -3392.]), array([-100.,   22.,  -17.]), array([-297.,  134.,  481.]))
(1, 61879, 60954, 61710, array([ 7040.,  -736., -3440.]), array([-153.,    3.,   19.]), array([-301.,  134.,  479.]))
(1, 62829, 62970, 61710, array([ 7040.,  -736., -3536.]), array([-288.,  -78.,   53.]), array([-301.,  134.,  479.]))
(1, 63779, 63978, 61710, array([ 6960.,  -736., -3552.]), array([-351.,  -90.,   91.]), array([-301.,  134.,  479.]))
(1, 65203, 64986, 64256, array([ 6976.,  -752., -3616.]), array([-474., -106.,  102.]), array([-298.,  133.,  478.]))
(1, 617, 459, 64256, array([ 6976.,  -752., -3600.]), array([-555., -158.,  127.]), array([-298.,  133.,  478.]))
(1, 1566, 1467, 1266, array([ 6944.,  -800., -3504.]), array([-577., -143.,  146.]), array([-298.,  132.,  478.]))
(1, 2990, 2475, 1266, array([ 6928.,  -784., -3472.]), array([-678., -137.,  142.]), array([-298.,  132.,  478.]))
