(1, 32886, 32798, 32654, array([ 7984.,   592., -2720.]), array([-1387.,  -237.,  -185.]), array([-424.,   56.,  399.]))
(1, 34310, 33806, 32654, array([ 7968.,   624., -2624.]), array([-1295.,  -279.,  -249.]), array([-424.,   56.,  399.]))
(1, 35260, 34814, 35200, array([ 7952.,   656., -2704.]), array([-1220.,  -352.,  -290.]), array([-425.,   54.,  398.]))
(1, 36684, 35822, 35200, array([ 7840.,   656., -2704.]), array([-1245.,  -392.,  -306.]), array([-425.,   54.,  398.]))
(1, 37633, 37839, 37747, array([ 7824.,   608., -2720.]), array([-929., -499., -403.]), array([-421.,   49.,  398.]))
(1, 38582, 38847, 37747, array([ 7792.,   480., -2720.]), array([-817., -533., -415.]), array([-421.,   49.,  398.]))
(1, 40006, 39855, 37747, array([ 7792.,   400., -2864.]), array([-753., -580., -419.]), array([-421.,   49.,  398.]))
(1, 40955, 40863, 40294, array([ 7792.,   512., -2928.]), array([-651., -624., -432.]), array([-419.,   47.,  400.]))
(1, 41904, 41871, 40294, array([ 7712.,   544., -3072.]), array([-577., -687., -437.]), array([-419.,   47.,  400.]))
(1, 43329, 42879, 42840, array([ 7728.,   528., -3152.]), array([-522., -717., -465.]), array([-421.,   46.,  397.]))
(1, 44278, 43887, 42840, array([ 7792.,   416., -3056.]), array([-430., -779., -473.]), array([-421.,   46.,  397.]))
(1, 45701, 44895, 45386, array([ 7824.,   368., -3024.]), array([-341., -833., -487.]), array([-421.,   44.,  400.]))
(1, 46651, 45904, 45386, array([ 7920.,   368., -2992.]), array([-324., -888., -504.]), array([-421.,   44.,  400.]))
(1, 47601, 47920, 47933, array([ 7952.,   400., -2992.]), array([ -246., -1006.,  -488.]), array([-418.,   42.,  401.]))
(1, 49025, 48928, 47933, array([ 7904.,   448., -2848.]), array([ -170., -1077.,  -475.]), array([-418.,   42.,  401.]))
(1, 49974, 49936, 47933, array([ 7872.,   464., -2800.]), array([ -148., -1134.,  -479.]), array([-418.,   42.,  401.]))
(1, 50924, 50944, 50478, array([ 7824.,   496., -2832.]), array([ -140., -1165.,  -504.]), array([-414.,   39.,  406.]))
(1, 52347, 51952, 50478, array([ 7792.,   560., -2896.]), array([  -90., -1184.,  -478.]), array([-414.,   39.,  406.]))
(1, 53296, 52960, 53025, array([ 7712.,   592., -3120.]), array([ -143., -1193.,  -453.]), array([-414.,   39.,  406.]))
(1, 54721, 53969, 53025, array([ 7728.,   480., -3360.]), array([ -170., -1214.,  -440.]), array([-414.,   39.,  406.]))
(1, 55669, 54977, 55570, array([ 7824.,   400., -3424.]), array([ -224., -1213.,  -445.]), array([-412.,   38.,  408.]))
(1, 56618, 55985, 55570, array([ 7904.,   352., -3616.]), array([ -331., -1235.,  -432.]), array([-412.,   38.,  408.]))
(1, 58042, 58001, 55570, array([ 8080.,   288., -3776.]), array([ -561., -1250.,  -467.]), array([-412.,   38.,  408.]))
(1, 58991, 59009, 58117, array([ 8144.,   320., -3920.]), array([ -680., -1287.,  -469.]), array([-405.,   36.,  410.]))
(1, 59940, 60017, 58117, array([ 8192.,   352., -3936.]), array([ -834., -1329.,  -519.]), array([-405.,   36.,  410.]))
(1, 61364, 61026, 60663, array([ 8176.,   416., -4064.]), array([ -983., -1418.,  -591.]), array([-409.,   35.,  412.]))
(1, 62314, 62034, 60663, array([ 8080.,   416., -4128.]), array([-1072., -1523.,  -576.]), array([-409.,   35.,  412.]))
(1, 63263, 63042, 63209, array([ 7936.,   496., -4160.]), array([-1177., -1651.,  -590.]), array([-404.,   29.,  419.]))
(1, 64688, 64050, 63209, array([ 7856.,   544., -4240.]), array([-1240., -1752.,  -601.]), array([-404.,   29.,  419.]))
(1, 101, 65058, 218, array([ 7904.,   656., -4288.]), array([-1273., -1882.,  -609.]), array([-402.,   26.,  416.]))
(1, 1525, 1538, 218, array([ 7952.,   768., -4464.]), array([-1356., -2035.,  -593.]), array([-402.,   26.,  416.]))
(1, 2474, 2546, 218, array([ 8064.,   688., -4496.]), array([-1313., -2102.,  -612.]), array([-402.,   26.,  416.]))
