(1, 11705, 11498, 9293, array([ 2928., -2816., -4640.]), array([ 533., -388.,  189.]), array([  -9.,  238.,  549.]))
(1, 12654, 12507, 11838, array([ 2960., -2704., -4736.]), array([ 279., -328.,  268.]), array([  -6.,  242.,  547.]))
(1, 13604, 13515, 11838, array([ 2896., -2768., -4960.]), array([ 117., -242.,  339.]), array([  -6.,  242.,  547.]))
(1, 15028, 14523, 14384, array([ 2896., -2608., -5040.]), array([  24., -141.,  364.]), array([  -8.,  238.,  554.]))
(1, 15977, 15531, 14384, array([ 2944., -2336., -5168.]), array([ -54.,  -26.,  393.]), array([  -8.,  238.,  554.]))
(1, 16926, 16539, 16930, array([ 2976., -2240., -5296.]), array([-102.,   85.,  406.]), array([  -5.,  240.,  546.]))
(1, 18350, 17548, 16930, array([ 2896., -2336., -5328.]), array([ -28.,  163.,  365.]), array([  -5.,  240.,  546.]))
(1, 19300, 19564, 19475, array([ 2976., -2256., -5344.]), array([ 100.,  357.,  314.]), array([  -5.,  237.,  546.]))
(1, 20249, 20572, 19475, array([ 2960., -2096., -5392.]), array([ 170.,  409.,  261.]), array([  -5.,  237.,  546.]))
(1, 21673, 21580, 19475, array([ 2960., -2000., -5472.]), array([ 217.,  440.,  179.]), array([  -5.,  237.,  546.]))
(1, 22623, 22589, 22020, array([ 2944., -2048., -5488.]), array([ 386.,  457.,  111.]), array([  -7.,  238.,  545.]))
(1, 24047, 23597, 22020, array([ 3024., -1984., -5568.]), array([ 502.,  489.,   16.]), array([  -7.,  238.,  545.]))
(1, 24997, 24605, 24566, array([ 3008., -2000., -5728.]), array([ 560.,  514.,  -72.]), array([ -10.,  240.,  546.]))
(1, 25946, 25613, 24566, array([ 2976., -2064., -5792.]), array([ 716.,  484., -137.]), array([ -10.,  240.,  546.]))
(1, 27370, 26621, 27112, array([ 3008., -2192., -5792.]), array([ 819.,  463., -217.]), array([ -10.,  238.,  546.]))
(1, 28319, 27629, 27112, array([ 3008., -2176., -5792.]), array([ 936.,  448., -264.]), array([ -10.,  238.,  546.]))
(1, 29269, 29646, 29657, array([ 2992., -2256., -5872.]), array([ 1099.,   430.,  -335.]), array([  -8.,  245.,  547.]))
(1, 30693, 30654, 29657, array([ 3024., -2400., -6016.]), array([ 1202.,   431.,  -314.]), array([  -8.,  245.,  547.]))
(1, 31642, 31662, 29657, array([ 3056., -2544., -6080.]), array([ 1263.,   471.,  -297.]), array([  -8.,  245.,  547.]))
(1, 33065, 32670, 32204, array([ 2976., -2560., -6112.]), array([ 1309.,   462.,  -275.]), array([  -9.,  246.,  544.]))
(1, 34014, 33679, 32204, array([ 2880., -2608., -6144.]), array([ 1282.,   464.,  -244.]), array([  -9.,  246.,  544.]))
(1, 34963, 34687, 34750, array([ 2880., -2656., -6272.]), array([ 1251.,   472.,  -211.]), array([ -12.,  250.,  544.]))
(1, 36388, 35695, 34750, array([ 3024., -2752., -6272.]), array([ 1166.,   493.,  -167.]), array([ -12.,  250.,  544.]))
(1, 37338, 36703, 37295, array([ 3040., -2784., -6272.]), array([ 1023.,   528.,  -138.]), array([  -6.,  251.,  544.]))
(1, 38287, 38720, 37295, array([ 3056., -2800., -6208.]), array([ 765.,  554.,  -66.]), array([  -6.,  251.,  544.]))
(1, 39712, 39728, 39842, array([ 3152., -2784., -6448.]), array([ 528.,  587.,  -58.]), array([ -10.,  251.,  541.]))
(1, 40661, 40736, 39842, array([ 3264., -2672., -6496.]), array([ 374.,  602.,  -36.]), array([ -10.,  251.,  541.]))
(1, 42085, 41744, 39842, array([ 3312., -2560., -6512.]), array([ 265.,  536.,  -63.]), array([ -10.,  251.,  541.]))
(1, 43034, 42752, 42388, array([ 3296., -2608., -6528.]), array([ 196.,  524.,  -33.]), array([ -12.,  254.,  544.]))
(1, 43983, 43761, 42388, array([ 3296., -2608., -6544.]), array([  89.,  456.,  -96.]), array([ -12.,  254.,  544.]))
(1, 45407, 44769, 44935, array([ 3328., -2624., -6496.]), array([ -13.,  416.,  -79.]), array([ -12.,  253.,  544.]))
(1, 46356, 45777, 44935, array([ 3312., -2720., -6480.]), array([ -84.,  326.,  -50.]), array([ -12.,  253.,  544.]))
(1, 47305, 46785, 47482, array([ 3296., -2720., -6480.]), array([-252.,  256., -107.]), array([ -12.,  250.,  544.]))
(1, 48729, 48802, 47482, array([ 3200., -2688., -6464.]), array([-540.,  114.,  -62.]), array([ -12.,  250.,  544.]))
(1, 49678, 49810, 47482, array([ 3216., -2720., -6384.]), array([-721.,   60.,  -58.]), array([ -12.,  250.,  544.]))
(1, 50628, 50818, 50028, array([ 3136., -2640., -6368.]), array([-895.,  -26.,  -56.]), array([ -15.,  249.,  544.]))
(1, 52052, 51826, 50028, array([ 3072., -2560., -6352.]), array([-1042.,   -77.,   -41.]), array([ -15.,  249.,  544.]))
(1, 53001, 52834, 52573, array([ 2992., -2496., -6448.]), array([-1013.,   -73.,   -55.]), array([ -12.,  243.,  546.]))
(1, 54425, 53843, 52573, array([ 3056., -2432., -6432.]), array([-992.,  -38.,  -64.]), array([ -12.,  243.,  546.]))
(1, 55375, 54851, 55119, array([ 3120., -2304., -6416.]), array([-952.,   27.,  -52.]), array([ -12.,  241.,  546.]))
(1, 56324, 55859, 55119, array([ 3072., -2304., -6464.]), array([-742.,   45.,  -52.]), array([ -12.,  241.,  546.]))
(1, 57748, 56867, 57665, array([ 3136., -2368., -6432.]), array([-487.,   92.,  -79.]), array([ -12.,  241.,  547.]))
(1, 58697, 58883, 57665, array([ 3120., -2448., -6416.]), array([  55.,  124.,  -46.]), array([ -12.,  241.,  547.]))
(1, 59647, 59892, 57665, array([ 3120., -2512., -6400.]), array([ 293.,  156.,  -34.]), array([ -12.,  241.,  547.]))
(1, 61070, 60900, 60212, array([ 3120., -2736., -6256.]), array([ 474.,  205.,  -24.]), array([ -11.,  244.,  546.]))
(1, 62020, 61908, 60212, array([ 3120., -2832., -6160.]), array([ 531.,  218.,   -5.]), array([ -11.,  244.,  546.]))
(1, 63444, 62916, 62757, array([ 3088., -2944., -6112.]), array([ 582.,  277.,   28.]), array([ -12.,  240.,  552.]))
(1, 64393, 63924, 62757, array([ 3088., -2960., -6080.]), array([ 535.,  273.,   44.]), array([ -12.,  240.,  552.]))
(1, 65343, 64933, 65302, array([ 3088., -2960., -6080.]), array([ 426.,  287.,  101.]), array([ -16.,  244.,  543.]))
(1, 1232, 405, 65302, array([ 3200., -2816., -6032.]), array([ 320.,  331.,  115.]), array([ -16.,  244.,  543.]))
(1, 2181, 2421, 2312, array([ 3168., -2752., -6096.]), array([ 175.,  383.,  142.]), array([ -12.,  242.,  548.]))
(1, 3130, 3429, 2312, array([ 3056., -2832., -6080.]), array([ 163.,  374.,  116.]), array([ -12.,  242.,  548.]))
(1, 4555, 4438, 2312, array([ 3232., -2720., -6112.]), array([  78.,  309.,  117.]), array([ -12.,  242.,  548.]))
(1, 5504, 5446, 4859, array([ 3280., -2592., -6288.]), array([  32.,  267.,   91.]), array([ -15.,  243.,  545.]))
(1, 6928, 6454, 4859, array([ 3328., -2496., -6368.]), array([ -10.,  254.,   61.]), array([ -15.,  243.,  545.]))
