(1, 17149, 17248, 16678, array([ 8656.,  1296., -2736.]), array([ -182.,  3631.,  -612.]), array([-434., -184.,  232.]))
(1, 18573, 18257, 16678, array([ 8608.,  1120., -2640.]), array([ -260.,  3567.,  -588.]), array([-434., -184.,  232.]))
(1, 19522, 19265, 19222, array([ 8544.,  1120., -2704.]), array([ -330.,  3483.,  -546.]), array([-434., -185.,  232.]))
(1, 20946, 20273, 19222, array([ 8512.,  1104., -2656.]), array([ -450.,  3390.,  -514.]), array([-434., -185.,  232.]))
(1, 21895, 21281, 21766, array([ 8416.,  1072., -2736.]), array([ -492.,  3295.,  -473.]), array([-436., -186.,  227.]))
(1, 22844, 22289, 21766, array([ 8368.,  1104., -2720.]), array([ -573.,  3217.,  -404.]), array([-436., -186.,  227.]))
(1, 24268, 24306, 21766, array([ 8256.,  1136., -2672.]), array([ -531.,  3101.,  -267.]), array([-436., -186.,  227.]))
(1, 26167, 26322, 24311, array([ 8192.,   976., -2704.]), array([ -411.,  2987.,  -109.]), array([-438., -190.,  216.]))
(1, 27591, 27330, 26856, array([ 8256.,   688., -2720.]), array([ -473.,  2935.,    -9.]), array([-438., -187.,  216.]))
(1, 28540, 28338, 26856, array([ 8192.,   448., -2560.]), array([ -574.,  2866.,    32.]), array([-438., -187.,  216.]))
(1, 29489, 29346, 29401, array([ 8096.,   256., -2528.]), array([ -869.,  2726.,   107.]), array([-441., -189.,  212.]))
(1, 30913, 30355, 29401, array([ 8224.,   336., -2640.]), array([-1316.,  2574.,   179.]), array([-441., -189.,  212.]))
(1, 31862, 31363, 31946, array([ 8224.,   432., -2736.]), array([-1528.,  2467.,   275.]), array([-443., -190.,  204.]))
(1, 33286, 32371, 31946, array([ 8096.,  1056., -2752.]), array([-1765.,  2433.,   278.]), array([-443., -190.,  204.]))
(1, 34235, 34387, 31946, array([ 8080.,  1360., -2736.]), array([-1829.,  2276.,   332.]), array([-443., -190.,  204.]))
(1, 35184, 35395, 34491, array([ 8144.,  1456., -2672.]), array([-1580.,  2244.,   374.]), array([-443., -187.,  197.]))
(1, 36608, 36404, 34491, array([ 8048.,  1792., -2688.]), array([-1221.,  2222.,   421.]), array([-443., -187.,  197.]))
(1, 37557, 37412, 37035, array([ 7872.,  1904., -2672.]), array([ -867.,  2188.,   432.]), array([-447., -188.,  194.]))
(1, 38506, 38420, 37035, array([ 7744.,  2160., -2656.]), array([ -405.,  2191.,   514.]), array([-447., -188.,  194.]))
(1, 39930, 39428, 39580, array([ 7728.,  2144., -2688.]), array([  222.,  2220.,   601.]), array([-447., -188.,  192.]))
(1, 40879, 40436, 39580, array([ 7760.,  1984., -2672.]), array([  783.,  2268.,   710.]), array([-447., -188.,  192.]))
(1, 42302, 41444, 42125, array([ 7744.,  1744., -2672.]), array([ 1289.,  2325.,   776.]), array([-447., -185.,  186.]))
(1, 43251, 42453, 42125, array([ 7776.,  1456., -2608.]), array([ 1549.,  2359.,   815.]), array([-447., -185.,  186.]))
(1, 44200, 44469, 42125, array([ 7936.,   304., -2768.]), array([ 1749.,  2379.,   871.]), array([-447., -185.,  186.]))
(1, 45624, 45477, 44670, array([ 8112.,  1712., -2720.]), array([ 1259.,  2404.,   854.]), array([-450., -183.,  181.]))
