(1, 55058, 54684, 53791, array([ 7584.,  1264., -3360.]), array([  196., -6159.,  -707.]), array([-341., -160.,  405.]))
(1, 56008, 55693, 56336, array([ 7472.,  1248., -3120.]), array([  304., -6148.,  -718.]), array([-332., -159.,  415.]))
(1, 57431, 56701, 56336, array([ 7264.,  1072., -3008.]), array([  448., -6136.,  -710.]), array([-332., -159.,  415.]))
(1, 58380, 57709, 56336, array([ 7248.,  1056., -2976.]), array([  587., -6061.,  -717.]), array([-332., -159.,  415.]))
(1, 59329, 59725, 58881, array([ 7072.,   848., -2992.]), array([  532., -5865.,  -714.]), array([-313., -158.,  429.]))
(1, 60753, 60733, 58881, array([ 6784.,   864., -2704.]), array([  645., -5828.,  -661.]), array([-313., -158.,  429.]))
(1, 61702, 61742, 61427, array([ 6752.,   752., -2624.]), array([  619., -5747.,  -664.]), array([-313., -163.,  429.]))
(1, 62651, 62750, 61427, array([ 6608.,   752., -2720.]), array([  565., -5588.,  -626.]), array([-313., -163.,  429.]))
(1, 64075, 63758, 63973, array([ 6528.,   752., -2688.]), array([  576., -5434.,  -610.]), array([-304., -166.,  438.]))
(1, 65024, 64766, 63973, array([ 6528.,   768., -2656.]), array([  689., -5331.,  -580.]), array([-304., -166.,  438.]))
(1, 911, 238, 63973, array([ 6448.,   896., -2736.]), array([  803., -5191.,  -534.]), array([-304., -166.,  438.]))
(1, 1860, 1246, 982, array([ 6336.,   912., -2752.]), array([  806., -5037.,  -492.]), array([-292., -166.,  447.]))
(1, 2809, 2254, 982, array([ 6272.,   976., -2736.]), array([  919., -4921.,  -436.]), array([-292., -166.,  447.]))
(1, 4233, 4271, 3527, array([ 6272.,   912., -2688.]), array([ 1130., -4694.,  -367.]), array([-287., -163.,  453.]))
(1, 5182, 5279, 3527, array([ 6176.,   848., -2624.]), array([ 1329., -4543.,  -272.]), array([-287., -163.,  453.]))
(1, 6131, 6287, 6072, array([ 6016.,   576., -2608.]), array([ 1375., -4385.,  -230.]), array([-275., -164.,  463.]))
(1, 7555, 7295, 6072, array([ 5808.,   592., -2704.]), array([ 1373., -4267.,  -196.]), array([-275., -164.,  463.]))
(1, 8504, 8303, 8617, array([ 5632.,   592., -2736.]), array([ 1381., -4144.,  -188.]), array([-268., -164.,  465.]))
(1, 9928, 9312, 8617, array([ 5520.,   592., -2832.]), array([ 1427., -4057.,  -194.]), array([-268., -164.,  465.]))
(1, 10877, 10320, 8617, array([ 5504.,   576., -2880.]), array([ 1540., -3908.,  -187.]), array([-268., -164.,  465.]))
(1, 11826, 11328, 11163, array([ 5504.,   560., -2944.]), array([ 1534., -3755.,  -154.]), array([-261., -164.,  472.]))
(1, 13250, 12336, 11163, array([ 5488.,   624., -3008.]), array([ 1575., -3609.,  -135.]), array([-261., -164.,  472.]))
(1, 14199, 14352, 13708, array([ 5536.,   624., -3024.]), array([ 1597., -3398.,   -73.]), array([-254., -159.,  480.]))
(1, 15149, 15360, 13708, array([ 5440.,   592., -3040.]), array([ 1684., -3251.,   -37.]), array([-254., -159.,  480.]))
(1, 16573, 16369, 16252, array([ 5424.,   528., -2912.]), array([ 1642., -3110.,    12.]), array([-246., -156.,  480.]))
(1, 17522, 17377, 16252, array([ 5376.,   448., -2960.]), array([ 1664., -3020.,    22.]), array([-246., -156.,  480.]))
(1, 18945, 18385, 18796, array([ 5312.,   416., -3008.]), array([ 1660., -2895.,    76.]), array([-240., -157.,  486.]))
(1, 19895, 19393, 18796, array([ 5200.,   384., -3072.]), array([ 1644., -2776.,   136.]), array([-240., -157.,  486.]))
(1, 20844, 20401, 18796, array([ 5184.,   368., -3104.]), array([ 1686., -2687.,   153.]), array([-240., -157.,  486.]))
(1, 22267, 21409, 21342, array([ 5040.,   304., -3216.]), array([ 1635., -2544.,   171.]), array([-231., -154.,  501.]))
(1, 23216, 23426, 21342, array([ 5088.,   336., -3264.]), array([ 1526., -2344.,   238.]), array([-231., -154.,  501.]))
(1, 24165, 24434, 23886, array([ 5040.,   320., -3296.]), array([ 1463., -2246.,   281.]), array([-231., -149.,  501.]))
(1, 25589, 25442, 23886, array([ 5008.,   256., -3248.]), array([ 1411., -2142.,   341.]), array([-231., -149.,  501.]))
(1, 26538, 26450, 26432, array([ 4944.,   192., -3280.]), array([ 1257., -2035.,   353.]), array([-232., -150.,  500.]))
(1, 27487, 27458, 26432, array([ 4864.,   176., -3264.]), array([ 1156., -1960.,   355.]), array([-232., -150.,  500.]))
(1, 28910, 28467, 28976, array([ 4800.,   128., -3328.]), array([  996., -1872.,   379.]), array([-223., -146.,  500.]))
(1, 29859, 29475, 28976, array([ 4784.,   192., -3360.]), array([  838., -1782.,   413.]), array([-223., -146.,  500.]))
(1, 31283, 30483, 28976, array([ 4816.,   272., -3408.]), array([  764., -1715.,   427.]), array([-223., -146.,  500.]))
(1, 32232, 31491, 31522, array([ 4784.,   352., -3568.]), array([  654., -1635.,   424.]), array([-218., -145.,  502.]))
(1, 33181, 33507, 31522, array([ 4768.,   384., -3632.]), array([  586., -1410.,   404.]), array([-218., -145.,  502.]))
(1, 34605, 34516, 34067, array([ 4784.,   448., -3808.]), array([  531., -1325.,   404.]), array([-214., -144.,  508.]))
(1, 35554, 35524, 34067, array([ 4736.,   480., -3840.]), array([  576., -1258.,   394.]), array([-214., -144.,  508.]))
(1, 36503, 36532, 36613, array([ 4736.,   480., -3952.]), array([  620., -1210.,   390.]), array([-213., -146.,  506.]))
(1, 37927, 37540, 36613, array([ 4704.,   560., -3984.]), array([  706., -1116.,   391.]), array([-213., -146.,  506.]))
(1, 38876, 38548, 39158, array([ 4672.,   576., -4032.]), array([  761., -1026.,   374.]), array([-214., -143.,  510.]))
(1, 40300, 39556, 39158, array([ 4640.,   384., -4032.]), array([ 799., -962.,  349.]), array([-214., -143.,  510.]))
(1, 41249, 40564, 39158, array([ 4640.,   352., -4064.]), array([ 860., -883.,  353.]), array([-214., -143.,  510.]))
(1, 42198, 41573, 41702, array([ 4688.,   368., -4064.]), array([ 838., -826.,  342.]), array([-210., -143.,  511.]))
(1, 43622, 43589, 41702, array([ 4672.,   304., -4080.]), array([ 700., -728.,  306.]), array([-210., -143.,  511.]))
(1, 44572, 44597, 44248, array([ 4688.,   256., -4128.]), array([ 644., -680.,  268.]), array([-211., -141.,  509.]))
(1, 45521, 45605, 44248, array([ 4704.,   176., -4128.]), array([ 559., -616.,  242.]), array([-211., -141.,  509.]))
(1, 46944, 46613, 46793, array([ 4704.,   192., -4176.]), array([ 443., -564.,  238.]), array([-207., -138.,  516.]))
(1, 47893, 47622, 46793, array([ 4704.,   240., -4192.]), array([ 371., -563.,  194.]), array([-207., -138.,  516.]))
