(1, 60367, 60075, 59685, array([ 7328.,  1024.,  3424.]), array([  510.,  1522.,   -99.]), array([-477.,  207., -161.]))
(1, 61316, 61083, 59685, array([ 7312.,  1056.,  3424.]), array([  476.,  1509.,   -91.]), array([-477.,  207., -161.]))
(1, 62266, 62091, 62230, array([ 7248.,   976.,  3344.]), array([  477.,  1521.,   -73.]), array([-473.,  203., -164.]))
(1, 63689, 63100, 62230, array([ 7200.,   928.,  3200.]), array([  472.,  1495.,   -62.]), array([-473.,  203., -164.]))
(1, 64639, 64108, 64775, array([ 7248.,   928.,  3280.]), array([  487.,  1478.,   -51.]), array([-473.,  203., -173.]))
(1, 527, 65116, 64775, array([ 7184.,   912.,  3232.]), array([  573.,  1384.,   -49.]), array([-473.,  203., -173.]))
(1, 1476, 1596, 64775, array([ 7168.,   864.,  3216.]), array([  713.,  1361.,   -21.]), array([-473.,  203., -173.]))
(1, 2426, 2604, 1786, array([ 7184.,   912.,  3184.]), array([  818.,  1311.,     7.]), array([-475.,  205., -175.]))
(1, 3850, 3612, 1786, array([ 7152.,   912.,  3232.]), array([  893.,  1283.,    13.]), array([-475.,  205., -175.]))
(1, 4799, 4620, 4331, array([ 7088.,   944.,  3264.]), array([  966.,  1237.,    27.]), array([-471.,  201., -181.]))
(1, 5749, 5628, 4331, array([ 7152.,   976.,  3344.]), array([  975.,  1209.,    51.]), array([-471.,  201., -181.]))
(1, 7172, 6636, 6878, array([ 7056.,  1008.,  3408.]), array([ 1047.,  1162.,    72.]), array([-471.,  198., -181.]))
(1, 8122, 7645, 6878, array([ 7136.,  1040.,  3408.]), array([ 1031.,  1112.,    43.]), array([-471.,  198., -181.]))
(1, 9546, 8653, 9423, array([ 7056.,  1088.,  3520.]), array([ 1019.,  1084.,    70.]), array([-469.,  195., -181.]))
(1, 10495, 10669, 9423, array([ 7008.,  1168.,  3552.]), array([ 940.,  997.,   65.]), array([-469.,  195., -181.]))
(1, 11445, 11677, 9423, array([ 7088.,  1184.,  3664.]), array([ 903.,  952.,   33.]), array([-469.,  195., -181.]))
(1, 12869, 12685, 11969, array([ 7104.,  1232.,  3728.]), array([ 734.,  904.,   37.]), array([-468.,  198., -179.]))
(1, 13819, 13693, 11969, array([ 7120.,  1312.,  3872.]), array([ 636.,  865.,   28.]), array([-468.,  198., -179.]))
(1, 14768, 14701, 14514, array([ 7136.,  1312.,  3904.]), array([ 551.,  836.,   29.]), array([-468.,  196., -179.]))
(1, 16193, 15709, 14514, array([ 7248.,  1296.,  3888.]), array([ 402.,  789.,   16.]), array([-468.,  196., -179.]))
(1, 17142, 16718, 17058, array([ 7296.,  1344.,  4016.]), array([ 260.,  746.,   29.]), array([-467.,  196., -188.]))
(1, 18091, 17726, 17058, array([ 7296.,  1392.,  4032.]), array([ 118.,  698.,   10.]), array([-467.,  196., -188.]))
(1, 19516, 18734, 19604, array([ 7440.,  1296.,  3888.]), array([ -31.,  661.,   18.]), array([-468.,  196., -188.]))
(1, 20466, 20750, 19604, array([ 7520.,  1216.,  3856.]), array([-253.,  597.,  -22.]), array([-468.,  196., -188.]))
(1, 21890, 21758, 19604, array([ 7504.,  1184.,  3904.]), array([-332.,  585.,  -34.]), array([-468.,  196., -188.]))
(1, 22839, 22766, 22150, array([ 7584.,  1088.,  3872.]), array([-378.,  568.,  -41.]), array([-471.,  194., -190.]))
(1, 23789, 23774, 22150, array([ 7600.,  1056.,  3840.]), array([-427.,  612.,  -66.]), array([-471.,  194., -190.]))
(1, 25213, 24782, 24694, array([ 7632.,  1024.,  3776.]), array([-431.,  594.,  -68.]), array([-465.,  197., -189.]))
(1, 26163, 25791, 24694, array([ 7552.,  1024.,  3776.]), array([-402.,  573., -105.]), array([-465.,  197., -189.]))
(1, 27112, 26799, 27240, array([ 7488.,   976.,  3808.]), array([-380.,  612., -131.]), array([-465.,  195., -190.]))
(1, 28536, 27807, 27240, array([ 7424.,   880.,  3776.]), array([-343.,  637., -161.]), array([-465.,  195., -190.]))
(1, 29485, 28815, 29786, array([ 7296.,   912.,  3808.]), array([-321.,  666., -178.]), array([-466.,  196., -194.]))
(1, 30909, 30831, 29786, array([ 7296.,   848.,  3888.]), array([-211.,  656., -244.]), array([-466.,  196., -194.]))
(1, 31858, 31839, 29786, array([ 7376.,   896.,  4144.]), array([-178.,  645., -242.]), array([-466.,  196., -194.]))
(1, 32808, 32847, 32331, array([ 7456.,   128.,  3584.]), array([ -46.,  624., -237.]), array([-466.,  192., -195.]))
(1, 34232, 33855, 32331, array([ 7360.,   368.,  2928.]), array([ 289.,  588., -152.]), array([-466.,  192., -195.]))
(1, 35182, 34864, 34877, array([ 7248.,  1360.,  3040.]), array([ 662.,  355., -167.]), array([-469.,  192., -195.]))
(1, 36132, 35872, 34877, array([ 7136.,  1760.,  3008.]), array([ 512.,  195., -191.]), array([-469.,  192., -195.]))
(1, 37556, 36880, 37423, array([ 7024.,  1120.,  2864.]), array([-93.,  98., -40.]), array([-464.,  196., -195.]))
(1, 38506, 37888, 37423, array([ 7120.,   496.,  2960.]), array([-798.,  -31.,   31.]), array([-464.,  196., -195.]))
(1, 39929, 39904, 37423, array([ 7248.,    64.,  3200.]), array([-1114.,  -143.,    66.]), array([-464.,  196., -195.]))
(1, 40879, 40912, 39967, array([ 7232.,   144.,  3472.]), array([-860., -127.,   40.]), array([-466.,  195., -197.]))
(1, 41828, 41920, 39967, array([ 7232.,   352.,  3712.]), array([-589.,  -91.,   72.]), array([-466.,  195., -197.]))
(1, 43252, 42928, 42513, array([ 7280.,   672.,  3808.]), array([-510.,  -49.,   74.]), array([-466.,  196., -197.]))
(1, 44201, 43937, 42513, array([ 7312.,   640.,  3744.]), array([-521.,  -12.,  105.]), array([-466.,  196., -197.]))
(1, 45150, 44945, 45058, array([ 7360.,   544.,  3744.]), array([-549.,   16.,  116.]), array([-467.,  199., -190.]))
(1, 46574, 45953, 45058, array([ 7280.,   672.,  3712.]), array([-547.,    0.,  125.]), array([-467.,  199., -190.]))
(1, 47524, 46961, 47603, array([ 7296.,   624.,  3632.]), array([-472.,  -36.,  172.]), array([-467.,  199., -195.]))
(1, 48474, 47969, 47603, array([ 7232.,   544.,  3680.]), array([-449.,  -44.,  185.]), array([-467.,  199., -195.]))
(1, 49898, 49985, 47603, array([ 7152.,   416.,  3824.]), array([-331.,  -80.,  152.]), array([-467.,  199., -195.]))
(1, 50848, 50993, 50149, array([ 7216.,   352.,  3984.]), array([-271.,  -89.,  110.]), array([-466.,  199., -196.]))
(1, 52271, 52001, 50149, array([ 7248.,   416.,  4256.]), array([-118., -105.,  102.]), array([-466.,  199., -196.]))
(1, 53221, 53010, 52694, array([ 7264.,   560.,  4288.]), array([  34., -109.,   52.]), array([-465.,  198., -195.]))
(1, 54171, 54018, 52694, array([ 7280.,   704.,  4432.]), array([ 139.,  -80.,   18.]), array([-465.,  198., -195.]))
(1, 55595, 55026, 55239, array([ 7296.,   720.,  4448.]), array([ 211.,  -40.,   20.]), array([-466.,  199., -194.]))
(1, 56545, 56034, 55239, array([ 7344.,   752.,  4512.]), array([ 261.,  -28.,    8.]), array([-466.,  199., -194.]))
(1, 58918, 59058, 57783, array([ 7280.,   944.,  4496.]), array([ 431.,   29.,   16.]), array([-466.,  197., -192.]))
