(1, 30737, 30004, 30991, array([ 7472.,   928.,  1936.]), array([-870., -105., -151.]), array([-497.,  253.,  -67.]))
(1, 31686, 32020, 30991, array([ 7440.,   864.,  2064.]), array([-447.,  -71.,  -20.]), array([-497.,  253.,  -67.]))
(1, 33111, 33028, 30991, array([ 7392.,   816.,  2208.]), array([-216.,  -71.,   15.]), array([-497.,  253.,  -67.]))
(1, 34060, 34036, 33538, array([ 7520.,   832.,  2304.]), array([ 43., -61.,   5.]), array([-504.,  254.,  -67.]))
(1, 35484, 35044, 33538, array([ 7680.,   912.,  2304.]), array([ 224.,  -47.,   13.]), array([-504.,  254.,  -67.]))
(1, 36433, 36052, 36084, array([ 7696.,   976.,  2384.]), array([ 441.,  -56.,   44.]), array([-503.,  254.,  -69.]))
(1, 37383, 37060, 36084, array([ 7824.,   992.,  2384.]), array([ 598.,  -45.,   62.]), array([-503.,  254.,  -69.]))
(1, 38807, 38068, 38630, array([ 7936.,   896.,  2416.]), array([ 654.,  -12.,  101.]), array([-500.,  253.,  -65.]))
(1, 39756, 39076, 38630, array([ 8064.,   864.,  2384.]), array([ 686.,  -33.,  160.]), array([-500.,  253.,  -65.]))
(1, 40706, 41092, 38630, array([ 8144.,   752.,  2416.]), array([ 660.,   12.,  229.]), array([-500.,  253.,  -65.]))
(1, 42130, 42100, 41176, array([ 8176.,   656.,  2384.]), array([ 682.,   43.,  288.]), array([-502.,  254.,  -68.]))
(1, 44030, 44116, 43722, array([ 8224.,   528.,  2272.]), array([ 566.,   51.,  386.]), array([-502.,  249.,  -68.]))
(1, 45454, 45124, 43722, array([ 8240.,   416.,  2192.]), array([ 510.,   25.,  423.]), array([-502.,  249.,  -68.]))
(1, 46404, 46132, 46269, array([ 8336.,   288.,  2160.]), array([ 422.,   59.,  492.]), array([-501.,  252.,  -65.]))
(1, 47828, 47141, 46269, array([ 8320.,    80.,  2096.]), array([ 342.,   53.,  521.]), array([-501.,  252.,  -65.]))
(1, 48778, 48149, 48815, array([ 8368.,    48.,  2064.]), array([ 299.,   29.,  538.]), array([-500.,  256.,  -68.]))
(1, 49727, 49157, 48815, array([ 8352.,   -48.,  2032.]), array([ 292.,   17.,  578.]), array([-500.,  256.,  -68.]))
(1, 51151, 51173, 48815, array([ 8272.,  -176.,  2016.]), array([ 285.,   11.,  594.]), array([-500.,  256.,  -68.]))
(1, 52101, 52181, 51360, array([ 8272.,  -160.,  1936.]), array([ 335.,  -13.,  634.]), array([-500.,  255.,  -68.]))
(1, 53050, 53189, 51360, array([ 8240.,  -208.,  1952.]), array([ 311.,  -16.,  612.]), array([-500.,  255.,  -68.]))
(1, 54473, 54197, 53906, array([ 8256.,  -320.,  1856.]), array([ 327.,   -8.,  590.]), array([-500.,  257.,  -69.]))
(1, 55423, 55205, 53906, array([ 8256.,  -304.,  1840.]), array([ 390.,  -17.,  572.]), array([-500.,  257.,  -69.]))
(1, 56846, 56213, 56452, array([ 8224.,  -368.,  1856.]), array([ 456.,  -13.,  572.]), array([-506.,  259.,  -69.]))
