(1, 14185, 13867, 12876, array([ 4608.,  1296.,  7232.]), array([-1794.,   346.,   159.]), array([-243.,  239., -387.]))
(1, 15610, 14875, 15422, array([ 4656.,  1264.,  7232.]), array([-1952.,   335.,   128.]), array([-241.,  246., -386.]))
(1, 16559, 15883, 15422, array([ 4736.,  1120.,  7232.]), array([-2101.,   355.,   105.]), array([-241.,  246., -386.]))
(1, 17508, 17899, 15422, array([ 4688.,   992.,  7184.]), array([-2363.,   335.,    25.]), array([-241.,  246., -386.]))
(1, 18933, 18907, 17967, array([ 4736.,   832.,  7072.]), array([-2404.,   369.,    12.]), array([-244.,  247., -386.]))
(1, 19882, 19915, 17967, array([ 4736.,   608.,  6944.]), array([-2370.,   405.,    -7.]), array([-244.,  247., -386.]))
(1, 20832, 20923, 20512, array([ 4624.,   464.,  6864.]), array([-2322.,   406.,   -44.]), array([-242.,  253., -384.]))
(1, 22256, 21932, 20512, array([ 4576.,   288.,  6768.]), array([-2203.,   442.,   -81.]), array([-242.,  253., -384.]))
(1, 23206, 22940, 23058, array([ 4464.,   224.,  6816.]), array([-2010.,   459.,   -97.]), array([-241.,  261., -378.]))
(1, 24630, 23948, 23058, array([ 4464.,   128.,  6800.]), array([-1823.,   499.,  -160.]), array([-241.,  261., -378.]))
(1, 25579, 24956, 25604, array([ 4448.,   160.,  6896.]), array([-1524.,   563.,  -172.]), array([-239.,  258., -381.]))
(1, 26529, 25964, 25604, array([ 4448.,   176.,  6944.]), array([-1275.,   569.,  -177.]), array([-239.,  258., -381.]))
(1, 27953, 27980, 25604, array([ 4336.,   288.,  7040.]), array([-788.,  595., -197.]), array([-239.,  258., -381.]))
(1, 28903, 28988, 28149, array([ 4288.,   336.,  7104.]), array([-627.,  612., -250.]), array([-239.,  265., -381.]))
(1, 29852, 29996, 28149, array([ 4256.,   352.,  7088.]), array([-427.,  634., -254.]), array([-239.,  265., -381.]))
(1, 31277, 31004, 30694, array([ 4256.,   416.,  7040.]), array([-320.,  620., -257.]), array([-240.,  267., -382.]))
(1, 32227, 32012, 30694, array([ 4192.,   480.,  7040.]), array([-253.,  637., -265.]), array([-240.,  267., -382.]))
