(1, 19169, 18895, 19002, array([ 7840.,   480., -1648.]), array([  72.,  109.,   35.]), array([-469., -118.,  240.]))
(1, 21542, 20911, 21547, array([ 7872.,   528., -1680.]), array([  10.,  107.,   24.]), array([-469., -122.,  242.]))
(1, 22491, 21919, 21547, array([ 7872.,   592., -1712.]), array([ 27.,  94.,  37.]), array([-469., -122.,  242.]))
(1, 23914, 23936, 21547, array([ 7888.,   672., -1680.]), array([  73.,  114.,   23.]), array([-469., -122.,  242.]))
(1, 24863, 24944, 24094, array([ 7840.,   704., -1632.]), array([ 116.,  126.,   43.]), array([-469., -120.,  242.]))
(1, 27236, 26960, 26641, array([ 7888.,   768., -1568.]), array([ 193.,  102.,   61.]), array([-467., -122.,  248.]))
(1, 28185, 27968, 26641, array([ 7904.,   768., -1456.]), array([ 193.,   81.,   82.]), array([-467., -122.,  248.]))
(1, 29134, 28976, 29188, array([ 7920.,   736., -1408.]), array([ 274.,  102.,  100.]), array([-465., -118.,  242.]))
(1, 30558, 29985, 29188, array([ 7872.,   704., -1376.]), array([ 272.,  129.,   90.]), array([-465., -118.,  242.]))
(1, 31508, 30993, 31734, array([ 7824.,   640., -1280.]), array([ 272.,   86.,   73.]), array([-469., -119.,  242.]))
(1, 33881, 34017, 31734, array([ 7872.,   576., -1184.]), array([ 165.,   62.,   44.]), array([-469., -119.,  242.]))
(1, 36254, 36034, 34281, array([ 7936.,   496., -1184.]), array([ 73.,  44., -14.]), array([-466., -119.,  243.]))
(1, 37203, 37042, 36827, array([ 7904.,   528., -1072.]), array([ 56.,  26., -21.]), array([-472., -118.,  242.]))
(1, 39576, 39058, 39373, array([ 7952.,   528.,  -928.]), array([-136.,    1.,  -37.]), array([-469., -119.,  242.]))
(1, 40525, 40066, 39373, array([ 7952.,   576.,  -992.]), array([-216.,    1.,  -43.]), array([-469., -119.,  242.]))
(1, 41475, 41075, 41918, array([ 7920.,   576.,  -944.]), array([-259.,  -19.,  -81.]), array([-468., -118.,  245.]))
(1, 42899, 42083, 41918, array([ 7888.,   576.,  -944.]), array([-318.,  -36.,  -97.]), array([-468., -118.,  245.]))
(1, 43849, 44099, 41918, array([ 7904.,   608.,  -928.]), array([-503.,  -92., -127.]), array([-468., -118.,  245.]))
(1, 45272, 45107, 44466, array([ 7872.,   640., -1008.]), array([-540.,  -79., -143.]), array([-467., -124.,  240.]))
(1, 46221, 46116, 44466, array([ 7936.,   592., -1056.]), array([-649.,  -65., -137.]), array([-467., -124.,  240.]))
(1, 47170, 47124, 47012, array([ 7904.,   608., -1136.]), array([-678.,  -95., -120.]), array([-467., -121.,  239.]))
(1, 48594, 48132, 47012, array([ 7904.,   656., -1184.]), array([-747., -157., -137.]), array([-467., -121.,  239.]))
(1, 49543, 49140, 49558, array([ 7920.,   688., -1248.]), array([-697., -167., -141.]), array([-464., -124.,  241.]))
(1, 50492, 50148, 49558, array([ 7856.,   704., -1200.]), array([-643., -142., -113.]), array([-464., -124.,  241.]))
(1, 51916, 51156, 49558, array([ 7824.,   624., -1296.]), array([-556., -161., -106.]), array([-464., -124.,  241.]))
(1, 52865, 53173, 52104, array([ 7808.,   672., -1376.]), array([-462., -184.,  -97.]), array([-464., -126.,  241.]))
(1, 55238, 55189, 54651, array([ 7808.,   704., -1504.]), array([-316., -160.,  -46.]), array([-465., -124.,  240.]))
(1, 56188, 56197, 54651, array([ 7776.,   688., -1456.]), array([-269., -162.,  -51.]), array([-465., -124.,  240.]))
(1, 57612, 57206, 57197, array([ 7872.,   640., -1520.]), array([-215., -125.,  -43.]), array([-466., -124.,  239.]))
(1, 58561, 58214, 57197, array([ 7840.,   576., -1520.]), array([-217., -161.,  -38.]), array([-466., -124.,  239.]))
(1, 59510, 59222, 59742, array([ 7840.,   592., -1472.]), array([-225., -185.,  -39.]), array([-465., -126.,  239.]))
(1, 60934, 60230, 59742, array([ 7792.,   608., -1504.]), array([-212., -180.,  -38.]), array([-465., -126.,  239.]))
(1, 61883, 61238, 59742, array([ 7808.,   576., -1456.]), array([-246., -178.,  -67.]), array([-465., -126.,  239.]))
(1, 63306, 63255, 62288, array([ 7840.,   576., -1488.]), array([-313., -219.,  -85.]), array([-466., -125.,  242.]))
(1, 65204, 65271, 64835, array([ 7808.,   592., -1392.]), array([-437., -184.,  -85.]), array([-466., -126.,  239.]))
(1, 1093, 743, 64835, array([ 7856.,   576., -1408.]), array([-462., -201., -109.]), array([-466., -126.,  239.]))
(1, 2042, 1751, 1846, array([ 7824.,   624., -1376.]), array([-485., -200., -106.]), array([-466., -129.,  241.]))
(1, 2991, 2760, 1846, array([ 7792.,   544., -1344.]), array([-560., -234., -111.]), array([-466., -129.,  241.]))
(1, 4415, 3768, 4393, array([ 7856.,   576., -1424.]), array([-613., -229., -134.]), array([-467., -129.,  240.]))
(1, 5365, 4776, 4393, array([ 7920.,   720., -1408.]), array([-614., -216., -143.]), array([-467., -129.,  240.]))
(1, 6314, 5784, 4393, array([ 7824.,   800., -1424.]), array([-617., -189., -112.]), array([-467., -129.,  240.]))
(1, 10111, 9817, 9485, array([ 7776.,   768., -1408.]), array([-227., -226.,  -33.]), array([-463., -130.,  243.]))
(1, 11060, 10825, 9485, array([ 7808.,   800., -1392.]), array([-165., -198.,  -31.]), array([-463., -130.,  243.]))
(1, 12010, 11833, 12032, array([ 7696.,   784., -1456.]), array([ -73., -172.,  -11.]), array([-465., -129.,  242.]))
(1, 13434, 12841, 12032, array([ 7728.,   720., -1440.]), array([ -10., -165.,  -42.]), array([-465., -129.,  242.]))
(1, 14382, 13850, 14580, array([ 7728.,   736., -1424.]), array([  14., -165.,  -28.]), array([-465., -128.,  242.]))
(1, 15332, 14858, 14580, array([ 7760.,   768., -1472.]), array([  69., -163.,  -20.]), array([-465., -128.,  242.]))
(1, 16756, 16874, 14580, array([ 7792.,   720., -1440.]), array([ 120., -143.,  -14.]), array([-465., -128.,  242.]))
(1, 17706, 17882, 17126, array([ 7760.,   704., -1424.]), array([ 140., -113.,  -11.]), array([-465., -129.,  242.]))
(1, 19130, 18890, 17126, array([ 7792.,   704., -1472.]), array([ 130., -113.,  -39.]), array([-465., -129.,  242.]))
(1, 20079, 19899, 19672, array([ 7792.,   688., -1456.]), array([ 127., -131.,  -35.]), array([-466., -131.,  244.]))
(1, 21029, 20907, 19672, array([ 7776.,   784., -1456.]), array([  89., -133.,  -44.]), array([-466., -131.,  244.]))
(1, 22453, 21915, 22219, array([ 7760.,   784., -1440.]), array([  92., -145.,  -71.]), array([-465., -127.,  243.]))
(1, 23401, 22923, 22219, array([ 7696.,   816., -1440.]), array([  86., -155.,  -72.]), array([-465., -127.,  243.]))
(1, 24350, 23931, 24766, array([ 7728.,   800., -1456.]), array([  52., -122.,  -53.]), array([-461., -130.,  241.]))
(1, 25774, 24940, 24766, array([ 7792.,   768., -1408.]), array([  31., -144.,  -75.]), array([-461., -130.,  241.]))
(1, 26723, 26956, 24766, array([ 7760.,   784., -1376.]), array([   9., -160., -110.]), array([-461., -130.,  241.]))
(1, 30045, 29980, 29858, array([ 7744.,   784., -1328.]), array([  31., -114., -113.]), array([-465., -130.,  242.]))
(1, 33368, 33005, 32405, array([ 7744.,   832., -1408.]), array([ 102.,  -86.,  -76.]), array([-464., -129.,  245.]))
(1, 34792, 34013, 32405, array([ 7792.,   880., -1440.]), array([ 157.,  -99.,  -58.]), array([-464., -129.,  245.]))
(1, 35741, 35021, 34951, array([ 7712.,   784., -1424.]), array([ 231.,  -56.,  -42.]), array([-462., -132.,  243.]))
