(1, 15214, 15150, 14843, array([ 7280.,   736., -2672.]), array([-1410.,  1790.,   887.]), array([-447., -147.,  254.]))
(1, 16163, 16158, 14843, array([ 7168.,   944., -2784.]), array([-1460.,  1793.,   921.]), array([-447., -147.,  254.]))
(1, 17112, 17166, 17392, array([ 7184.,  1056., -2880.]), array([-1385.,  1789.,   913.]), array([-450., -146.,  250.]))
(1, 18535, 18175, 17392, array([ 7392.,  1248., -3040.]), array([-1282.,  1840.,   895.]), array([-450., -146.,  250.]))
(1, 19484, 19183, 17392, array([ 7472.,  1248., -3072.]), array([-1101.,  1916.,   871.]), array([-450., -146.,  250.]))
(1, 20433, 20191, 19941, array([ 7520.,  1360., -3072.]), array([ -896.,  1950.,   814.]), array([-452., -146.,  246.]))
(1, 21857, 21199, 19941, array([ 7488.,  1312., -3024.]), array([ -700.,  1961.,   798.]), array([-452., -146.,  246.]))
(1, 22806, 22207, 22488, array([ 7504.,  1184., -3008.]), array([ -413.,  1957.,   758.]), array([-459., -142.,  240.]))
(1, 23755, 23215, 22488, array([ 7568.,  1056., -2992.]), array([ -194.,  1960.,   724.]), array([-459., -142.,  240.]))
(1, 25179, 25232, 25034, array([ 7696.,   768., -2944.]), array([  171.,  1978.,   676.]), array([-455., -141.,  236.]))
(1, 26128, 26240, 25034, array([ 7792.,   592., -2896.]), array([  164.,  1970.,   680.]), array([-455., -141.,  236.]))
(1, 27552, 27248, 25034, array([ 7840.,   432., -2832.]), array([  136.,  1935.,   721.]), array([-455., -141.,  236.]))
(1, 28500, 28256, 27580, array([ 7856.,   288., -2736.]), array([  -11.,  1901.,   748.]), array([-462., -139.,  226.]))
(1, 29449, 29264, 27580, array([ 7904.,   160., -2720.]), array([ -158.,  1865.,   785.]), array([-462., -139.,  226.]))
(1, 30873, 30272, 30128, array([ 7696.,   128., -2672.]), array([ -381.,  1821.,   864.]), array([-462., -139.,  226.]))
(1, 31822, 31281, 30128, array([ 7584.,   208., -2608.]), array([ -602.,  1756.,   965.]), array([-462., -139.,  226.]))
(1, 32771, 32289, 32676, array([ 7488.,   320., -2672.]), array([ -797.,  1645.,  1041.]), array([-463., -137.,  221.]))
(1, 34194, 34305, 32676, array([ 7568.,   448., -2720.]), array([-1069.,  1546.,  1155.]), array([-463., -137.,  221.]))
(1, 35143, 35313, 35224, array([ 7600.,   544., -2752.]), array([-1104.,  1544.,  1207.]), array([-465., -138.,  216.]))
(1, 36566, 36321, 35224, array([ 7648.,   768., -2944.]), array([-1135.,  1574.,  1242.]), array([-465., -138.,  216.]))
(1, 37515, 37329, 35224, array([ 7616.,  1008., -2960.]), array([ -990.,  1541.,  1262.]), array([-465., -138.,  216.]))
(1, 38464, 38338, 37772, array([ 7568.,  1088., -2864.]), array([ -788.,  1527.,  1304.]), array([-466., -137.,  206.]))
(1, 39887, 39346, 37772, array([ 7584.,  1232., -2912.]), array([ -497.,  1477.,  1339.]), array([-466., -137.,  206.]))
(1, 40836, 40354, 40319, array([ 7616.,  1296., -2848.]), array([ -167.,  1438.,  1316.]), array([-471., -136.,  206.]))
(1, 41786, 41362, 40319, array([ 7664.,  1200., -2864.]), array([  238.,  1453.,  1320.]), array([-471., -136.,  206.]))
(1, 43209, 42370, 42866, array([ 7824.,   976., -2832.]), array([  666.,  1419.,  1316.]), array([-469., -132.,  201.]))
