(1, 22615, 21961, 21501, array([ 7568., -1392., -1920.]), array([ -56.,  226.,  -64.]), array([-482.,   53.,  301.]))
(1, 23564, 23977, 21501, array([ 7568., -1344., -1920.]), array([  66.,  231.,  -80.]), array([-482.,   53.,  301.]))
(1, 24988, 24985, 24048, array([ 7504., -1360., -1936.]), array([ 131.,  253.,  -76.]), array([-482.,   51.,  303.]))
(1, 25937, 25993, 24048, array([ 7456., -1376., -1872.]), array([ 178.,  282.,  -85.]), array([-482.,   51.,  303.]))
(1, 26886, 27002, 26595, array([ 7408., -1456., -1920.]), array([ 179.,  299.,  -64.]), array([-482.,   48.,  303.]))
(1, 28310, 28010, 26595, array([ 7472., -1472., -1936.]), array([ 200.,  292.,  -62.]), array([-482.,   48.,  303.]))
(1, 29259, 29018, 29142, array([ 7488., -1472., -1904.]), array([ 179.,  300.,  -62.]), array([-482.,   48.,  301.]))
(1, 30682, 30026, 29142, array([ 7488., -1504., -1872.]), array([ 134.,  357.,  -62.]), array([-482.,   48.,  301.]))
(1, 31631, 31034, 31689, array([ 7488., -1520., -1904.]), array([ 130.,  352.,  -70.]), array([-483.,   49.,  298.]))
(1, 32580, 32042, 31689, array([ 7504., -1536., -1824.]), array([  54.,  371.,  -70.]), array([-483.,   49.,  298.]))
(1, 34004, 34059, 31689, array([ 7552., -1440., -1824.]), array([   7.,  374.,  -36.]), array([-483.,   49.,  298.]))
(1, 34953, 35067, 34236, array([ 7552., -1408., -1776.]), array([ -35.,  424.,  -24.]), array([-480.,   49.,  298.]))
(1, 35902, 36075, 34236, array([ 7536., -1392., -1728.]), array([ -56.,  438.,  -20.]), array([-480.,   49.,  298.]))
(1, 37325, 37083, 36783, array([ 7536., -1312., -1696.]), array([-146.,  444.,   12.]), array([-483.,   46.,  301.]))
(1, 38274, 38091, 36783, array([ 7488., -1312., -1664.]), array([-115.,  458.,    1.]), array([-483.,   46.,  301.]))
(1, 39698, 39100, 39330, array([ 7536., -1296., -1552.]), array([-145.,  457.,  -28.]), array([-483.,   47.,  298.]))
(1, 41596, 41116, 41876, array([ 7456., -1248., -1616.]), array([-106.,  527.,  -28.]), array([-481.,   45.,  300.]))
(1, 43019, 42124, 41876, array([ 7552., -1264., -1600.]), array([ -74.,  533.,  -65.]), array([-481.,   45.,  300.]))
(1, 43968, 44140, 41876, array([ 7504., -1216., -1600.]), array([   3.,  526.,  -52.]), array([-481.,   45.,  300.]))
(1, 44917, 45148, 44424, array([ 7520., -1264., -1632.]), array([  12.,  554.,  -58.]), array([-484.,   47.,  296.]))
(1, 46341, 46157, 44424, array([ 7456., -1360., -1584.]), array([  39.,  615.,  -79.]), array([-484.,   47.,  296.]))
(1, 47290, 47165, 46971, array([ 7504., -1328., -1632.]), array([  45.,  660.,  -73.]), array([-482.,   42.,  296.]))
(1, 48712, 48173, 46971, array([ 7520., -1344., -1632.]), array([ 107.,  698., -102.]), array([-482.,   42.,  296.]))
(1, 50610, 50189, 49518, array([ 7520., -1392., -1680.]), array([  66.,  684.,  -91.]), array([-484.,   41.,  297.]))
(1, 52033, 51197, 52067, array([ 7488., -1440., -1584.]), array([  39.,  741.,  -97.]), array([-484.,   43.,  293.]))
(1, 52982, 53214, 52067, array([ 7536., -1440., -1648.]), array([ -35.,  810., -117.]), array([-484.,   43.,  293.]))
(1, 53931, 54222, 52067, array([ 7568., -1472., -1616.]), array([ -77.,  830., -140.]), array([-484.,   43.,  293.]))
(1, 55355, 55230, 54613, array([ 7552., -1456., -1632.]), array([-114.,  875., -120.]), array([-484.,   40.,  293.]))
(1, 56304, 56238, 54613, array([ 7520., -1456., -1632.]), array([-122.,  897., -129.]), array([-484.,   40.,  293.]))
(1, 57727, 57246, 57159, array([ 7536., -1440., -1664.]), array([-171.,  889., -165.]), array([-487.,   40.,  293.]))
(1, 58676, 58255, 57159, array([ 7504., -1408., -1696.]), array([-194.,  920., -174.]), array([-487.,   40.,  293.]))
(1, 59626, 59263, 59706, array([ 7584., -1456., -1600.]), array([-251.,  935., -215.]), array([-483.,   42.,  292.]))
(1, 61049, 60271, 59706, array([ 7632., -1440., -1712.]), array([-247.,  950., -241.]), array([-483.,   42.,  292.]))
(1, 61998, 61279, 59706, array([ 7632., -1344., -1744.]), array([-222.,  966., -247.]), array([-483.,   42.,  292.]))
(1, 62947, 63295, 62253, array([ 7616., -1344., -1808.]), array([-228.,  991., -276.]), array([-486.,   37.,  289.]))
(1, 64370, 64304, 62253, array([ 7680., -1360., -1744.]), array([-206.,  997., -289.]), array([-486.,   37.,  289.]))
(1, 65319, 65312, 64800, array([ 7696., -1360., -1712.]), array([-161.,  979., -317.]), array([-488.,   36.,  287.]))
(1, 732, 784, 64800, array([ 7712., -1312., -1776.]), array([-127.,  975., -348.]), array([-488.,   36.,  287.]))
(1, 2156, 1792, 1811, array([ 7712., -1376., -1776.]), array([-165.,  970., -331.]), array([-487.,   36.,  292.]))
(1, 3105, 2800, 1811, array([ 7712., -1392., -1744.]), array([-111.,  978., -288.]), array([-487.,   36.,  292.]))
(1, 6426, 5825, 4358, array([ 7712., -1376., -1792.]), array([ -54.,  967., -316.]), array([-486.,   28.,  284.]))
(1, 7849, 7841, 6905, array([ 7744., -1392., -1888.]), array([ -13.,  965., -327.]), array([-488.,   29.,  281.]))
(1, 8798, 8849, 6905, array([ 7744., -1424., -1872.]), array([ -24.,  965., -309.]), array([-488.,   29.,  281.]))
(1, 9747, 9857, 9452, array([ 7744., -1376., -1824.]), array([ -27.,  964., -320.]), array([-488.,   30.,  281.]))
(1, 11170, 10865, 9452, array([ 7760., -1344., -1744.]), array([ -14.,  946., -320.]), array([-488.,   30.,  281.]))
(1, 12119, 11874, 11999, array([ 7760., -1392., -1808.]), array([ -63.,  934., -306.]), array([-488.,   27.,  281.]))
(1, 13543, 12882, 11999, array([ 7760., -1392., -1808.]), array([  -6.,  925., -279.]), array([-488.,   27.,  281.]))
(1, 14491, 13890, 14545, array([ 7728., -1360., -1808.]), array([  -3.,  921., -293.]), array([-488.,   26.,  278.]))
(1, 15441, 14898, 14545, array([ 7728., -1424., -1808.]), array([  23.,  922., -295.]), array([-488.,   26.,  278.]))
(1, 16864, 16914, 14545, array([ 7760., -1424., -1808.]), array([  29.,  925., -287.]), array([-488.,   26.,  278.]))
(1, 17813, 17923, 17093, array([ 7712., -1392., -1824.]), array([  55.,  930., -275.]), array([-486.,   27.,  278.]))
(1, 18762, 18931, 17093, array([ 7712., -1408., -1744.]), array([   8.,  910., -256.]), array([-486.,   27.,  278.]))
(1, 20185, 19939, 19641, array([ 7712., -1328., -1712.]), array([  28.,  883., -263.]), array([-490.,   23.,  284.]))
(1, 21134, 20947, 19641, array([ 7728., -1344., -1728.]), array([  42.,  893., -281.]), array([-490.,   23.,  284.]))
(1, 22558, 21955, 22189, array([ 7728., -1392., -1808.]), array([   9.,  907., -282.]), array([-489.,   23.,  276.]))
(1, 24456, 23972, 24736, array([ 7760., -1296., -1760.]), array([  49.,  903., -282.]), array([-491.,   20.,  275.]))
(1, 25879, 24980, 24736, array([ 7744., -1440., -1776.]), array([  49.,  912., -262.]), array([-491.,   20.,  275.]))
(1, 26828, 26996, 24736, array([ 7728., -1408., -1776.]), array([  22.,  870., -287.]), array([-491.,   20.,  275.]))
(1, 27777, 28004, 27283, array([ 7760., -1376., -1696.]), array([  73.,  887., -305.]), array([-489.,   18.,  272.]))
(1, 29201, 29012, 27283, array([ 7680., -1392., -1760.]), array([  52.,  884., -302.]), array([-489.,   18.,  272.]))
(1, 30150, 30021, 29830, array([ 7712., -1424., -1712.]), array([  74.,  881., -312.]), array([-492.,   17.,  272.]))
(1, 31099, 31029, 29830, array([ 7744., -1440., -1728.]), array([  68.,  860., -322.]), array([-492.,   17.,  272.]))
(1, 32522, 32037, 32376, array([ 7792., -1424., -1744.]), array([  19.,  843., -312.]), array([-491.,   19.,  274.]))
(1, 34894, 34053, 32376, array([ 7760., -1328., -1712.]), array([   4.,  865., -308.]), array([-491.,   19.,  274.]))
(1, 35843, 35061, 34923, array([ 7696., -1296., -1712.]), array([  22.,  850., -289.]), array([-492.,   18.,  270.]))
(1, 36792, 37078, 34923, array([ 7728., -1264., -1712.]), array([  68.,  802., -336.]), array([-492.,   18.,  270.]))
(1, 38216, 38086, 37470, array([ 7648., -1280., -1632.]), array([ 121.,  781., -295.]), array([-492.,   15.,  270.]))
(1, 39165, 39094, 37470, array([ 7712., -1264., -1696.]), array([ 136.,  782., -263.]), array([-492.,   15.,  270.]))
(1, 40114, 40102, 40017, array([ 7696., -1344., -1664.]), array([ 208.,  771., -280.]), array([-491.,   15.,  269.]))
(1, 41538, 41110, 40017, array([ 7680., -1280., -1680.]), array([ 302.,  746., -270.]), array([-491.,   15.,  269.]))
(1, 42488, 42119, 42564, array([ 7712., -1280., -1712.]), array([ 331.,  724., -272.]), array([-493.,   13.,  267.]))
(1, 44861, 44135, 42564, array([ 7696., -1440., -1680.]), array([ 367.,  713., -276.]), array([-493.,   13.,  267.]))
(1, 45809, 46151, 45112, array([ 7776., -1408., -1648.]), array([ 368.,  681., -272.]), array([-492.,   13.,  271.]))
