(1, 63899, 64090, 63496, array([ 7184.,  1264., -5440.]), array([-1925.,  5836.,  1802.]), array([-282., -177.,  445.]))
(1, 64848, 65098, 63496, array([ 7280.,  1232., -5344.]), array([-1852.,  5894.,  1797.]), array([-282., -177.,  445.]))
(1, 736, 571, 507, array([ 7344.,  1232., -5248.]), array([-1810.,  5922.,  1768.]), array([-293., -182.,  438.]))
(1, 1686, 1579, 507, array([ 7408.,  1136., -5184.]), array([-1721.,  5954.,  1742.]), array([-293., -182.,  438.]))
(1, 2635, 2587, 3053, array([ 7488.,  1072., -5072.]), array([-1715.,  5971.,  1706.]), array([-304., -182.,  430.]))
(1, 4059, 3595, 3053, array([ 7424.,  1056., -4912.]), array([-1753.,  5984.,  1695.]), array([-304., -182.,  430.]))
(1, 5008, 4603, 3053, array([ 7296.,  1072., -4880.]), array([-1784.,  6001.,  1702.]), array([-304., -182.,  430.]))
(1, 6432, 5611, 5600, array([ 7184.,  1216., -4960.]), array([-1783.,  6021.,  1712.]), array([-312., -181.,  420.]))
(1, 7382, 6619, 5600, array([ 7200.,  1200., -5040.]), array([-1753.,  6012.,  1708.]), array([-312., -181.,  420.]))
(1, 8331, 8636, 8145, array([ 7408.,  1280., -5088.]), array([-1591.,  6105.,  1642.]), array([-326., -180.,  410.]))
(1, 9754, 9644, 8145, array([ 7664.,  1280., -5136.]), array([-1464.,  6163.,  1625.]), array([-326., -180.,  410.]))
(1, 10704, 10652, 10691, array([ 7904.,  1264., -5104.]), array([-1383.,  6208.,  1599.]), array([-335., -180.,  399.]))
(1, 11653, 11660, 10691, array([ 8016.,  1248., -5120.]), array([-1313.,  6204.,  1589.]), array([-335., -180.,  399.]))
(1, 13077, 12668, 10691, array([ 8192.,  1104., -5008.]), array([-1311.,  6209.,  1581.]), array([-335., -180.,  399.]))
(1, 14026, 13676, 13238, array([ 8240.,  1056., -4896.]), array([-1307.,  6162.,  1557.]), array([-344., -177.,  391.]))
(1, 15450, 14685, 13238, array([ 8256.,  1056., -4720.]), array([-1221.,  6132.,  1593.]), array([-344., -177.,  391.]))
(1, 16399, 15693, 15784, array([ 8192.,  1104., -4640.]), array([-1188.,  6070.,  1630.]), array([-357., -177.,  380.]))
(1, 17349, 17709, 15784, array([ 8000.,  1120., -4736.]), array([ -864.,  6011.,  1744.]), array([-357., -177.,  380.]))
(1, 18773, 18717, 18331, array([ 7920.,  1184., -4864.]), array([ -662.,  6032.,  1770.]), array([-374., -175.,  359.]))
(1, 19722, 19725, 18331, array([ 8000.,  1200., -5072.]), array([ -382.,  6085.,  1791.]), array([-374., -175.,  359.]))
(1, 20671, 20733, 20877, array([ 8032.,  1312., -5264.]), array([ -118.,  6149.,  1822.]), array([-374., -170.,  359.]))
(1, 22096, 21742, 20877, array([ 8208.,  1328., -5600.]), array([  145.,  6180.,  1859.]), array([-374., -170.,  359.]))
(1, 24469, 23758, 23423, array([ 8480.,  1200., -5856.]), array([  735.,  6250.,  1870.]), array([-384., -166.,  354.]))
(1, 25419, 24766, 23423, array([ 8544.,  1072., -5920.]), array([  945.,  6228.,  1832.]), array([-384., -166.,  354.]))
(1, 26368, 25774, 25970, array([ 8576.,   944., -5968.]), array([ 1091.,  6198.,  1795.]), array([-393., -160.,  342.]))
(1, 27792, 27790, 25970, array([ 8512.,   640., -5824.]), array([ 1223.,  6082.,  1802.]), array([-393., -160.,  342.]))
(1, 28742, 28799, 28516, array([ 8416.,   464., -5792.]), array([ 1155.,  5949.,  1802.]), array([-402., -155.,  334.]))
(1, 29691, 29807, 28516, array([ 8272.,   336., -5696.]), array([ 1067.,  5821.,  1799.]), array([-402., -155.,  334.]))
(1, 31116, 30815, 31062, array([ 8208.,   224., -5600.]), array([  871.,  5724.,  1819.]), array([-411., -151.,  326.]))
(1, 32065, 31823, 31062, array([ 8144.,   192., -5456.]), array([  698.,  5629.,  1857.]), array([-411., -151.,  326.]))
(1, 33014, 32831, 31062, array([ 8144.,   160., -5472.]), array([  483.,  5552.,  1877.]), array([-411., -151.,  326.]))
(1, 34438, 33839, 33609, array([ 8240.,   192., -5376.]), array([  221.,  5496.,  1900.]), array([-415., -148.,  320.]))
(1, 35388, 34847, 33609, array([ 8352.,   288., -5296.]), array([  -20.,  5429.,  1905.]), array([-415., -148.,  320.]))
(1, 36813, 35855, 36156, array([ 8416.,   448., -5248.]), array([ -274.,  5411.,  1964.]), array([-423., -147.,  316.]))
(1, 37762, 37872, 36156, array([ 8416.,   496., -5264.]), array([ -681.,  5182.,  2017.]), array([-423., -147.,  316.]))
(1, 40136, 39888, 38701, array([ 8208.,   624., -5136.]), array([ -951.,  5010.,  1962.]), array([-436., -141.,  301.]))
(1, 41086, 40896, 41248, array([ 8048.,   784., -5152.]), array([-1032.,  4888.,  1953.]), array([-437., -133.,  293.]))
(1, 42036, 41904, 41248, array([ 7984.,   848., -5184.]), array([-1020.,  4801.,  1915.]), array([-437., -133.,  293.]))
(1, 43460, 42912, 41248, array([ 8048.,   976., -5200.]), array([-1012.,  4728.,  1842.]), array([-437., -133.,  293.]))
(1, 44409, 43921, 43794, array([ 8192.,   976., -5216.]), array([ -967.,  4682.,  1772.]), array([-444., -130.,  273.]))
(1, 45833, 44929, 43794, array([ 8352.,   880., -5232.]), array([ -907.,  4646.,  1719.]), array([-444., -130.,  273.]))
(1, 46783, 46945, 46341, array([ 8368.,   864., -5168.]), array([ -862.,  4524.,  1632.]), array([-455., -129.,  264.]))
(1, 47732, 47953, 46341, array([ 8336.,   752., -5104.]), array([ -922.,  4416.,  1589.]), array([-455., -129.,  264.]))
(1, 49157, 48961, 48887, array([ 8256.,   576., -5056.]), array([ -985.,  4285.,  1560.]), array([-455., -127.,  264.]))
(1, 50106, 49969, 48887, array([ 8304.,   592., -4976.]), array([-1039.,  4155.,  1529.]), array([-455., -127.,  264.]))
(1, 51055, 50978, 51434, array([ 8272.,   464., -4864.]), array([-1219.,  4049.,  1508.]), array([-457., -124.,  255.]))
(1, 52479, 51986, 51434, array([ 8240.,   448., -4640.]), array([-1399.,  3948.,  1494.]), array([-457., -124.,  255.]))
(1, 53428, 52994, 51434, array([ 8256.,   480., -4560.]), array([-1594.,  3854.,  1488.]), array([-457., -124.,  255.]))
(1, 54377, 54002, 53981, array([ 8304.,   576., -4416.]), array([-1843.,  3774.,  1492.]), array([-463., -121.,  243.]))
(1, 55801, 55010, 53981, array([ 8256.,   672., -4208.]), array([-1999.,  3659.,  1485.]), array([-463., -121.,  243.]))
(1, 56751, 57026, 56528, array([ 8224.,   784., -4064.]), array([-2277.,  3446.,  1534.]), array([-469., -121.,  236.]))
(1, 58176, 58035, 56528, array([ 8224.,   960., -4016.]), array([-2317.,  3389.,  1513.]), array([-469., -121.,  236.]))
