(1, 48761, 48189, 47191, array([ 1984., -2144., -5024.]), array([ -734., -3699.,  1417.]), array([ -55.,   39.,  582.]))
(1, 49710, 49197, 49738, array([ 1904., -2048., -5056.]), array([ -787., -3604.,  1361.]), array([ -36.,   40.,  574.]))
(1, 51134, 51213, 49738, array([ 1840., -2112., -5040.]), array([ -937., -3393.,  1257.]), array([ -36.,   40.,  574.]))
(1, 52083, 52221, 52285, array([ 1712., -2096., -5056.]), array([ -987., -3328.,  1230.]), array([ -36.,   36.,  574.]))
(1, 53506, 53229, 52285, array([ 1584., -2064., -5184.]), array([-1053., -3244.,  1216.]), array([ -36.,   36.,  574.]))
(1, 54455, 54238, 52285, array([ 1520., -2032., -5328.]), array([-1099., -3147.,  1214.]), array([ -36.,   36.,  574.]))
(1, 56828, 56254, 54833, array([ 1440., -1984., -5344.]), array([-1269., -2981.,  1152.]), array([ -28.,   33.,  576.]))
(1, 57776, 57262, 57380, array([ 1424., -1936., -5360.]), array([-1297., -2881.,  1098.]), array([ -23.,   27.,  577.]))
(1, 58725, 58270, 57380, array([ 1280., -1856., -5408.]), array([-1338., -2802.,  1038.]), array([ -23.,   27.,  577.]))
(1, 60149, 59278, 59927, array([ 1200., -1856., -5392.]), array([-1339., -2760.,   973.]), array([ -18.,   26.,  575.]))
(1, 61098, 61295, 59927, array([ 1024., -1936., -5360.]), array([-1340., -2585.,   926.]), array([ -18.,   26.,  575.]))
(1, 62047, 62303, 62474, array([ 1008., -2016., -5376.]), array([-1379., -2516.,   892.]), array([ -13.,   20.,  573.]))
(1, 63471, 63311, 62474, array([  880., -1936., -5440.]), array([-1429., -2408.,   858.]), array([ -13.,   20.,  573.]))
(1, 64421, 64319, 62474, array([  944., -1984., -5504.]), array([-1507., -2296.,   848.]), array([ -13.,   20.,  573.]))
(1, 309, 65327, 65022, array([  944., -1904., -5552.]), array([-1609., -2214.,   799.]), array([  -8.,   17.,  575.]))
(1, 1258, 799, 65022, array([  880., -1856., -5520.]), array([-1655., -2138.,   767.]), array([  -8.,   17.,  575.]))
