(1, 64012, 64299, 63258, array([ 7920., -1104., -1328.]), array([ -79.,  143.,  -71.]), array([-489.,  -32.,  261.]))
(1, 65436, 65307, 63258, array([ 7824., -1120., -1280.]), array([-151.,  110.,  -72.]), array([-489.,  -32.,  261.]))
(1, 850, 779, 269, array([ 7856., -1072., -1216.]), array([-140.,  113.,  -67.]), array([-490.,  -35.,  261.]))
(1, 1799, 1787, 269, array([ 7904., -1008., -1344.]), array([-173.,  109.,  -58.]), array([-490.,  -35.,  261.]))
(1, 3223, 2795, 2816, array([ 7856.,  -928., -1360.]), array([-120.,  103.,  -57.]), array([-488.,  -36.,  264.]))
(1, 4173, 3803, 2816, array([ 7904.,  -896., -1296.]), array([-81.,  62., -32.]), array([-488.,  -36.,  264.]))
(1, 5122, 4811, 5363, array([ 7888.,  -912., -1232.]), array([-76.,  67., -47.]), array([-490.,  -35.,  260.]))
(1, 6547, 5820, 5363, array([ 7920.,  -928., -1280.]), array([ 22.,  49., -27.]), array([-490.,  -35.,  260.]))
(1, 7496, 6828, 5363, array([ 7888.,  -960., -1296.]), array([ 105.,   15.,  -24.]), array([-490.,  -35.,  260.]))
(1, 8919, 8844, 7911, array([ 7856.,  -992., -1200.]), array([ 252.,    0.,   27.]), array([-491.,  -35.,  263.]))
(1, 9868, 9852, 7911, array([ 7936.,  -928., -1168.]), array([ 301.,    5.,   69.]), array([-491.,  -35.,  263.]))
(1, 10818, 10860, 10457, array([ 7840., -1008., -1168.]), array([ 336.,  -14.,   73.]), array([-490.,  -34.,  261.]))
(1, 12242, 11869, 10457, array([ 7904., -1024., -1120.]), array([ 335.,  -44.,   59.]), array([-490.,  -34.,  261.]))
(1, 14140, 13885, 13004, array([ 7904., -1104., -1168.]), array([ 251.,  -54.,   54.]), array([-491.,  -33.,  263.]))
(1, 15564, 14893, 15551, array([ 7936., -1072., -1136.]), array([ 185.,  -61.,   29.]), array([-493.,  -33.,  261.]))
(1, 16513, 15901, 15551, array([ 8032., -1088., -1184.]), array([ 145.,  -46.,   38.]), array([-493.,  -33.,  261.]))
(1, 17462, 17917, 15551, array([ 8016., -1104., -1120.]), array([ 50., -51.,  17.]), array([-493.,  -33.,  261.]))
(1, 21259, 20942, 20646, array([ 7824.,  -944., -1072.]), array([-34., -93.,  42.]), array([-489.,  -36.,  265.]))
(1, 22208, 21950, 20646, array([ 7872.,  -912., -1072.]), array([  4., -87.,  24.]), array([-489.,  -36.,  265.]))
(1, 23157, 22958, 23192, array([ 7920.,  -880., -1088.]), array([ 67., -72.,  12.]), array([-491.,  -32.,  265.]))
(1, 24581, 23966, 23192, array([ 7792.,  -928., -1088.]), array([ 110.,  -76.,    8.]), array([-491.,  -32.,  265.]))
(1, 25531, 24975, 25739, array([ 7776.,  -944., -1056.]), array([ 151.,  -77.,   45.]), array([-491.,  -32.,  265.]))
