(1, 32452, 31748, 31736, array([ 6832., -1392., -3488.]), array([  864., -2707.,   228.]), array([-415.,   -1.,  404.]))
(1, 33401, 32756, 31736, array([ 6832., -1440., -3520.]), array([  954., -2695.,   225.]), array([-415.,   -1.,  404.]))
(1, 34351, 33764, 34280, array([ 6912., -1504., -3536.]), array([ 1045., -2677.,   207.]), array([-409.,    1.,  413.]))
(1, 35775, 35781, 34280, array([ 6896., -1744., -3488.]), array([ 1082., -2609.,   186.]), array([-409.,    1.,  413.]))
(1, 36724, 36789, 36825, array([ 6864., -1824., -3472.]), array([  982., -2586.,   176.]), array([-409.,    3.,  414.]))
(1, 37673, 37797, 36825, array([ 6880., -1856., -3456.]), array([  884., -2601.,   185.]), array([-409.,    3.,  414.]))
(1, 39097, 38805, 36825, array([ 6864., -1808., -3376.]), array([  713., -2551.,   168.]), array([-409.,    3.,  414.]))
(1, 40046, 39813, 39370, array([ 6832., -1904., -3408.]), array([  533., -2517.,   181.]), array([-405.,    1.,  418.]))
(1, 41469, 40821, 39370, array([ 6704., -1936., -3424.]), array([  383., -2485.,   220.]), array([-405.,    1.,  418.]))
(1, 42418, 41830, 41916, array([ 6688., -1968., -3472.]), array([  198., -2395.,   228.]), array([-402.,    5.,  423.]))
(1, 43367, 42838, 41916, array([ 6592., -1968., -3456.]), array([  -11., -2354.,   216.]), array([-402.,    5.,  423.]))
(1, 44791, 44854, 44462, array([ 6512., -1968., -3536.]), array([ -459., -2314.,   293.]), array([-400.,    1.,  430.]))
(1, 45740, 45862, 44462, array([ 6496., -1888., -3616.]), array([ -634., -2265.,   317.]), array([-400.,    1.,  430.]))
(1, 46689, 46870, 47008, array([ 6560., -1776., -3680.]), array([ -765., -2242.,   334.]), array([-396.,    3.,  434.]))
(1, 48113, 47879, 47008, array([ 6480., -1568., -3776.]), array([ -796., -2182.,   362.]), array([-396.,    3.,  434.]))
(1, 49062, 48887, 47008, array([ 6480., -1488., -3856.]), array([ -802., -2135.,   364.]), array([-396.,    3.,  434.]))
(1, 50486, 49895, 49552, array([ 6448., -1424., -3808.]), array([ -743., -2140.,   377.]), array([-390.,    4.,  440.]))
(1, 51436, 50903, 49552, array([ 6448., -1392., -3808.]), array([ -605., -2122.,   392.]), array([-390.,    4.,  440.]))
(1, 52385, 51911, 52097, array([ 6384., -1440., -3776.]), array([ -480., -2072.,   404.]), array([-390.,    3.,  440.]))
(1, 53809, 52919, 52097, array([ 6384., -1408., -3808.]), array([ -331., -2064.,   402.]), array([-390.,    3.,  440.]))
(1, 54758, 54936, 54643, array([ 6304., -1408., -3824.]), array([   12., -2018.,   434.]), array([-389.,    3.,  445.]))
(1, 55708, 55944, 54643, array([ 6272., -1440., -3792.]), array([  210., -1984.,   441.]), array([-389.,    3.,  445.]))
