(1, 27986, 27635, 26514, array([ 8160.,  1104., -4400.]), array([ 6360.,  3945., -1343.]), array([-486.,   -8.,  144.]))
(1, 29410, 28644, 29059, array([ 8432.,  1536., -4320.]), array([ 7410.,  3700., -1404.]), array([-488.,   -7.,  139.]))
(1, 30359, 29652, 29059, array([ 8176.,   928., -4576.]), array([ 8706.,  3316., -1493.]), array([-488.,   -7.,  139.]))
(1, 31309, 31668, 31605, array([ 7760.,  1248., -4192.]), array([ 10621.,   2422.,  -1565.]), array([-483.,   -9.,  137.]))
(1, 32733, 32677, 31605, array([ 7648.,  1168., -5184.]), array([ 11714.,   2267.,  -1772.]), array([-483.,   -9.,  137.]))
(1, 35106, 34693, 34150, array([ 7920.,  -272., -3568.]), array([ 12901.,   2029.,  -2320.]), array([-486.,   -7.,  137.]))
(1, 36055, 35701, 34150, array([ 7904.,  -560., -3936.]), array([ 12803.,   1619.,  -2323.]), array([-486.,   -7.,  137.]))
(1, 37004, 36710, 36695, array([ 7872.,  -720., -3648.]), array([ 12524.,   1505.,  -2271.]), array([-489.,   -7.,  136.]))
(1, 38429, 37718, 36695, array([ 8000., -1568., -3200.]), array([ 11981.,   1325.,  -2289.]), array([-489.,   -7.,  136.]))
(1, 39378, 38726, 39241, array([ 7984., -1984., -3648.]), array([ 11164.,   1186.,  -2283.]), array([-486.,  -11.,  140.]))
(1, 40328, 40742, 39241, array([ 8000., -2112., -1952.]), array([ 8828.,   731., -2100.]), array([-486.,  -11.,  140.]))
(1, 41752, 41751, 41788, array([ 7920., -2192., -1552.]), array([ 7609.,   483., -1998.]), array([-483.,  -12.,  144.]))
(1, 42701, 42759, 41788, array([ 7664., -2688., -1904.]), array([ 6441.,   346., -2018.]), array([-483.,  -12.,  144.]))
(1, 43651, 43767, 41788, array([ 7344., -2512., -3504.]), array([ 5125.,   252., -1941.]), array([-483.,  -12.,  144.]))
(1, 45075, 44775, 44333, array([ 7344., -2048., -3184.]), array([ 4250.,   353., -1992.]), array([-483.,  -16.,  144.]))
(1, 46025, 45784, 44333, array([ 7312., -2224., -3440.]), array([ 3664.,   267., -2083.]), array([-483.,  -16.,  144.]))
(1, 47449, 46792, 46879, array([ 7520., -2352.,  -528.]), array([ 3034.,   250., -2028.]), array([-484.,  -16.,  145.]))
(1, 48399, 47800, 46879, array([ 7232., -2448.,  -288.]), array([ 2260.,   353., -1886.]), array([-484.,  -16.,  145.]))
(1, 49348, 48808, 49425, array([ 7264., -2128.,    64.]), array([  999.,   560., -1727.]), array([-479.,  -19.,  145.]))
(1, 50772, 50825, 49425, array([ 6736., -3248., -1632.]), array([-2374.,  1000., -1506.]), array([-479.,  -19.,  145.]))
(1, 51722, 51833, 51970, array([ 7168., -1712., -2384.]), array([-3181.,  1734., -1404.]), array([-482.,  -24.,  143.]))
(1, 52671, 52841, 51970, array([ 7632., -1184., -2624.]), array([-3288.,  1433., -1599.]), array([-482.,  -24.,  143.]))
(1, 54096, 53849, 51970, array([ 8032., -1040., -2416.]), array([-3084.,  1105., -1741.]), array([-482.,  -24.,  143.]))
(1, 55046, 54858, 54515, array([ 8048., -1376., -2224.]), array([-2922.,   931., -1642.]), array([-480.,  -30.,  141.]))
(1, 56470, 55866, 54515, array([ 7776., -1392., -2032.]), array([-2928.,   871., -1420.]), array([-480.,  -30.,  141.]))
(1, 57419, 56874, 57060, array([ 7616., -1280., -1984.]), array([-2857.,   857., -1216.]), array([-480.,  -34.,  139.]))
(1, 58369, 57882, 57060, array([ 7696., -1248., -2016.]), array([-2871.,   909., -1068.]), array([-480.,  -34.,  139.]))
(1, 59792, 58891, 59604, array([ 7872., -1136., -1888.]), array([-2770.,   936.,  -902.]), array([-480.,  -34.,  134.]))
(1, 60742, 60907, 59604, array([ 7984., -1088., -1936.]), array([-2432.,   997.,  -664.]), array([-480.,  -34.,  134.]))
(1, 61691, 61915, 59604, array([ 8080., -1136., -1920.]), array([-2200.,   962.,  -544.]), array([-480.,  -34.,  134.]))
(1, 63115, 62924, 62149, array([ 8000., -1072., -1920.]), array([-2067.,   941.,  -400.]), array([-480.,  -37.,  131.]))
