(1, 56238, 55709, 53919, array([-1552.,  -496., -6560.]), array([ 868.,  271.,   18.]), array([ -41.,   47.,  545.]))
(1, 57187, 56717, 56463, array([-1536.,  -672., -6592.]), array([ 890.,  307.,   68.]), array([ -42.,   50.,  544.]))
(1, 58611, 57725, 56463, array([-1616.,  -608., -6624.]), array([ 903.,  314.,  116.]), array([ -42.,   50.,  544.]))
(1, 59559, 59741, 59008, array([-1568.,  -704., -6672.]), array([ 890.,  417.,  231.]), array([ -43.,   51.,  544.]))
(1, 60509, 60749, 59008, array([-1600.,  -752., -6800.]), array([ 821.,  429.,  208.]), array([ -43.,   51.,  544.]))
(1, 61933, 61757, 61554, array([-1616.,  -704., -7056.]), array([ 676.,  448.,  209.]), array([ -42.,   54.,  545.]))
(1, 62881, 62766, 61554, array([-1536.,  -656., -7120.]), array([ 540.,  421.,  228.]), array([ -42.,   54.,  545.]))
(1, 63831, 63774, 64100, array([-1552.,  -560., -7168.]), array([ 345.,  383.,  245.]), array([ -41.,   55.,  543.]))
(1, 65255, 64782, 64100, array([-1680.,  -544., -7312.]), array([ 176.,  391.,  222.]), array([ -41.,   55.,  543.]))
(1, 668, 254, 64100, array([-1760.,  -464., -7312.]), array([  55.,  421.,  177.]), array([ -41.,   55.,  543.]))
(1, 2092, 1262, 1110, array([-1840.,  -336., -7312.]), array([ -39.,  406.,  139.]), array([ -46.,   52.,  545.]))
(1, 3041, 2270, 1110, array([-1744.,  -304., -7440.]), array([ -32.,  378.,  101.]), array([ -46.,   52.,  545.]))
(1, 3990, 4287, 3655, array([-1792.,  -304., -7536.]), array([-160.,  389.,  103.]), array([ -45.,   53.,  550.]))
(1, 5414, 5295, 3655, array([-1680.,  -336., -7600.]), array([-167.,  349.,  110.]), array([ -45.,   53.,  550.]))
(1, 6363, 6303, 6199, array([-1632.,  -352., -7616.]), array([-206.,  331.,  145.]), array([ -44.,   51.,  544.]))
(1, 7313, 7311, 6199, array([-1552.,  -288., -7648.]), array([-208.,  311.,  164.]), array([ -44.,   51.,  544.]))
(1, 8737, 8319, 8744, array([-1488.,  -288., -7680.]), array([-250.,  315.,  225.]), array([ -46.,   52.,  544.]))
(1, 9686, 9327, 8744, array([-1584.,  -288., -7696.]), array([-315.,  292.,  253.]), array([ -46.,   52.,  544.]))
(1, 10635, 10335, 8744, array([-1520.,  -176., -7664.]), array([-353.,  249.,  265.]), array([ -46.,   52.,  544.]))
(1, 12059, 11344, 11289, array([-1600.,   -48., -7744.]), array([-366.,  208.,  292.]), array([ -46.,   48.,  544.]))
(1, 13008, 12352, 11289, array([-1552.,   -32., -7696.]), array([-379.,  165.,  309.]), array([ -46.,   48.,  544.]))
(1, 14432, 14368, 13833, array([-1632.,   160., -7632.]), array([-353.,  132.,  262.]), array([ -43.,   47.,  544.]))
(1, 15381, 15376, 13833, array([-1632.,   224., -7536.]), array([-236.,  116.,  250.]), array([ -43.,   47.,  544.]))
(1, 16331, 16384, 16378, array([-1600.,   256., -7552.]), array([-157.,   95.,  221.]), array([ -46.,   50.,  543.]))
(1, 17754, 17392, 16378, array([-1552.,   192., -7520.]), array([  -3.,   84.,  184.]), array([ -46.,   50.,  543.]))
(1, 18704, 18401, 18923, array([-1488.,   224., -7408.]), array([ 100.,   93.,  126.]), array([ -46.,   48.,  543.]))
(1, 19653, 19409, 18923, array([-1472.,   240., -7296.]), array([ 175.,   44.,   87.]), array([ -46.,   48.,  543.]))
