type,ID,seq,packetLoss,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula,voltage
1,5,12,15,12371219,14782988,7206714849739298368,1361426819.443427,14640,-2328,-772,nan,0.000000
2,5,13,15,12371219,14783020,7206714849739300989,1361426819.444662,15728,-3412,-1472,nan,0.000000
2,5,13,15,12371219,14783020,7206714849739303610,1361426819.444662,17108,-2144,-476,nan,0.000000
2,5,13,15,12371219,14783020,7206714849739306231,1361426819.444662,15316,-384,-576,nan,0.000000
2,5,13,15,12371219,14783020,7206714849739308852,1361426819.444662,16040,-836,-772,nan,0.000000
2,5,13,15,12371219,14783020,7206714849739311473,1361426819.444662,15812,-156,-900,nan,0.000000
2,5,14,15,12371219,14783052,7206714849739314094,1361426819.445462,16064,256,-76,nan,0.000000
2,5,14,15,12371219,14783052,7206714849739316715,1361426819.445462,16792,-964,-1328,nan,0.000000
2,5,14,15,12371219,14783052,7206714849739319336,1361426819.445462,16444,572,-800,nan,0.000000
2,5,14,15,12371219,14783052,7206714849739321957,1361426819.445462,16044,152,-1000,nan,0.000000
2,5,14,15,12371219,14783052,7206714849739324578,1361426819.445462,15204,-2172,-916,nan,0.000000
2,5,15,15,12371219,14783084,7206714849739327199,1361426819.446651,16100,-2136,-572,nan,0.000000
2,5,15,15,12371219,14783084,7206714849739329820,1361426819.446651,16692,-2440,244,nan,0.000000
2,5,15,15,12371219,14783084,7206714849739332441,1361426819.446651,16512,-3272,504,nan,0.000000
2,5,15,15,12371219,14783084,7206714849739335062,1361426819.446651,15364,-3176,964,nan,0.000000
2,5,15,15,12371219,14783084,7206714849739337683,1361426819.446651,15472,-3556,1088,nan,0.000000
2,5,0,15,12371219,14783116,7206714849739340304,1361426819.447463,15100,-3868,928,nan,0.000000
2,5,0,15,12371219,14783116,7206714849739342925,1361426819.447463,15288,-3008,1688,nan,0.000000
2,5,0,15,12371219,14783116,7206714849739345546,1361426819.447463,15800,-2448,2292,nan,0.000000
2,5,0,15,12371219,14783116,7206714849739348167,1361426819.447463,15840,-1840,2732,nan,0.000000
2,5,0,15,12371219,14783116,7206714849739350788,1361426819.447463,16680,-3568,1900,nan,0.000000
2,5,1,15,12371219,14783148,7206714849739353409,1361426819.448753,14988,-1804,2776,nan,0.000000
2,5,1,15,12371219,14783148,7206714849739356030,1361426819.448753,16244,-3124,1064,nan,0.000000
2,5,1,15,12371219,14783148,7206714849739358651,1361426819.448753,15264,-888,500,nan,0.000000
2,5,1,15,12371219,14783148,7206714849739361272,1361426819.448753,16548,-1216,-100,nan,0.000000
2,5,1,15,12371219,14783148,7206714849739363893,1361426819.448753,15908,-40,588,nan,0.000000
2,5,2,15,12371219,14783180,7206714849739366514,1361426821.916949,15532,72,724,nan,0.000000
2,5,2,15,12371219,14783180,7206714849739369135,1361426821.916949,16340,-500,984,nan,0.000000
2,5,2,15,12371219,14783180,7206714849739371756,1361426821.916949,15932,204,1368,nan,0.000000
2,5,2,15,12371219,14783180,7206714849739374377,1361426821.916949,15960,40,1064,nan,0.000000
2,5,2,15,12371219,14783180,7206714849739376998,1361426821.916949,15928,-108,1380,nan,0.000000
1,5,3,0,12452544,14864094,-2881445047964806142,1361426821.918630,17784,168,1224,nan,0.000000
1,5,3,1,12452544,14864094,-2881445047964803521,1361426821.918630,17440,-640,176,nan,0.000000
2,5,4,1,12452544,14864126,-2881445047964800900,1361426821.920826,15552,-4604,-2224,nan,0.000000
2,5,4,1,12452544,14864126,-2881445047964798279,1361426821.920826,15420,-588,-304,nan,0.000000
2,5,4,1,12452544,14864126,-2881445047964795658,1361426821.920826,17288,-1608,-180,nan,0.000000
2,5,4,1,12452544,14864126,-2881445047964793037,1361426821.920826,14872,-2120,16,nan,0.000000
2,5,4,1,12452544,14864126,-2881445047964790416,1361426821.920826,14932,-1628,412,nan,0.000000
2,5,5,1,12452544,14864157,-2881445047964787795,1361426821.921426,15532,-1628,604,nan,0.000000
2,5,5,1,12452544,14864157,-2881445047964785174,1361426821.921426,15636,-1208,548,nan,0.000000
2,5,5,1,12452544,14864157,-2881445047964782553,1361426821.921426,15432,-1028,1224,nan,0.000000
2,5,5,1,12452544,14864157,-2881445047964779932,1361426821.921426,15556,-1224,1008,nan,0.000000
2,5,5,1,12452544,14864157,-2881445047964777311,1361426821.921426,16588,-1240,2552,nan,0.000000
