(6, 23825, 23855, 22596, array([-7712.,  -576.,  3008.]), array([-8387.,  -472.,  5068.]), array([ 163.,  130., -360.]))
(6, 25249, 24863, 25141, array([-7680.,  -432.,  3008.]), array([-8408.,  -469.,  5044.]), array([ 164.,  134., -358.]))
(6, 26197, 25871, 25141, array([-7808.,  -448.,  2992.]), array([-8370.,  -512.,  5070.]), array([ 164.,  134., -358.]))
(6, 27622, 26879, 25141, array([-7904.,  -608.,  2896.]), array([-8362.,  -477.,  5150.]), array([ 164.,  134., -358.]))
(6, 28571, 27887, 27686, array([-7872.,  -544.,  3104.]), array([-8281.,  -448.,  5189.]), array([ 167.,  149., -357.]))
(6, 29520, 29903, 27686, array([-7808.,  -720.,  2992.]), array([-8382.,  -434.,  5079.]), array([ 167.,  149., -357.]))
(6, 30943, 30911, 30230, array([-7760.,  -592.,  3088.]), array([-8350.,  -507.,  5154.]), array([ 167.,  157., -357.]))
(6, 31893, 31919, 30230, array([-7840.,  -688.,  3088.]), array([-8366.,  -487.,  5159.]), array([ 167.,  157., -357.]))
(6, 32842, 32927, 32775, array([-7856.,  -672.,  3024.]), array([-8377.,  -433.,  5103.]), array([ 167.,  166., -356.]))
(6, 34266, 33935, 32775, array([-7840.,  -592.,  2976.]), array([-8405.,  -469.,  5083.]), array([ 167.,  166., -356.]))
(6, 35215, 34943, 35319, array([-7872.,  -672.,  2832.]), array([-8420.,  -501.,  5068.]), array([ 168.,  174., -349.]))
(6, 36639, 35951, 35319, array([-7904.,  -560.,  3024.]), array([-8369.,  -500.,  5141.]), array([ 168.,  174., -349.]))
(6, 37588, 36959, 35319, array([-7936.,  -672.,  3040.]), array([-8348.,  -479.,  5189.]), array([ 168.,  174., -349.]))
(6, 38537, 37967, 37865, array([-7872.,  -704.,  2880.]), array([-8403.,  -434.,  5119.]), array([ 169.,  181., -353.]))
(6, 39960, 39983, 37865, array([-7824.,  -704.,  3008.]), array([-8421.,  -526.,  5118.]), array([ 169.,  181., -353.]))
(6, 40910, 40991, 40410, array([-7760.,  -608.,  2896.]), array([-8380.,  -485.,  5120.]), array([ 172.,  191., -350.]))
(6, 41858, 41999, 40410, array([-7904.,  -576.,  2912.]), array([-8381.,  -487.,  5134.]), array([ 172.,  191., -350.]))
(6, 43282, 43007, 42954, array([-7776.,  -496.,  2848.]), array([-8431.,  -488.,  5060.]), array([ 171.,  200., -351.]))
(6, 44231, 44015, 42954, array([-7856.,  -544.,  2768.]), array([-8446.,  -468.,  5041.]), array([ 171.,  200., -351.]))
(6, 45181, 45023, 45500, array([-7904.,  -496.,  2816.]), array([-8382.,  -470.,  5134.]), array([ 172.,  207., -345.]))
(6, 46604, 46031, 45500, array([-7856.,  -592.,  2848.]), array([-8407.,  -470.,  5165.]), array([ 172.,  207., -345.]))
(6, 47553, 47039, 45500, array([-7920.,  -512.,  2944.]), array([-8400.,  -437.,  5182.]), array([ 172.,  207., -345.]))
(6, 48977, 48047, 48046, array([-7856.,  -640.,  2720.]), array([-8382.,  -462.,  5157.]), array([ 180.,  216., -338.]))
(6, 49926, 50063, 48046, array([-7904.,  -656.,  2784.]), array([-8369.,  -512.,  5184.]), array([ 180.,  216., -338.]))
(6, 50876, 51071, 50591, array([-7920.,  -672.,  2912.]), array([-8401.,  -473.,  5153.]), array([ 180.,  226., -338.]))
(6, 52300, 52079, 50591, array([-7824.,  -640.,  2816.]), array([-8454.,  -440.,  5088.]), array([ 180.,  226., -338.]))
(6, 53249, 53087, 53136, array([-7984.,  -544.,  2848.]), array([-8399.,  -464.,  5115.]), array([ 177.,  230., -330.]))
(6, 54198, 54095, 53136, array([-7904.,  -704.,  2720.]), array([-8440.,  -493.,  5105.]), array([ 177.,  230., -330.]))
(6, 55622, 55103, 55682, array([-7904.,  -512.,  2880.]), array([-8449.,  -471.,  5141.]), array([ 182.,  240., -329.]))
(6, 56571, 56111, 55682, array([-7920.,  -608.,  2880.]), array([-8398.,  -497.,  5145.]), array([ 182.,  240., -329.]))
(6, 57995, 57119, 55682, array([-7920.,  -496.,  2768.]), array([-8516.,  -456.,  5092.]), array([ 182.,  240., -329.]))
(6, 58944, 59135, 58228, array([-7984.,  -640.,  2864.]), array([-8422.,  -477.,  5178.]), array([ 184.,  248., -329.]))
(6, 59894, 60143, 58228, array([-8032.,  -576.,  2816.]), array([-8438.,  -432.,  5124.]), array([ 184.,  248., -329.]))
(6, 61317, 61151, 60774, array([-8000.,  -416.,  2800.]), array([-8466.,  -480.,  5092.]), array([ 187.,  252., -325.]))
(6, 62266, 62159, 60774, array([-8064.,  -592.,  2640.]), array([-8503.,  -510.,  5078.]), array([ 187.,  252., -325.]))
(6, 63215, 63167, 63318, array([-7984.,  -528.,  2752.]), array([-8442.,  -524.,  5138.]), array([ 184.,  264., -321.]))
(6, 64639, 64175, 63318, array([-8032.,  -576.,  2736.]), array([-8424.,  -513.,  5191.]), array([ 184.,  264., -321.]))
(6, 52, 65183, 328, array([-7952.,  -608.,  2672.]), array([-8508.,  -452.,  5169.]), array([ 195.,  268., -315.]))
