(6, 24690, 23898, 24753, array([-7728.,  -448.,  2224.]), array([-6015.,  -263.,  1502.]), array([ 252.,  170., -292.]))
(6, 25640, 25914, 24753, array([-7936.,  -848.,  2256.]), array([-6024.,  -193.,  1627.]), array([ 252.,  170., -292.]))
(6, 27063, 26922, 24753, array([-7904.,  -976.,  2304.]), array([-6033.,  -169.,  1560.]), array([ 252.,  170., -292.]))
(6, 28011, 27930, 27299, array([-7888.,  -960.,  2240.]), array([-5976.,  -224.,  1518.]), array([ 253.,  174., -292.]))
(6, 28961, 28938, 27299, array([-7824.,  -560.,  2096.]), array([-5949.,  -272.,  1457.]), array([ 253.,  174., -292.]))
(6, 30384, 29946, 29845, array([-7792.,  -304.,  2016.]), array([-5952.,  -257.,  1420.]), array([ 256.,  182., -290.]))
(6, 31334, 30954, 29845, array([-7824.,  -256.,  1952.]), array([-5957.,  -266.,  1484.]), array([ 256.,  182., -290.]))
(6, 32283, 31962, 32390, array([-7824.,  -624.,  2192.]), array([-5923.,  -247.,  1575.]), array([ 250.,  187., -289.]))
(6, 33707, 32970, 32390, array([-7904.,  -976.,  2240.]), array([-5955.,  -231.,  1640.]), array([ 250.,  187., -289.]))
(6, 34656, 33978, 34936, array([-7824.,  -944.,  2336.]), array([-5995.,  -226.,  1573.]), array([ 254.,  189., -287.]))
(6, 36081, 35994, 34936, array([-7856.,  -752.,  2128.]), array([-5896.,  -236.,  1460.]), array([ 254.,  189., -287.]))
(6, 37030, 37002, 34936, array([-7856.,  -432.,  2016.]), array([-5928.,  -249.,  1435.]), array([ 254.,  189., -287.]))
(6, 37979, 38010, 37481, array([-7680.,  -272.,  2096.]), array([-5932.,  -255.,  1483.]), array([ 256.,  199., -284.]))
(6, 39402, 39019, 37481, array([-7808.,  -688.,  2032.]), array([-5881.,  -272.,  1556.]), array([ 256.,  199., -284.]))
(6, 40351, 40027, 40027, array([-7904., -1024.,  2128.]), array([-5909.,  -233.,  1592.]), array([ 256.,  201., -280.]))
(6, 41301, 41035, 40027, array([-7856.,  -944.,  2288.]), array([-5933.,  -194.,  1563.]), array([ 256.,  201., -280.]))
(6, 42725, 42043, 42572, array([-7920.,  -864.,  2096.]), array([-5911.,  -209.,  1498.]), array([ 259.,  206., -280.]))
(6, 43674, 43051, 42572, array([-7760.,  -416.,  2128.]), array([-5862.,  -224.,  1465.]), array([ 259.,  206., -280.]))
(6, 44623, 45067, 42572, array([-7808.,  -256.,  1968.]), array([-5901.,  -273.,  1457.]), array([ 259.,  206., -280.]))
(6, 46047, 46075, 45118, array([-7760.,  -352.,  1936.]), array([-5836.,  -250.,  1529.]), array([ 260.,  214., -275.]))
(6, 46996, 47083, 45118, array([-7872.,  -848.,  1952.]), array([-5872.,  -222.,  1609.]), array([ 260.,  214., -275.]))
(6, 48420, 48091, 47664, array([-7904.,  -896.,  2272.]), array([-5868.,  -187.,  1593.]), array([ 260.,  220., -275.]))
