(6, 20313, 20489, 18650, array([-7856.,  -720.,  2272.]), array([-8873.,  -569.,  4118.]), array([ 198.,  158., -337.]))
(6, 21736, 21497, 21197, array([-7968.,  -704.,  2496.]), array([-8920.,  -580.,  4154.]), array([ 198.,  168., -335.]))
(6, 22685, 22505, 21197, array([-7968.,  -816.,  2448.]), array([-8919.,  -544.,  4133.]), array([ 198.,  168., -335.]))
(6, 23634, 23513, 23744, array([-8000.,  -768.,  2352.]), array([-8892.,  -532.,  4147.]), array([ 199.,  178., -333.]))
(6, 25058, 24521, 23744, array([-7952.,  -720.,  2544.]), array([-8903.,  -560.,  4145.]), array([ 199.,  178., -333.]))
(6, 26008, 25529, 23744, array([-7920.,  -736.,  2368.]), array([-8873.,  -545.,  4127.]), array([ 199.,  178., -333.]))
(6, 26956, 26537, 26290, array([-7952.,  -592.,  2352.]), array([-8893.,  -554.,  4128.]), array([ 200.,  185., -330.]))
(6, 28380, 27545, 26290, array([-7872.,  -528.,  2320.]), array([-8894.,  -585.,  4074.]), array([ 200.,  185., -330.]))
(6, 29329, 29561, 28836, array([-7920.,  -576.,  2384.]), array([-8948.,  -556.,  4147.]), array([ 201.,  195., -327.]))
(6, 30753, 30569, 28836, array([-7936.,  -656.,  2368.]), array([-8900.,  -536.,  4153.]), array([ 201.,  195., -327.]))
(6, 31703, 31577, 31382, array([-7952.,  -752.,  2320.]), array([-8933.,  -527.,  4170.]), array([ 205.,  204., -328.]))
(6, 32652, 32585, 31382, array([-8048.,  -720.,  2320.]), array([-8918.,  -584.,  4159.]), array([ 205.,  204., -328.]))
(6, 34076, 33593, 33927, array([-7936.,  -736.,  2288.]), array([-8945.,  -548.,  4118.]), array([ 205.,  212., -317.]))
(6, 35025, 34601, 33927, array([-8000.,  -704.,  2304.]), array([-8916.,  -537.,  4135.]), array([ 205.,  212., -317.]))
(6, 35974, 35609, 33927, array([-7856.,  -656.,  2208.]), array([-8914.,  -580.,  4123.]), array([ 205.,  212., -317.]))
(6, 37398, 36617, 36473, array([-7856.,  -624.,  2224.]), array([-8953.,  -524.,  4083.]), array([ 210.,  223., -316.]))
