(6, 25689, 25869, 25024, array([-7680.,  -352.,  2640.]), array([-8451.,  -315.,  3034.]), array([ 234.,  -96., -253.]))
(6, 27113, 26877, 25024, array([-7776.,  -208.,  2672.]), array([-8430.,  -326.,  3048.]), array([ 234.,  -96., -253.]))
(6, 28062, 27885, 27570, array([-7712.,  -320.,  2624.]), array([-8383.,  -338.,  3051.]), array([ 233.,  -90., -258.]))
(6, 29012, 28893, 27570, array([-7728.,  -320.,  2592.]), array([-8431.,  -357.,  3044.]), array([ 233.,  -90., -258.]))
(6, 30436, 29901, 30116, array([-7680.,  -240.,  2560.]), array([-8395.,  -350.,  3038.]), array([ 233.,  -81., -264.]))
(6, 31385, 30909, 30116, array([-7696.,  -128.,  2784.]), array([-8416.,  -354.,  3036.]), array([ 233.,  -81., -264.]))
(6, 32809, 31917, 32662, array([-7856.,  -352.,  2736.]), array([-8422.,  -355.,  3060.]), array([ 232.,  -76., -270.]))
(6, 33759, 33933, 32662, array([-7936.,  -368.,  2704.]), array([-8401.,  -306.,  3075.]), array([ 232.,  -76., -270.]))
(6, 34708, 34941, 32662, array([-7824.,  -320.,  2672.]), array([-8390.,  -339.,  3042.]), array([ 232.,  -76., -270.]))
(6, 36132, 35949, 35207, array([-7696.,  -352.,  2688.]), array([-8385.,  -355.,  3021.]), array([ 228.,  -66., -277.]))
(6, 37081, 36957, 35207, array([-7680.,  -288.,  2688.]), array([-8375.,  -330.,  3028.]), array([ 228.,  -66., -277.]))
(6, 38031, 37965, 37751, array([-7680.,  -400.,  2688.]), array([-8357.,  -339.,  3041.]), array([ 228.,  -60., -277.]))
(6, 39455, 38973, 37751, array([-7680.,  -384.,  2560.]), array([-8414.,  -346.,  3036.]), array([ 228.,  -60., -277.]))
(6, 40404, 39981, 40296, array([-7680.,  -256.,  2624.]), array([-8396.,  -368.,  3042.]), array([ 225.,  -50., -279.]))
(6, 41353, 40989, 40296, array([-7744.,  -368.,  2704.]), array([-8370.,  -358.,  3058.]), array([ 225.,  -50., -279.]))
(6, 42777, 41998, 42841, array([-7824.,  -400.,  2608.]), array([-8366.,  -338.,  3050.]), array([ 224.,  -40., -294.]))
(6, 43726, 44014, 42841, array([-7792.,  -416.,  2576.]), array([-8373.,  -339.,  3055.]), array([ 224.,  -40., -294.]))
(6, 45150, 45022, 42841, array([-7776.,  -416.,  2496.]), array([-8318.,  -393.,  3027.]), array([ 224.,  -40., -294.]))
