(6, 45048, 44523, 44782, array([-7984.,    16.,  1472.]), array([-7262.,  -161.,   649.]), array([ 312., -155., -112.]))
(6, 45997, 45531, 44782, array([-8000.,    64.,  1696.]), array([-7260.,  -168.,   668.]), array([ 312., -155., -112.]))
(6, 46946, 46539, 47327, array([-7952.,    64.,  1568.]), array([-7222.,  -165.,   673.]), array([ 314., -154., -119.]))
(6, 48371, 47547, 47327, array([-7952.,     0.,  1568.]), array([-7218.,  -159.,   658.]), array([ 314., -154., -119.]))
(6, 49320, 49563, 47327, array([-7952.,    16.,  1584.]), array([-7268.,  -110.,   657.]), array([ 314., -154., -119.]))
(6, 50269, 50571, 49872, array([-7920.,    16.,  1680.]), array([-7227.,  -110.,   630.]), array([ 313., -151., -124.]))
(6, 51693, 51579, 49872, array([-7904.,   -80.,  1696.]), array([-7251.,  -102.,   634.]), array([ 313., -151., -124.]))
(6, 52646, 52587, 52415, array([-7776.,   -16.,  1552.]), array([-7217.,  -120.,   642.]), array([ 312., -150., -130.]))
(6, 54070, 53595, 52415, array([-7920.,   144.,  1792.]), array([-7272.,  -111.,   649.]), array([ 312., -150., -130.]))
(6, 55018, 54603, 54960, array([-7888.,     0.,  1616.]), array([-7269.,  -129.,   651.]), array([ 312., -146., -137.]))
(6, 55967, 55611, 54960, array([-8048.,   -96.,  1600.]), array([-7279.,  -148.,   682.]), array([ 312., -146., -137.]))
(6, 57391, 56619, 54960, array([-7872.,  -224.,  1520.]), array([-7306.,  -155.,   640.]), array([ 312., -146., -137.]))
(6, 58340, 57627, 57504, array([-7984.,   -16.,  1600.]), array([-7283.,  -165.,   624.]), array([ 315., -142., -143.]))
(6, 59289, 59643, 57504, array([-7808.,   144.,  1680.]), array([-7314.,  -136.,   609.]), array([ 315., -142., -143.]))
(6, 60712, 60651, 60049, array([-7888.,   112.,  1616.]), array([-7278.,  -150.,   671.]), array([ 307., -138., -149.]))
(6, 61661, 61659, 60049, array([-7968.,   -32.,  1600.]), array([-7297.,  -149.,   682.]), array([ 307., -138., -149.]))
(6, 64034, 63676, 62594, array([-7984.,  -160.,  1664.]), array([-7330.,   -97.,   662.]), array([ 311., -137., -156.]))
(6, 64983, 64684, 65140, array([-8032.,  -112.,  1616.]), array([-7338.,   -97.,   620.]), array([ 310., -135., -156.]))
(6, 870, 156, 65140, array([-7920.,   128.,  1760.]), array([-7337.,   -94.,   594.]), array([ 310., -135., -156.]))
(6, 1819, 1164, 65140, array([-7952.,    16.,  1616.]), array([-7378.,  -122.,   598.]), array([ 310., -135., -156.]))
(6, 2768, 3180, 2149, array([-7984.,   -48.,  1616.]), array([-7303.,  -172.,   691.]), array([ 309., -126., -166.]))
(6, 4192, 4188, 2149, array([-7968.,  -240.,  1472.]), array([-7320.,  -157.,   699.]), array([ 309., -126., -166.]))
(6, 5141, 5196, 4694, array([-8000.,  -240.,  1488.]), array([-7337.,  -170.,   669.]), array([ 310., -123., -183.]))
(6, 6564, 6204, 4694, array([-7920.,   -96.,  1488.]), array([-7374.,  -186.,   626.]), array([ 310., -123., -183.]))
(6, 7514, 7212, 7240, array([-7856.,    16.,  1568.]), array([-7355.,  -148.,   598.]), array([ 310., -119., -183.]))
(6, 8463, 8220, 7240, array([-7936.,   -32.,  1552.]), array([-7371.,  -132.,   636.]), array([ 310., -119., -183.]))
(6, 9887, 9228, 9784, array([-7936.,   -80.,  1680.]), array([-7350.,  -128.,   660.]), array([ 309., -113., -184.]))
(6, 10836, 10236, 9784, array([-7904.,  -128.,  1616.]), array([-7328.,  -125.,   670.]), array([ 309., -113., -184.]))
(6, 11785, 11244, 9784, array([-7920.,  -208.,  1552.]), array([-7373.,  -115.,   673.]), array([ 309., -113., -184.]))
(6, 13209, 13260, 12329, array([-7952.,  -112.,  1696.]), array([-7325.,  -104.,   674.]), array([ 308., -108., -189.]))
(6, 14158, 14268, 12329, array([-7936.,  -240.,  1552.]), array([-7391.,  -109.,   643.]), array([ 308., -108., -189.]))
(6, 15107, 15276, 14875, array([-7904.,  -192.,  1488.]), array([-7387.,  -142.,   614.]), array([ 310., -103., -196.]))
(6, 16531, 16284, 14875, array([-8000.,  -128.,  1664.]), array([-7443.,  -160.,   623.]), array([ 310., -103., -196.]))
(6, 17479, 17292, 17419, array([-7952.,   -64.,  1600.]), array([-7388.,  -185.,   627.]), array([ 308.,  -99., -198.]))
(6, 18903, 18300, 17419, array([-7984.,  -144.,  1456.]), array([-7452.,  -188.,   634.]), array([ 308.,  -99., -198.]))
(6, 19852, 19308, 19965, array([-8016.,  -176.,  1504.]), array([-7440.,  -165.,   673.]), array([ 304.,  -92., -204.]))
(6, 20801, 20316, 19965, array([-7952.,  -240.,  1568.]), array([-7422.,  -171.,   679.]), array([ 304.,  -92., -204.]))
(6, 22225, 21324, 19965, array([-7920.,  -256.,  1552.]), array([-7441.,  -139.,   644.]), array([ 304.,  -92., -204.]))
(6, 23174, 23340, 22510, array([-7904.,  -176.,  1504.]), array([-7467.,  -126.,   606.]), array([ 305.,  -89., -210.]))
(6, 24123, 24348, 22510, array([-7968.,   -96.,  1536.]), array([-7442.,   -92.,   613.]), array([ 305.,  -89., -210.]))
(6, 25547, 25356, 25055, array([-7904.,  -144.,  1568.]), array([-7454.,  -125.,   643.]), array([ 306.,  -78., -217.]))
(6, 26495, 26364, 25055, array([-8000.,  -256.,  1472.]), array([-7497.,  -119.,   677.]), array([ 306.,  -78., -217.]))
(6, 27919, 27372, 27601, array([-8064.,  -448.,  1296.]), array([-7455.,  -135.,   702.]), array([ 302.,  -76., -220.]))
(6, 28869, 28380, 27601, array([-8064.,  -256.,  1488.]), array([-7478.,  -148.,   672.]), array([ 302.,  -76., -220.]))
(6, 29818, 29388, 30148, array([-7936.,  -176.,  1552.]), array([-7526.,  -151.,   637.]), array([ 305.,  -68., -224.]))
(6, 31242, 30396, 30148, array([-7872.,   -96.,  1472.]), array([-7504.,  -157.,   626.]), array([ 305.,  -68., -224.]))
(6, 32191, 32412, 30148, array([-7904.,  -128.,  1536.]), array([-7519.,  -161.,   672.]), array([ 305.,  -68., -224.]))
