(6, 2325, 2415, 2329, array([ 3344.,   464., -5312.]), array([-4613., -1269.,  -572.]), array([ -87.,   -1.,  498.]))
(6, 3274, 3423, 2329, array([ 3264.,   608., -5456.]), array([-4900., -1196.,  -578.]), array([ -87.,   -1.,  498.]))
(6, 4697, 4432, 2329, array([ 3200.,   800., -5456.]), array([-5055., -1168.,  -599.]), array([ -87.,   -1.,  498.]))
(6, 5647, 5440, 4876, array([ 3248.,   928., -5456.]), array([-5194., -1090.,  -602.]), array([ -87.,  -13.,  498.]))
(6, 7071, 6448, 4876, array([ 3280.,  1088., -5600.]), array([-5250.,  -963.,  -647.]), array([ -87.,  -13.,  498.]))
(6, 8020, 7456, 7423, array([ 3280.,  1200., -5632.]), array([-5174.,  -838.,  -705.]), array([ -81.,  -27.,  499.]))
(6, 8969, 8464, 7423, array([ 3232.,  1280., -5776.]), array([-4937.,  -714.,  -709.]), array([ -81.,  -27.,  499.]))
(6, 10394, 10480, 9969, array([ 3328.,  1184., -6080.]), array([-4158.,  -504.,  -686.]), array([ -78.,  -35.,  502.]))
(6, 11343, 11489, 9969, array([ 3344.,  1072., -6096.]), array([-3726.,  -414.,  -644.]), array([ -78.,  -35.,  502.]))
(6, 12292, 12497, 12516, array([ 3296.,  1120., -6160.]), array([-3345.,  -320.,  -672.]), array([ -78.,  -44.,  502.]))
(6, 13716, 13505, 12516, array([ 3280.,  1232., -6160.]), array([-2868.,  -228.,  -635.]), array([ -78.,  -44.,  502.]))
(6, 14666, 14513, 12516, array([ 3328.,  1248., -6064.]), array([-2286.,  -190.,  -640.]), array([ -78.,  -44.,  502.]))
(6, 16089, 15521, 15062, array([ 3312.,   992., -5824.]), array([-1756.,  -151.,  -663.]), array([ -75.,  -50.,  493.]))
(6, 17038, 16529, 15062, array([ 3328.,   784., -5744.]), array([-1255.,  -148.,  -628.]), array([ -75.,  -50.,  493.]))
(6, 17988, 17537, 17608, array([ 3328.,   640., -5664.]), array([-875., -191., -574.]), array([ -77.,  -55.,  496.]))
