(1, 32009, 31532, 30005, array([ 7184., -1168., -2624.]), array([ -869., -2132.,  1064.]), array([-318.,  173.,  469.]))
(1, 32958, 32540, 32551, array([ 7168., -1168., -2656.]), array([-1032., -2118.,  1025.]), array([-318.,  175.,  471.]))
(1, 33907, 33549, 32551, array([ 7184., -1136., -2736.]), array([-1153., -2102.,   994.]), array([-318.,  175.,  471.]))
(1, 35331, 34557, 35098, array([ 7200., -1200., -2784.]), array([-1233., -2043.,   934.]), array([-311.,  171.,  473.]))
(1, 36281, 35565, 35098, array([ 7152., -1152., -2832.]), array([-1285., -1942.,   875.]), array([-311.,  171.,  473.]))
(1, 37230, 37581, 37644, array([ 7104., -1200., -2896.]), array([-1392., -1855.,   760.]), array([-305.,  170.,  481.]))
(1, 38654, 38589, 37644, array([ 7040., -1248., -3024.]), array([-1405., -1807.,   672.]), array([-305.,  170.,  481.]))
(1, 39603, 39598, 37644, array([ 6976., -1248., -3056.]), array([-1429., -1746.,   620.]), array([-305.,  170.,  481.]))
(1, 41026, 40606, 40190, array([ 6864., -1232., -3072.]), array([-1404., -1718.,   571.]), array([-302.,  166.,  481.]))
(1, 41975, 41614, 40190, array([ 6896., -1248., -3152.]), array([-1374., -1682.,   501.]), array([-302.,  166.,  481.]))
(1, 42924, 42622, 42734, array([ 6800., -1184., -3136.]), array([-1327., -1651.,   459.]), array([-298.,  165.,  483.]))
(1, 44348, 43630, 42734, array([ 6736., -1200., -3248.]), array([-1225., -1618.,   424.]), array([-298.,  165.,  483.]))
(1, 45298, 44639, 45281, array([ 6688., -1168., -3328.]), array([-1206., -1562.,   406.]), array([-292.,  160.,  487.]))
(1, 46247, 46655, 45281, array([ 6656., -1136., -3360.]), array([-1089., -1461.,   389.]), array([-292.,  160.,  487.]))
(1, 47671, 47663, 45281, array([ 6672., -1168., -3520.]), array([-1057., -1362.,   366.]), array([-292.,  160.,  487.]))
(1, 48620, 48671, 47827, array([ 6672., -1152., -3504.]), array([ -954., -1331.,   369.]), array([-293.,  158.,  491.]))
(1, 49569, 49679, 47827, array([ 6576., -1152., -3552.]), array([ -875., -1302.,   372.]), array([-293.,  158.,  491.]))
(1, 50993, 50688, 50373, array([ 6480., -1136., -3584.]), array([ -765., -1254.,   369.]), array([-290.,  157.,  491.]))
(1, 51942, 51696, 50373, array([ 6448., -1152., -3584.]), array([ -718., -1214.,   360.]), array([-290.,  157.,  491.]))
(1, 53366, 52704, 52920, array([ 6416., -1136., -3616.]), array([ -637., -1202.,   370.]), array([-286.,  155.,  493.]))
(1, 54315, 53712, 52920, array([ 6320., -1120., -3584.]), array([ -528., -1173.,   355.]), array([-286.,  155.,  493.]))
(1, 55264, 54720, 55467, array([ 6336., -1152., -3552.]), array([ -447., -1133.,   348.]), array([-286.,  156.,  493.]))
(1, 56688, 56737, 55467, array([ 6320., -1248., -3600.]), array([ -276., -1084.,   341.]), array([-286.,  156.,  493.]))
(1, 57637, 57745, 55467, array([ 6240., -1312., -3648.]), array([ -257., -1031.,   337.]), array([-286.,  156.,  493.]))
(1, 58586, 58753, 58013, array([ 6240., -1360., -3648.]), array([ -245., -1013.,   345.]), array([-283.,  154.,  495.]))
(1, 60010, 59761, 58013, array([ 6224., -1360., -3776.]), array([-245., -988.,  327.]), array([-283.,  154.,  495.]))
(1, 60959, 60770, 60560, array([ 6208., -1376., -3776.]), array([-272., -970.,  320.]), array([-283.,  153.,  499.]))
(1, 62383, 61778, 60560, array([ 6272., -1360., -3808.]), array([-314., -921.,  314.]), array([-283.,  153.,  499.]))
(1, 63332, 62786, 63105, array([ 6208., -1424., -3936.]), array([-367., -900.,  321.]), array([-283.,  150.,  499.]))
(1, 64281, 63794, 63105, array([ 6144., -1376., -3920.]), array([-421., -845.,  285.]), array([-283.,  150.,  499.]))
(1, 169, 64802, 115, array([ 6160., -1376., -3920.]), array([-514., -772.,  308.]), array([-275.,  151.,  499.]))
(1, 1118, 1283, 115, array([ 6176., -1344., -3888.]), array([-636., -775.,  309.]), array([-275.,  151.,  499.]))
(1, 2068, 2291, 115, array([ 6160., -1296., -3968.]), array([-666., -771.,  283.]), array([-275.,  151.,  499.]))
(1, 3492, 3299, 2660, array([ 6160., -1328., -3920.]), array([-707., -756.,  291.]), array([-273.,  148.,  500.]))
(1, 4441, 4307, 2660, array([ 6128., -1312., -3904.]), array([-753., -706.,  282.]), array([-273.,  148.,  500.]))
(1, 5865, 5315, 5206, array([ 6144., -1264., -3984.]), array([-751., -682.,  273.]), array([-274.,  148.,  502.]))
(1, 6814, 6324, 5206, array([ 6192., -1264., -3904.]), array([-778., -635.,  251.]), array([-274.,  148.,  502.]))
(1, 7764, 7332, 7751, array([ 6256., -1216., -3952.]), array([-812., -589.,  245.]), array([-272.,  148.,  502.]))
(1, 9187, 8340, 7751, array([ 6304., -1232., -4048.]), array([-791., -562.,  250.]), array([-272.,  148.,  502.]))
(1, 10137, 10356, 10298, array([ 6432., -1216., -4144.]), array([-794., -479.,  234.]), array([-272.,  147.,  504.]))
(1, 11086, 11364, 10298, array([ 6448., -1200., -4176.]), array([-765., -420.,  233.]), array([-272.,  147.,  504.]))
(1, 12511, 12373, 10298, array([ 6432., -1200., -4240.]), array([-725., -406.,  253.]), array([-272.,  147.,  504.]))
(1, 13460, 13381, 12844, array([ 6480., -1104., -4256.]), array([-659., -401.,  271.]), array([-270.,  142.,  503.]))
(1, 14410, 14389, 12844, array([ 6464., -1088., -4272.]), array([-559., -383.,  242.]), array([-270.,  142.,  503.]))
(1, 15834, 15397, 15391, array([ 6480., -1040., -4288.]), array([-459., -394.,  238.]), array([-270.,  144.,  505.]))
(1, 16783, 16405, 15391, array([ 6528., -1008., -4272.]), array([-390., -382.,  226.]), array([-270.,  144.,  505.]))
(1, 18208, 17414, 17936, array([ 6560.,  -976., -4208.]), array([-265., -392.,  231.]), array([-270.,  142.,  505.]))
(1, 19157, 18422, 17936, array([ 6624., -1024., -4176.]), array([-135., -371.,  240.]), array([-270.,  142.,  505.]))
(1, 20107, 20438, 20482, array([ 6624., -1040., -4128.]), array([ -17., -351.,  249.]), array([-267.,  141.,  504.]))
(1, 21531, 21446, 20482, array([ 6608.,  -928., -4144.]), array([  42., -398.,  250.]), array([-267.,  141.,  504.]))
(1, 22480, 22455, 20482, array([ 6544.,  -944., -4112.]), array([  93., -415.,  251.]), array([-267.,  141.,  504.]))
(1, 23430, 23463, 23027, array([ 6448.,  -912., -4112.]), array([ 190., -441.,  292.]), array([-267.,  141.,  507.]))
(1, 24855, 24471, 23027, array([ 6368.,  -880., -4048.]), array([ 268., -467.,  326.]), array([-267.,  141.,  507.]))
(1, 25804, 25479, 25574, array([ 6384.,  -880., -4048.]), array([ 403., -478.,  335.]), array([-266.,  144.,  506.]))
(1, 27229, 26487, 25574, array([ 6304.,  -896., -4208.]), array([ 409., -441.,  313.]), array([-266.,  144.,  506.]))
(1, 28178, 27495, 28121, array([ 6352.,  -896., -4016.]), array([ 506., -468.,  341.]), array([-265.,  142.,  508.]))
(1, 29127, 28504, 28121, array([ 6256., -1184., -3792.]), array([ 574., -473.,  327.]), array([-265.,  142.,  508.]))
(1, 30551, 30520, 28121, array([ 6128., -1360., -3616.]), array([ 222., -389.,  297.]), array([-265.,  142.,  508.]))
(1, 31500, 31528, 30669, array([ 6096., -1152., -3584.]), array([ -45., -333.,  287.]), array([-264.,  142.,  508.]))
(1, 32450, 32536, 30669, array([ 6032.,  -912., -3632.]), array([-275., -251.,  292.]), array([-264.,  142.,  508.]))
(1, 33873, 33545, 33215, array([ 6000.,  -656., -3568.]), array([-405., -185.,  245.]), array([-264.,  142.,  508.]))
(1, 34822, 34553, 33215, array([ 6016.,  -544., -3552.]), array([-483., -132.,  163.]), array([-264.,  142.,  508.]))
(1, 35771, 35561, 35763, array([ 5968.,  -432., -3536.]), array([-415.,  -81.,  120.]), array([-265.,  141.,  511.]))
(1, 37195, 36569, 35763, array([ 5936.,  -480., -3600.]), array([-328.,  -36.,   70.]), array([-265.,  141.,  511.]))
(1, 38145, 37577, 38310, array([ 6032.,  -496., -3584.]), array([-246.,   17.,   45.]), array([-260.,  141.,  511.]))
