(1, 53790, 53124, 52667, array([ 7312.,  1776., -2800.]), array([  254., -1958.,   382.]), array([-352., -109.,  421.]))
(1, 54740, 55141, 55214, array([ 7296.,  1760., -2800.]), array([  103., -1993.,   385.]), array([-351., -109.,  426.]))
(1, 56164, 56149, 55214, array([ 7184.,  1824., -2800.]), array([   52., -2035.,   371.]), array([-351., -109.,  426.]))
(1, 57113, 57157, 55214, array([ 7184.,  1808., -2720.]), array([   12., -2042.,   374.]), array([-351., -109.,  426.]))
(1, 58536, 58165, 57761, array([ 7184.,  1888., -2720.]), array([   47., -2059.,   398.]), array([-348., -108.,  426.]))
(1, 59486, 59173, 57761, array([ 7216.,  1920., -2704.]), array([  -41., -2044.,   392.]), array([-348., -108.,  426.]))
(1, 61859, 61189, 60307, array([ 7184.,  2032., -2768.]), array([   -4., -1985.,   407.]), array([-345., -108.,  429.]))
(1, 62808, 62198, 62853, array([ 7184.,  2080., -2912.]), array([   23., -1934.,   362.]), array([-338., -106.,  433.]))
(1, 64232, 64214, 62853, array([ 7168.,  2096., -3024.]), array([   90., -1873.,   290.]), array([-338., -106.,  433.]))
(1, 65182, 65222, 62853, array([ 7120.,  2096., -3136.]), array([  182., -1857.,   261.]), array([-338., -106.,  433.]))
(1, 595, 694, 65400, array([ 7104.,  2128., -3104.]), array([  212., -1811.,   228.]), array([-338., -108.,  433.]))
(1, 2018, 1702, 65400, array([ 7088.,  2160., -3200.]), array([  275., -1769.,   178.]), array([-338., -108.,  433.]))
(1, 2967, 2710, 2411, array([ 7040.,  2176., -3184.]), array([  369., -1766.,   151.]), array([-339., -106.,  432.]))
(1, 3916, 3719, 2411, array([ 6944.,  2144., -3184.]), array([  384., -1774.,    98.]), array([-339., -106.,  432.]))
(1, 5341, 4727, 4959, array([ 6944.,  2064., -3168.]), array([  482., -1779.,    80.]), array([-335., -108.,  437.]))
(1, 6290, 5735, 4959, array([ 6944.,  2080., -3136.]), array([  533., -1793.,    28.]), array([-335., -108.,  437.]))
(1, 7239, 6743, 7506, array([ 6944.,  2032., -3152.]), array([  536., -1808.,     7.]), array([-328., -108.,  441.]))
(1, 8663, 8759, 7506, array([ 6864.,  1952., -3120.]), array([  528., -1749.,   -76.]), array([-328., -108.,  441.]))
(1, 9612, 9767, 7506, array([ 6880.,  1968., -3152.]), array([  528., -1760.,  -115.]), array([-328., -108.,  441.]))
(1, 11035, 10776, 10053, array([ 6960.,  1952., -3120.]), array([  439., -1722.,  -136.]), array([-326., -105.,  444.]))
(1, 11985, 11784, 10053, array([ 7040.,  1952., -3232.]), array([  402., -1693.,  -145.]), array([-326., -105.,  444.]))
(1, 12934, 12792, 12599, array([ 7088.,  1968., -3248.]), array([  378., -1687.,  -179.]), array([-326., -103.,  445.]))
(1, 14358, 13800, 12599, array([ 7072.,  1872., -3312.]), array([  366., -1685.,  -222.]), array([-326., -103.,  445.]))
(1, 15307, 14808, 15146, array([ 7072.,  1808., -3312.]), array([  314., -1690.,  -236.]), array([-327., -104.,  452.]))
(1, 16256, 15816, 15146, array([ 7008.,  1840., -3312.]), array([  255., -1709.,  -287.]), array([-327., -104.,  452.]))
(1, 17681, 16824, 17693, array([ 7008.,  1792., -3280.]), array([  206., -1704.,  -326.]), array([-318., -108.,  453.]))
(1, 18630, 18841, 17693, array([ 6944.,  1760., -3312.]), array([   70., -1714.,  -442.]), array([-318., -108.,  453.]))
(1, 20054, 19849, 17693, array([ 6896.,  1712., -3328.]), array([   85., -1735.,  -478.]), array([-318., -108.,  453.]))
(1, 21003, 20857, 20239, array([ 6832.,  1744., -3344.]), array([ -1.00000000e+00,  -1.75100000e+03,  -5.15000000e+02]), array([-318., -110.,  453.]))
(1, 21952, 21865, 20239, array([ 6816.,  1776., -3248.]), array([  -49., -1729.,  -549.]), array([-318., -110.,  453.]))
(1, 23376, 22873, 22787, array([ 6736.,  1712., -3392.]), array([  -49., -1720.,  -570.]), array([-314., -106.,  455.]))
(1, 24325, 23881, 22787, array([ 6720.,  1728., -3424.]), array([ -113., -1705.,  -596.]), array([-314., -106.,  455.]))
(1, 25274, 24890, 25333, array([ 6752.,  1696., -3456.]), array([ -147., -1691.,  -619.]), array([-311., -107.,  459.]))
