(1, 14606, 14939, 12461, array([ 5264., -2192., -5168.]), array([-1300.,   -34.,  -212.]), array([-194.,  227.,  519.]))
(1, 16030, 15947, 15008, array([ 5360., -2272., -5216.]), array([-1220.,   -53.,  -230.]), array([-190.,  225.,  521.]))
(1, 16979, 16955, 15008, array([ 5312., -2336., -5296.]), array([-1257.,   -70.,  -230.]), array([-190.,  225.,  521.]))
(1, 17928, 17963, 17555, array([ 5280., -2416., -5280.]), array([-1283.,   -76.,  -191.]), array([-195.,  222.,  523.]))
(1, 19353, 18971, 17555, array([ 5264., -2464., -5376.]), array([-1370.,   -86.,  -209.]), array([-195.,  222.,  523.]))
(1, 20302, 19979, 20102, array([ 5312., -2448., -5408.]), array([-1456.,   -70.,  -205.]), array([-192.,  215.,  528.]))
(1, 21726, 20988, 20102, array([ 5296., -2400., -5440.]), array([-1625.,  -102.,  -144.]), array([-192.,  215.,  528.]))
(1, 22675, 21996, 22649, array([ 5232., -2416., -5472.]), array([-1789.,  -158.,  -107.]), array([-193.,  214.,  527.]))
(1, 23624, 23004, 22649, array([ 5264., -2384., -5520.]), array([-1898.,  -160.,  -102.]), array([-193.,  214.,  527.]))
(1, 25048, 25020, 22649, array([ 5312., -2368., -5184.]), array([-2270.,  -146.,   -36.]), array([-193.,  214.,  527.]))
(1, 25997, 26029, 25196, array([ 5360., -2320., -4896.]), array([-2523.,  -179.,   -11.]), array([-191.,  206.,  528.]))
(1, 26947, 27037, 25196, array([ 5360., -2256., -4784.]), array([-2885.,  -111.,    45.]), array([-191.,  206.,  528.]))
(1, 28371, 28045, 27742, array([ 5280., -1968., -4736.]), array([-3143.,   -49.,    82.]), array([-193.,  201.,  528.]))
(1, 29320, 29053, 27742, array([ 5312., -1664., -4784.]), array([-3353.,   -12.,    47.]), array([-193.,  201.,  528.]))
(1, 30269, 30061, 30289, array([ 5296., -1424., -4816.]), array([-3457.,    18.,    21.]), array([-192.,  192.,  531.]))
(1, 31693, 31070, 30289, array([ 5328., -1216., -4880.]), array([-3478.,    25.,    -8.]), array([-192.,  192.,  531.]))
(1, 32642, 32078, 32836, array([ 5312., -1200., -4976.]), array([-3438.,    14.,   -40.]), array([-192.,  185.,  531.]))
(1, 34066, 34094, 32836, array([ 5360., -1104., -4944.]), array([-3106.,    50.,   -53.]), array([-192.,  185.,  531.]))
