TOTAL_TIME,0m7s
TOTAL_FRAMES,449
SELECTED_FRAMES,449
NO_OF_JOINTS,7
FREQUENCY,64.0
DESCRIPTION,east
TIME_STAMP,Jul 17, 2009

Time,Frame,Pelvis_accelX_37,Pelvis_accelY_37,Pelvis_accelZ_37,RFEP_accelX_30,RFEP_accelY_30,RFEP_accelZ_30,RFEO_accelX_55,RFEO_accelY_55,RFEO_accelZ_55,RTIO_accelX_44,RTIO_accelY_44,RTIO_accelZ_44,LFEP_accelX_25,LFEP_accelY_25,LFEP_accelZ_25,LFEO_accelX_28,LFEO_accelY_28,LFEO_accelZ_28,LTIO_accelX_70,LTIO_accelY_70,LTIO_accelZ_70
3.8125,244,-0.78967285,-0.35491943,-0.14434814,-0.39666748,-0.088378906,-0.5249634,-0.3554077,0.11755371,-0.8557129,-0.35491943,-0.31524658,0.8499756,-0.93218994,0.16229248,-0.15509033,-0.96154785,-0.08343506,0.055114746,-0.5064697,0.25012207,0.8372803
3.828125,245,-0.8097534,-0.37445068,-0.1572876,-0.3945923,-0.03552246,-0.5545044,-0.45819092,0.12866211,-0.8477783,-0.50823975,-0.4144287,1.0057373,-1.0536499,0.23742676,-0.09039307,-0.9268799,-0.0026855469,0.13012695,-0.5054321,0.32946777,0.8173218
3.84375,246,-0.81274414,-0.39013672,-0.14935303,-0.48632812,0.032043457,-0.47564697,-0.65789795,0.16497803,-0.7644043,-0.76483154,-0.515625,1.1414795,-1.0070801,0.31658936,-0.026733398,-0.91571045,0.089904785,0.159729,-0.46069336,0.23822021,0.7923584
3.859375,247,-0.82873535,-0.34710693,-0.14135742,-0.57592773,0.13671875,-0.4500122,-0.9164429,0.22558594,-0.6453247,-0.9302368,-0.661438,1.3321533,-1.0030518,0.06732178,0.08746338,-0.9859619,-0.028320312,0.09460449,-0.49017334,0.27392578,0.86920166
3.875,248,-0.8487549,-0.32751465,-0.22503662,-0.66967773,0.2952881,-0.30218506,-1.1130981,0.29022217,-0.46069336,-1.15271,-0.58410645,1.4628906,-0.99694824,-0.1739502,-0.0095825195,-1.0134888,-0.12878418,0.02947998,-0.48712158,0.25012207,0.87023926
3.890625,249,-0.89282227,-0.32751465,-0.21911621,-0.77563477,0.7532959,0.015258789,-1.2229614,0.36090088,-0.053833008,-1.3251343,-0.8648071,1.368042,-0.9402466,-0.25701904,-0.21673584,-1.0205688,-0.18591309,-0.01586914,-0.4383545,0.21343994,0.8881836
3.90625,250,-0.87683105,-0.24926758,-0.21508789,-0.9589844,1.0879517,0.13354492,-1.4106445,0.35479736,0.13476562,-1.3591919,-0.61883545,1.1414795,-0.8997803,-0.18585205,-0.2874756,-0.963562,-0.24108887,-0.08099365,-0.5145874,0.1965332,0.87323
3.921875,251,-0.9008789,-0.14556885,-0.19616699,-1.2401733,1.1917114,0.72003174,-1.2808228,0.10443115,0.6885376,-1.3571777,-0.060302734,0.85498047,-0.86535645,-0.17791748,-0.31274414,-0.99005127,-0.1918335,-0.13226318,-0.52575684,0.25408936,0.8652344
3.9375,252,-0.89282227,-0.07318115,-0.111450195,-1.6293335,1.1956177,1.4229126,-1.0222778,0.0357666,1.3624268,-1.3571777,0.4029541,-0.21209717,-0.8673706,-0.17791748,-0.21569824,-0.9961548,-0.088378906,-0.07702637,-0.49835205,0.26000977,0.8632202
3.953125,253,-0.94488525,-0.06530762,-0.043701172,-1.1831055,1.1173706,1.0985718,-0.95739746,0.047851562,0.55358887,-1.3571777,0.7581177,-0.20611572,-0.9159546,-0.043395996,-0.12176514,-0.9655762,0.0032348633,0.054138184,-0.473938,0.19158936,0.8432617
