(1, 42837, 43272, 41830, array([ 7296.,   128., -2208.]), array([ 637., -923., -145.]), array([-507.,   18.,  163.]))
(1, 44261, 44280, 44375, array([ 7328.,    80., -2208.]), array([ 626., -880., -130.]), array([-506.,   16.,  165.]))
(1, 45210, 45288, 44375, array([ 7312.,   112., -2208.]), array([ 628., -850., -108.]), array([-506.,   16.,  165.]))
(1, 46633, 46297, 44375, array([ 7312.,   128., -2160.]), array([ 574., -816.,  -93.]), array([-506.,   16.,  165.]))
(1, 47583, 47305, 46922, array([ 7312.,   128., -2112.]), array([ 603., -781., -105.]), array([-507.,   17.,  168.]))
(1, 48532, 48313, 46922, array([ 7312.,    96., -2176.]), array([ 538., -742.,  -89.]), array([-507.,   17.,  168.]))
(1, 49957, 49321, 49467, array([ 7248.,    64., -2176.]), array([ 479., -685.,  -72.]), array([-505.,   15.,  169.]))
(1, 50906, 50329, 49467, array([ 7200.,    80., -2224.]), array([ 513., -674.,  -58.]), array([-505.,   15.,  169.]))
(1, 51855, 51338, 52013, array([ 7152.,   128., -2272.]), array([ 478., -651.,  -85.]), array([-503.,   19.,  171.]))
(1, 53279, 53354, 52013, array([ 7136.,   144., -2272.]), array([ 458., -570., -136.]), array([-503.,   19.,  171.]))
(1, 54229, 54362, 52013, array([ 7184.,   160., -2288.]), array([ 487., -535., -120.]), array([-503.,   19.,  171.]))
(1, 55653, 55371, 54557, array([ 7232.,   160., -2320.]), array([ 548., -496., -147.]), array([-504.,   18.,  171.]))
(1, 56602, 56379, 54557, array([ 7200.,   160., -2288.]), array([ 588., -425., -166.]), array([-504.,   18.,  171.]))
(1, 57551, 57387, 57103, array([ 7216.,   160., -2240.]), array([ 650., -393., -174.]), array([-502.,   16.,  181.]))
(1, 58976, 58395, 57103, array([ 7168.,   112., -2320.]), array([ 651., -375., -174.]), array([-502.,   16.,  181.]))
(1, 59925, 59403, 59648, array([ 7184.,   112., -2320.]), array([ 697., -317., -163.]), array([-502.,   15.,  181.]))
(1, 60874, 60412, 59648, array([ 7200.,   112., -2352.]), array([ 721., -299., -146.]), array([-502.,   15.,  181.]))
(1, 62298, 61420, 62193, array([ 7200.,    64., -2336.]), array([ 694., -240., -155.]), array([-504.,   15.,  175.]))
(1, 63247, 63436, 62193, array([ 7216.,    32., -2384.]), array([ 646., -201., -139.]), array([-504.,   15.,  175.]))
(1, 64197, 64445, 62193, array([ 7168.,    64., -2336.]), array([ 701., -198., -116.]), array([-504.,   15.,  175.]))
(1, 85, 65453, 64738, array([ 7136.,    48., -2400.]), array([ 733., -155., -117.]), array([-505.,   15.,  177.]))
(1, 1034, 925, 64738, array([ 7168.,    80., -2432.]), array([ 696.,  -59., -104.]), array([-505.,   15.,  177.]))
(1, 2458, 1933, 1747, array([ 7152.,    16., -2480.]), array([ 675.,  -26., -107.]), array([-504.,   17.,  177.]))
(1, 3407, 2941, 1747, array([ 7168.,   -16., -2512.]), array([ 644.,   -6., -109.]), array([-504.,   17.,  177.]))
(1, 4356, 3950, 4293, array([ 7168.,    32., -2528.]), array([ 630.,   23., -101.]), array([-504.,   13.,  175.]))
(1, 5780, 4958, 4293, array([ 7136.,     0., -2576.]), array([ 584.,   50.,  -91.]), array([-504.,   13.,  175.]))
(1, 6730, 6974, 6838, array([ 7216.,     0., -2640.]), array([ 577.,   96., -107.]), array([-506.,   16.,  179.]))
(1, 7679, 7983, 6838, array([ 7168.,    32., -2624.]), array([ 556.,  127.,  -98.]), array([-506.,   16.,  179.]))
(1, 9103, 8991, 6838, array([ 7200.,    16., -2672.]), array([ 535.,  158.,  -83.]), array([-506.,   16.,  179.]))
(1, 10053, 9999, 9383, array([ 7200.,     0., -2720.]), array([ 519.,  146.,  -69.]), array([-503.,   16.,  183.]))
(1, 11476, 11007, 9383, array([ 7152.,     0., -2768.]), array([ 454.,  131.,  -47.]), array([-503.,   16.,  183.]))
(1, 12425, 12015, 11928, array([ 7152.,    32., -2784.]), array([ 465.,  121.,  -25.]), array([-504.,   13.,  183.]))
(1, 13375, 13024, 11928, array([ 7168.,    16., -2816.]), array([ 444.,   95.,  -45.]), array([-504.,   13.,  183.]))
(1, 14799, 14032, 14474, array([ 7168.,     0., -2848.]), array([ 398.,  136.,  -18.]), array([-505.,   12.,  175.]))
(1, 15748, 15040, 14474, array([ 7120.,    32., -2912.]), array([ 342.,  167.,   -8.]), array([-505.,   12.,  175.]))
(1, 16697, 17057, 17020, array([ 7184.,     0., -2944.]), array([ 321.,  155.,    1.]), array([-504.,   12.,  180.]))
(1, 18121, 18065, 17020, array([ 7216.,    48., -3008.]), array([ 257.,  137.,   14.]), array([-504.,   12.,  180.]))
(1, 19070, 19073, 17020, array([ 7200.,    80., -3040.]), array([ 244.,  154.,   17.]), array([-504.,   12.,  180.]))
(1, 20493, 20081, 19564, array([ 7216.,   112., -2976.]), array([ 265.,  159.,    1.]), array([-505.,   15.,  178.]))
(1, 21442, 21089, 19564, array([ 7200.,    80., -3008.]), array([ 207.,  148.,    3.]), array([-505.,   15.,  178.]))
(1, 22392, 22098, 22109, array([ 7216.,    80., -3072.]), array([ 214.,  169.,   33.]), array([-505.,   15.,  178.]))
(1, 23815, 23106, 22109, array([ 7216.,   112., -2976.]), array([ 169.,  154.,   25.]), array([-505.,   15.,  178.]))
(1, 24764, 24114, 24654, array([ 7200.,    64., -2912.]), array([ 136.,  109.,    7.]), array([-505.,   14.,  176.]))
(1, 25713, 26131, 24654, array([ 7200.,    48., -3024.]), array([  60.,  142.,   33.]), array([-505.,   14.,  176.]))
(1, 27137, 27139, 27198, array([ 7168.,   112., -2944.]), array([  85.,  149.,   45.]), array([-503.,   14.,  179.]))
(1, 28086, 28147, 27198, array([ 7168.,   144., -2976.]), array([  58.,  128.,   14.]), array([-503.,   14.,  179.]))
(1, 29035, 29155, 27198, array([ 7152.,   112., -2960.]), array([ 54.,  77.,  38.]), array([-503.,   14.,  179.]))
(1, 30459, 30163, 29744, array([ 7152.,   128., -2960.]), array([ 38.,  92.,  15.]), array([-503.,   15.,  179.]))
(1, 31408, 31172, 29744, array([ 7184.,   112., -2944.]), array([ 67.,  87.,   6.]), array([-503.,   15.,  179.]))
(1, 32832, 32180, 32289, array([ 7184.,    80., -2896.]), array([ 46.,  96.,  21.]), array([-504.,   12.,  180.]))
(1, 33781, 33188, 32289, array([ 7168.,   160., -2880.]), array([ -7.,  95.,  11.]), array([-504.,   12.,  180.]))
(1, 34730, 34196, 34833, array([ 7152.,   128., -2816.]), array([-10.,  88.,  23.]), array([-503.,   15.,  178.]))
(1, 36154, 36213, 34833, array([ 7184.,   144., -2832.]), array([ 66.,  90.,   6.]), array([-503.,   15.,  178.]))
(1, 37103, 37221, 34833, array([ 7200.,   160., -2864.]), array([  34.,  120.,   -2.]), array([-503.,   15.,  178.]))
(1, 38052, 38229, 37379, array([ 7216.,   160., -2864.]), array([   8.,  150.,  -21.]), array([-504.,   11.,  176.]))
(1, 39477, 39238, 37379, array([ 7152.,    96., -2816.]), array([   5.,  160.,  -15.]), array([-504.,   11.,  176.]))
(1, 40426, 40246, 39925, array([ 7184.,    96., -2800.]), array([  -4.,  171.,  -26.]), array([-501.,   13.,  178.]))
(1, 41850, 41254, 39925, array([ 7136.,   128., -2768.]), array([ -74.,  173.,   20.]), array([-501.,   13.,  178.]))
(1, 42799, 42262, 42471, array([ 7152.,    64., -2704.]), array([ -43.,  154.,   54.]), array([-502.,   14.,  183.]))
(1, 43748, 43270, 42471, array([ 7152.,    80., -2704.]), array([ -76.,  182.,   40.]), array([-502.,   14.,  183.]))
(1, 45172, 44279, 45018, array([ 7152.,   144., -2704.]), array([ -62.,  216.,   37.]), array([-506.,   15.,  175.]))
(1, 46121, 46295, 45018, array([ 7152.,   128., -2656.]), array([-118.,  190.,   18.]), array([-506.,   15.,  175.]))
(1, 47070, 47303, 45018, array([ 7168.,    96., -2688.]), array([ -97.,  236.,   67.]), array([-506.,   15.,  175.]))
(1, 48493, 48312, 47563, array([ 7152.,    80., -2624.]), array([-143.,  255.,   66.]), array([-503.,   11.,  178.]))
(1, 49442, 49320, 47563, array([ 7168.,    64., -2640.]), array([-130.,  259.,   36.]), array([-503.,   11.,  178.]))
(1, 50865, 50328, 50108, array([ 7152.,    48., -2560.]), array([-105.,  277.,   70.]), array([-503.,   13.,  178.]))
(1, 51814, 51336, 50108, array([ 7200.,    96., -2528.]), array([-138.,  289.,   38.]), array([-503.,   13.,  178.]))
(1, 52763, 52344, 52653, array([ 7200.,    80., -2544.]), array([-167.,  320.,   31.]), array([-504.,   13.,  174.]))
(1, 54187, 53353, 52653, array([ 7168.,    64., -2496.]), array([-192.,  347.,   29.]), array([-504.,   13.,  174.]))
(1, 55136, 55369, 55197, array([ 7168.,    32., -2496.]), array([-188.,  363.,   47.]), array([-502.,   13.,  175.]))
(1, 56085, 56377, 55197, array([ 7152.,    64., -2480.]), array([-196.,  383.,   18.]), array([-502.,   13.,  175.]))
(1, 57509, 57386, 55197, array([ 7200.,    64., -2464.]), array([-171.,  426.,   21.]), array([-502.,   13.,  175.]))
(1, 58457, 58394, 57742, array([ 7232.,    16., -2464.]), array([-219.,  463.,   51.]), array([-503.,   16.,  175.]))
(1, 59407, 59402, 57742, array([ 7232.,   -16., -2384.]), array([-224.,  484.,   54.]), array([-503.,   16.,  175.]))
(1, 60831, 60410, 60287, array([ 7184.,   -32., -2448.]), array([-230.,  500.,   87.]), array([-504.,   16.,  178.]))
(1, 61780, 61418, 60287, array([ 7248.,   -16., -2384.]), array([-285.,  526.,  101.]), array([-504.,   16.,  178.]))
(1, 63204, 62427, 62832, array([ 7280.,   -16., -2352.]), array([-266.,  537.,  107.]), array([-509.,   12.,  174.]))
(1, 64153, 63435, 62832, array([ 7296.,     0., -2336.]), array([-329.,  581.,  124.]), array([-509.,   12.,  174.]))
(1, 65102, 65451, 65378, array([ 7328.,   -48., -2304.]), array([-374.,  682.,  109.]), array([-504.,   15.,  174.]))
(1, 990, 924, 65378, array([ 7344.,   -48., -2256.]), array([-459.,  716.,  139.]), array([-504.,   15.,  174.]))
(1, 1940, 1932, 65378, array([ 7344.,   -32., -2256.]), array([-456.,  684.,  183.]), array([-504.,   15.,  174.]))
(1, 2888, 2940, 2387, array([ 7376.,   -96., -2192.]), array([-533.,  734.,  174.]), array([-505.,   15.,  172.]))
(1, 4312, 3948, 2387, array([ 7360.,   -64., -2208.]), array([-576.,  783.,  170.]), array([-505.,   15.,  172.]))
(1, 5261, 4956, 4932, array([ 7280.,   -96., -2288.]), array([-603.,  800.,  207.]), array([-507.,   13.,  168.]))
(1, 6685, 5965, 4932, array([ 7360.,   -48., -2176.]), array([-673.,  824.,  235.]), array([-507.,   13.,  168.]))
(1, 7634, 6973, 7476, array([ 7328.,   -96., -2144.]), array([-732.,  850.,  245.]), array([-504.,   17.,  168.]))
(1, 8584, 7981, 7476, array([ 7328.,  -128., -2048.]), array([-790.,  881.,  251.]), array([-504.,   17.,  168.]))
(1, 10008, 9998, 10021, array([ 7360.,   -80., -2016.]), array([-827.,  944.,  287.]), array([-504.,   17.,  164.]))
(1, 10957, 11006, 10021, array([ 7376.,   -96., -2000.]), array([-959.,  988.,  317.]), array([-504.,   17.,  164.]))
(1, 11907, 12014, 10021, array([ 7408.,  -128., -1904.]), array([-994.,  991.,  315.]), array([-504.,   17.,  164.]))
(1, 13331, 13022, 12567, array([ 7360.,  -112., -1968.]), array([-1095.,  1030.,   354.]), array([-504.,   13.,  164.]))
(1, 14280, 14031, 12567, array([ 7376.,   -80., -1984.]), array([-1151.,  1080.,   395.]), array([-504.,   13.,  164.]))
(1, 15704, 15039, 15113, array([ 7360.,   -64., -1936.]), array([-1180.,  1119.,   418.]), array([-513.,   18.,  165.]))
(1, 16653, 16047, 15113, array([ 7328.,   -32., -1920.]), array([-1230.,  1140.,   427.]), array([-513.,   18.,  165.]))
(1, 17602, 17055, 17658, array([ 7360.,    32., -1936.]), array([-1266.,  1183.,   449.]), array([-505.,   15.,  156.]))
(1, 19026, 19072, 17658, array([ 7360.,   -32., -1952.]), array([-1315.,  1289.,   516.]), array([-505.,   15.,  156.]))
(1, 19975, 20080, 20204, array([ 7360.,   -32., -1968.]), array([-1304.,  1323.,   527.]), array([-508.,   17.,  156.]))
