(1, 437, 65486, 593, array([ 8624.,  -640., -3328.]), array([-4237.,  5440.,  1170.]), array([-498.,   41.,  159.]))
(1, 1860, 1966, 593, array([ 8576.,  -304., -3344.]), array([-4964.,  5244.,  1408.]), array([-498.,   41.,  159.]))
(1, 2809, 2974, 3138, array([ 8512.,   -80., -3328.]), array([-5186.,  5133.,  1535.]), array([-503.,   40.,  147.]))
(1, 4233, 3983, 3138, array([ 8448.,   208., -3456.]), array([-5235.,  4999.,  1660.]), array([-503.,   40.,  147.]))
(1, 5182, 4991, 3138, array([ 8448.,   336., -3488.]), array([-5156.,  4907.,  1701.]), array([-503.,   40.,  147.]))
(1, 6132, 5999, 5683, array([ 8416.,   512., -3456.]), array([-4918.,  4784.,  1707.]), array([-506.,   43.,  127.]))
(1, 7557, 7007, 5683, array([ 8368.,   768., -3552.]), array([-4586.,  4692.,  1716.]), array([-506.,   43.,  127.]))
(1, 8506, 8015, 8228, array([ 8304.,   784., -3584.]), array([-4280.,  4615.,  1700.]), array([-506.,   47.,  127.]))
(1, 9455, 9024, 8228, array([ 8240.,   800., -3712.]), array([-3893.,  4577.,  1672.]), array([-506.,   47.,  127.]))
(1, 10879, 10032, 10773, array([ 8192.,   800., -3840.]), array([-3518.,  4531.,  1616.]), array([-505.,   54.,  117.]))
(1, 11828, 12048, 10773, array([ 8176.,   720., -3792.]), array([-2799.,  4492.,  1574.]), array([-505.,   54.,  117.]))
(1, 13252, 13057, 10773, array([ 8160.,   624., -3664.]), array([-2482.,  4457.,  1507.]), array([-505.,   54.,  117.]))
(1, 14201, 14065, 13318, array([ 8176.,   512., -3648.]), array([-2127.,  4427.,  1426.]), array([-507.,   55.,  106.]))
(1, 15150, 15073, 13318, array([ 8128.,   560., -3680.]), array([-1897.,  4417.,  1377.]), array([-507.,   55.,  106.]))
(1, 16574, 16081, 15864, array([ 8176.,   656., -3664.]), array([-1726.,  4376.,  1322.]), array([-510.,   57.,   99.]))
(1, 17523, 17089, 15864, array([ 8192.,   672., -3680.]), array([-1464.,  4307.,  1249.]), array([-510.,   57.,   99.]))
(1, 18472, 18098, 18409, array([ 8128.,   624., -3632.]), array([-1239.,  4250.,  1168.]), array([-508.,   61.,   93.]))
(1, 19895, 19106, 18409, array([ 8080.,   592., -3664.]), array([ -961.,  4174.,  1159.]), array([-508.,   61.,   93.]))
(1, 20844, 21122, 20955, array([ 8000.,   560., -3744.]), array([ -543.,  4023.,  1141.]), array([-507.,   63.,   84.]))
(1, 22267, 22130, 20955, array([ 8096.,   416., -3792.]), array([ -332.,  3950.,  1086.]), array([-507.,   63.,   84.]))
(1, 23217, 23139, 20955, array([ 8160.,   432., -3824.]), array([ -188.,  3899.,  1084.]), array([-507.,   63.,   84.]))
(1, 24166, 24147, 23499, array([ 8192.,   448., -3840.]), array([  -43.,  3767.,  1088.]), array([-510.,   66.,   75.]))
(1, 25590, 25155, 23499, array([ 8160.,   432., -3792.]), array([   74.,  3633.,  1037.]), array([-510.,   66.,   75.]))
(1, 26539, 26163, 26044, array([ 8128.,   528., -3776.]), array([  238.,  3455.,  1008.]), array([-507.,   70.,   68.]))
(1, 27488, 27171, 26044, array([ 8064.,   576., -3648.]), array([  403.,  3311.,   908.]), array([-507.,   70.,   68.]))
(1, 28912, 28180, 28589, array([ 7984.,   400., -3632.]), array([  563.,  3265.,   863.]), array([-512.,   74.,   61.]))
(1, 29861, 29188, 28589, array([ 7936.,   336., -3552.]), array([  681.,  3136.,   856.]), array([-512.,   74.,   61.]))
(1, 30810, 31204, 31134, array([ 7984.,   304., -3616.]), array([  712.,  2894.,   769.]), array([-510.,   72.,   57.]))
(1, 32234, 32213, 31134, array([ 8064.,   272., -3632.]), array([  699.,  2773.,   720.]), array([-510.,   72.,   57.]))
(1, 33183, 33221, 31134, array([ 8032.,   192., -3568.]), array([  639.,  2672.,   676.]), array([-510.,   72.,   57.]))
(1, 34607, 34229, 33679, array([ 8064.,   208., -3488.]), array([  595.,  2546.,   637.]), array([-508.,   76.,   49.]))
(1, 35556, 35237, 33679, array([ 8048.,   144., -3472.]), array([  460.,  2405.,   575.]), array([-508.,   76.,   49.]))
(1, 36505, 36245, 36224, array([ 8016.,   160., -3472.]), array([  380.,  2281.,   534.]), array([-508.,   77.,   49.]))
(1, 37929, 37254, 36224, array([ 7952.,   112., -3392.]), array([  279.,  2136.,   520.]), array([-508.,   77.,   49.]))
(1, 38879, 38262, 38769, array([ 7888.,   128., -3376.]), array([  132.,  2004.,   475.]), array([-509.,   77.,   42.]))
(1, 39828, 39270, 38769, array([ 7920.,    80., -3360.]), array([   28.,  1869.,   448.]), array([-509.,   77.,   42.]))
(1, 41251, 41286, 41315, array([ 7904.,    16., -3328.]), array([ -167.,  1599.,   435.]), array([-513.,   80.,   38.]))
(1, 42200, 42295, 41315, array([ 7872.,   -32., -3296.]), array([ -276.,  1471.,   439.]), array([-513.,   80.,   38.]))
(1, 43623, 43303, 41315, array([ 7904.,  -128., -3264.]), array([ -420.,  1350.,   435.]), array([-513.,   80.,   38.]))
(1, 44572, 44311, 43860, array([ 7856.,   -48., -3200.]), array([ -491.,  1215.,   432.]), array([-511.,   81.,   38.]))
